target sbox:
0xA2, 0xE3, 0x03, 0x36, 0x96, 0x24, 0x1B, 0x78, 0xC4, 0x89, 0x35, 0x1C, 0x1E, 0xC6, 0xAE, 0xC0, 
0x8D, 0x06, 0xB5, 0xD3, 0xF7, 0x25, 0xB9, 0x08, 0x22, 0x64, 0xD8, 0xF8, 0x40, 0x33, 0x81, 0x71, 
0x44, 0x0D, 0x51, 0x29, 0x2C, 0x7F, 0x60, 0x87, 0x65, 0x53, 0x30, 0xFA, 0x68, 0xF3, 0x72, 0x63, 
0x93, 0x3F, 0x46, 0x79, 0x90, 0x37, 0xAA, 0x3E, 0xC9, 0x42, 0xBB, 0x5F, 0x5A, 0x27, 0x54, 0x18, 
0xE2, 0x14, 0xEC, 0x4F, 0xC5, 0xE1, 0x67, 0xAC, 0xED, 0xA9, 0x48, 0xD7, 0x9D, 0x0A, 0xF6, 0xD4, 
0xF4, 0xC7, 0x7C, 0xCA, 0x8F, 0x02, 0x13, 0x61, 0x04, 0xD6, 0xDF, 0x8A, 0xB4, 0x5D, 0xE5, 0x80, 
0x50, 0xD1, 0x5C, 0x95, 0x82, 0xEE, 0x6A, 0x86, 0xBA, 0x94, 0xE7, 0x62, 0x4D, 0xFD, 0xCE, 0x3D, 
0xB1, 0xC3, 0xCC, 0xDB, 0x66, 0xFB, 0xEA, 0x11, 0xF2, 0x2D, 0xA8, 0xBC, 0xE9, 0x2B, 0x97, 0x52, 
0x4A, 0xA0, 0xA5, 0x9C, 0x9A, 0x1F, 0xA4, 0xDA, 0x4C, 0x57, 0xB2, 0xB0, 0xA1, 0x6E, 0x70, 0x09, 
0x7E, 0xDC, 0x10, 0x41, 0xAD, 0x88, 0x17, 0xB3, 0xF1, 0x00, 0x9E, 0xCB, 0x15, 0x0F, 0xF5, 0x2E, 
0x99, 0x9F, 0x9B, 0x23, 0x1A, 0x31, 0xB6, 0x58, 0x38, 0x91, 0x4E, 0xE8, 0x76, 0x2A, 0xC8, 0x32, 
0xD9, 0x07, 0x05, 0x28, 0x45, 0x3B, 0x6D, 0x0B, 0xBF, 0x55, 0xD5, 0xFE, 0x75, 0xC1, 0xB8, 0xAF, 
0x19, 0x01, 0xFC, 0xD0, 0x4B, 0x84, 0xF0, 0xBD, 0x8B, 0x5E, 0x69, 0xA3, 0xC2, 0x0C, 0xBE, 0x8E, 
0x39, 0x3C, 0x6F, 0x20, 0xDE, 0x7B, 0xB7, 0xA7, 0x74, 0xFF, 0x21, 0x92, 0x16, 0x3A, 0xCF, 0x83, 
0x43, 0xAB, 0xE4, 0x5B, 0x1D, 0xE0, 0x59, 0x6B, 0x77, 0x49, 0xE6, 0x56, 0x0E, 0xCD, 0x26, 0x47, 
0x12, 0x98, 0xA6, 0xD2, 0x2F, 0xF9, 0x8C, 0xEB, 0x73, 0x34, 0x6C, 0x85, 0x7A, 0xDD, 0xEF, 0x7D, 
NL=104
