target sbox:
0xAA, 0xF7, 0xC8, 0x0C, 0x33, 0x94, 0x98, 0x97, 0x47, 0xFD, 0xC9, 0x37, 0xA4, 0x9E, 0xA3, 0xBB, 
0x3A, 0x2B, 0x1D, 0xEC, 0xB8, 0x8B, 0x13, 0x4D, 0xFC, 0x6C, 0x7C, 0x7F, 0x27, 0x91, 0xAD, 0xBA, 
0xE2, 0x60, 0x8E, 0x89, 0xEA, 0x2D, 0x2C, 0x7D, 0xB2, 0xD2, 0x5F, 0x83, 0xD9, 0x50, 0xCB, 0xA7, 
0x68, 0xE4, 0xBE, 0x23, 0x56, 0x38, 0x1C, 0x5B, 0x9A, 0x81, 0x18, 0xB5, 0xA6, 0xB4, 0x8A, 0x44, 
0x61, 0xEF, 0x99, 0x87, 0xF8, 0x15, 0x6B, 0xA9, 0x2E, 0xA0, 0x51, 0xCE, 0x09, 0xEE, 0xF6, 0xC1, 
0xF3, 0xD8, 0x28, 0xF4, 0x30, 0xFA, 0x8D, 0x72, 0xD4, 0x22, 0x4F, 0xD6, 0xD1, 0x43, 0xA1, 0xE9, 
0xF2, 0x73, 0x95, 0x2A, 0x9D, 0x6D, 0x59, 0xE6, 0xDE, 0x9C, 0x20, 0x96, 0x04, 0x31, 0xB3, 0x01, 
0x71, 0x77, 0xE3, 0xC4, 0x93, 0xD7, 0x48, 0xAB, 0x46, 0xC0, 0x58, 0x76, 0xED, 0xF1, 0x70, 0x66, 
0x1B, 0x54, 0x1A, 0xBC, 0x41, 0xC6, 0x4A, 0xE0, 0x1E, 0x2F, 0x0D, 0x3F, 0x19, 0xE5, 0x5E, 0xD5, 
0x84, 0xB0, 0x0A, 0xE8, 0x86, 0x6E, 0xDF, 0x05, 0xFB, 0x08, 0x55, 0x6F, 0x57, 0x45, 0x75, 0x25, 
0x5C, 0x03, 0xC2, 0x24, 0x92, 0xAE, 0x85, 0x16, 0xCD, 0xBF, 0xDB, 0xC5, 0x02, 0x34, 0x7A, 0xF5, 
0x90, 0x9B, 0x64, 0x0E, 0x11, 0x3B, 0xE7, 0x26, 0xCF, 0xCA, 0x36, 0x8F, 0x00, 0x0B, 0xBD, 0x6A, 
0x21, 0x53, 0xB9, 0xFE, 0x3D, 0x62, 0x69, 0x3E, 0x52, 0x40, 0x49, 0x06, 0xEB, 0x5A, 0xB6, 0x7B, 
0x78, 0x8C, 0x4E, 0x67, 0x5D, 0x79, 0x88, 0x65, 0x14, 0x07, 0xC7, 0x29, 0xD3, 0xC3, 0x3C, 0x80, 
0x9F, 0x12, 0xCC, 0xA8, 0x74, 0xB7, 0x63, 0xDD, 0xDC, 0xDA, 0x17, 0x4B, 0x1F, 0xFF, 0x10, 0xAF, 
0x82, 0xD0, 0x32, 0x42, 0xF9, 0x7E, 0x4C, 0x0F, 0xF0, 0xB1, 0xA2, 0xA5, 0x35, 0xAC, 0xE1, 0x39, 
NL=104
