target sbox:
0xAF, 0x92, 0x1C, 0xE2, 0xB6, 0x5F, 0xF9, 0xBA, 0xFD, 0x25, 0x06, 0xC6, 0xC0, 0xAB, 0x29, 0xE0, 
0xB8, 0xE8, 0x67, 0xAE, 0x1A, 0x6B, 0xA2, 0x54, 0xA1, 0xCB, 0x57, 0x7F, 0x9F, 0x7D, 0xCE, 0x27, 
0x02, 0xD9, 0x26, 0xF8, 0x49, 0x0F, 0xC1, 0x0A, 0x7A, 0x2C, 0x15, 0xBD, 0xBE, 0x76, 0x35, 0xD8, 
0xE6, 0x6C, 0x60, 0x8D, 0x1E, 0xA9, 0xB3, 0x6A, 0xC3, 0x56, 0x73, 0x4F, 0x8E, 0xB7, 0x6F, 0x30, 
0x3C, 0x8B, 0x50, 0x98, 0x2E, 0x4A, 0x07, 0x28, 0x03, 0xC7, 0x8F, 0x90, 0x71, 0x0C, 0xD2, 0x7E, 
0x0B, 0x8C, 0x89, 0x17, 0xFF, 0x86, 0xFC, 0x00, 0xB0, 0xEC, 0x5A, 0x8A, 0x4E, 0xD4, 0xDF, 0xD0, 
0x37, 0x7C, 0xC5, 0x1F, 0xE3, 0x16, 0xEE, 0x80, 0x01, 0x0E, 0x5C, 0x84, 0x11, 0xEF, 0xA4, 0x43, 
0x33, 0x53, 0xB5, 0xC2, 0x3D, 0x64, 0x18, 0x79, 0x59, 0x5B, 0x3A, 0x5D, 0x97, 0x2D, 0x36, 0xED, 
0x6E, 0x2B, 0x10, 0x41, 0x61, 0xAD, 0xDE, 0xD1, 0x68, 0x44, 0x88, 0x95, 0x83, 0xD7, 0xA0, 0xE9, 
0xAC, 0x3F, 0x99, 0x40, 0x09, 0x12, 0xE7, 0xE4, 0x66, 0x48, 0x9A, 0x0D, 0x31, 0x77, 0x74, 0x91, 
0x82, 0xC8, 0xE5, 0x5E, 0xCA, 0xF2, 0x70, 0xF7, 0x3B, 0xDC, 0x62, 0x96, 0x46, 0x39, 0x20, 0xF4, 
0xCF, 0x9D, 0x05, 0xFB, 0x85, 0x9B, 0x22, 0x4C, 0x51, 0x87, 0xDA, 0x19, 0xC9, 0xEA, 0xEB, 0xF0, 
0xA7, 0xCD, 0xB4, 0x9E, 0xB9, 0x1D, 0xB1, 0x08, 0x21, 0x1B, 0x34, 0xD5, 0xE1, 0x94, 0x55, 0x75, 
0x7B, 0x69, 0xB2, 0xA8, 0xDB, 0x38, 0x72, 0xBB, 0x52, 0xBC, 0x9C, 0x24, 0x65, 0x63, 0xC4, 0xFA, 
0xA5, 0xCC, 0x14, 0x32, 0x4D, 0xDD, 0x81, 0x13, 0x6D, 0x2F, 0xD3, 0x93, 0x58, 0xF6, 0x45, 0x3E, 
0xBF, 0xA6, 0x2A, 0x23, 0x4B, 0xFE, 0xAA, 0x78, 0xF3, 0x42, 0x04, 0xF5, 0xF1, 0xD6, 0x47, 0xA3, 
NL=104
