target sbox:
0x58, 0xB6, 0x97, 0xED, 0x0F, 0x20, 0xC0, 0xD2, 0xE8, 0xE6, 0x8C, 0x0E, 0x3A, 0xC6, 0xD0, 0xDE, 
0xF7, 0x92, 0xB0, 0x82, 0xA2, 0x1D, 0xBC, 0x1C, 0x67, 0x03, 0xAC, 0x38, 0xA1, 0x84, 0x31, 0x96, 
0xEF, 0xCC, 0x77, 0x32, 0xCF, 0x41, 0x2D, 0x74, 0xE4, 0x7B, 0x17, 0xBD, 0xDD, 0xE1, 0xA8, 0x2B, 
0x6D, 0x30, 0x59, 0x88, 0xDC, 0xA6, 0x9A, 0x1A, 0xCB, 0xD8, 0xC5, 0x9C, 0x72, 0x5C, 0xF1, 0x33, 
0x4E, 0xA7, 0xFC, 0x7E, 0xAE, 0x27, 0x55, 0xBB, 0xAA, 0x6C, 0x15, 0x05, 0x51, 0x8F, 0x60, 0x02, 
0x54, 0x66, 0x6B, 0xC2, 0x79, 0x4A, 0x3D, 0x85, 0x98, 0xF5, 0x56, 0x1E, 0x13, 0xD6, 0xE3, 0xC3, 
0xAB, 0x5B, 0x99, 0x3C, 0x37, 0x62, 0x07, 0x22, 0x53, 0xB3, 0xD7, 0x0C, 0x93, 0x01, 0x3F, 0xF9, 
0x2F, 0xCE, 0x0A, 0x34, 0xEE, 0x1B, 0x24, 0x57, 0x28, 0x3E, 0xF2, 0x9E, 0xD5, 0x83, 0x4D, 0xFE, 
0x48, 0x0B, 0xC4, 0x9F, 0xEC, 0xAD, 0xA9, 0xE9, 0x81, 0xB2, 0x4B, 0xDF, 0xC8, 0x08, 0x5E, 0x40, 
0xE2, 0xFA, 0xF3, 0x00, 0x49, 0xBF, 0x18, 0x52, 0x45, 0xFF, 0xF8, 0x63, 0xBE, 0x86, 0x26, 0xEB, 
0x89, 0x14, 0x75, 0xDA, 0xE5, 0x1F, 0x4C, 0xC7, 0x50, 0xA5, 0xDB, 0x10, 0xD4, 0x25, 0xFD, 0x2E, 
0xBA, 0x36, 0xD9, 0x16, 0x8E, 0xEA, 0x73, 0x46, 0xB7, 0x8D, 0x71, 0xB8, 0x5F, 0x3B, 0x39, 0x4F, 
0xCA, 0xB5, 0x61, 0x42, 0xB1, 0x7F, 0x04, 0xAF, 0x9D, 0xC9, 0xD3, 0x64, 0xB4, 0x6E, 0xA3, 0x68, 
0x6A, 0xA4, 0x6F, 0x23, 0x65, 0x35, 0x8A, 0x29, 0x7A, 0xB9, 0x94, 0x2C, 0x95, 0x2A, 0xA0, 0xFB, 
0xF4, 0x44, 0x80, 0x90, 0x5D, 0x43, 0x69, 0xCD, 0x06, 0x09, 0x0D, 0x7C, 0x12, 0xC1, 0x19, 0x5A, 
0x87, 0xF6, 0x9B, 0xE0, 0x76, 0x7D, 0x47, 0x78, 0xD1, 0xE7, 0x70, 0x21, 0x11, 0xF0, 0x91, 0x8B, 
NL=104
