target sbox:
0x2C, 0xB9, 0x71, 0x31, 0xB7, 0x51, 0x54, 0xE9, 0x38, 0xA1, 0xE6, 0x7C, 0x1B, 0xF4, 0xA2, 0x28, 
0xC0, 0x4E, 0xEC, 0x1A, 0x88, 0xCD, 0xDE, 0x63, 0x3B, 0xC2, 0x1F, 0x87, 0x59, 0x8C, 0x7D, 0x6D, 
0x79, 0x3F, 0xEE, 0x96, 0x30, 0xCE, 0x81, 0xC7, 0x90, 0xD9, 0x21, 0x85, 0xD4, 0xAC, 0x5E, 0x8F, 
0x19, 0x7B, 0x2E, 0x39, 0x9F, 0x68, 0x37, 0xF9, 0xCF, 0xBF, 0x7A, 0x65, 0xD1, 0x4C, 0xC9, 0xE3, 
0xF2, 0x45, 0x80, 0x34, 0xD5, 0xA7, 0x1D, 0x8A, 0xF1, 0xA3, 0xC5, 0xF8, 0xEB, 0xDD, 0x8E, 0x75, 
0xFC, 0x61, 0xAE, 0xF5, 0x66, 0x11, 0xB3, 0xE2, 0x6A, 0x4D, 0x98, 0xD7, 0x76, 0xDA, 0x50, 0x52, 
0x04, 0xB2, 0x0A, 0xD0, 0xAB, 0xCC, 0x5A, 0x5F, 0xBA, 0x22, 0x67, 0x13, 0x60, 0xA0, 0xAD, 0x41, 
0x35, 0xC4, 0xF7, 0x32, 0x72, 0x26, 0x46, 0xB0, 0x16, 0xF0, 0x01, 0x2F, 0x57, 0xE5, 0x5D, 0x7E, 
0x5C, 0x86, 0xEA, 0xCA, 0xFE, 0x6B, 0xEF, 0x02, 0xE4, 0x78, 0x73, 0xED, 0x58, 0x9A, 0x12, 0x33, 
0xBE, 0x18, 0x56, 0x4A, 0x82, 0x06, 0x09, 0xC6, 0x6F, 0xF3, 0x15, 0x62, 0x95, 0xFD, 0xBC, 0xA8, 
0x05, 0x2D, 0x43, 0x9E, 0x0B, 0xFF, 0x6C, 0xB4, 0x8D, 0x42, 0x69, 0x0D, 0x2A, 0x36, 0x3E, 0x48, 
0x0E, 0x3D, 0x10, 0xE8, 0x53, 0x64, 0x14, 0x25, 0x0C, 0x1C, 0x00, 0xE0, 0x1E, 0x9B, 0xA4, 0x27, 
0xC1, 0x91, 0x24, 0xBB, 0x3A, 0x9C, 0x55, 0xD2, 0x49, 0xDB, 0x4B, 0x6E, 0x99, 0x93, 0x97, 0x47, 
0x9D, 0x77, 0x40, 0x74, 0x94, 0xDF, 0x84, 0xB1, 0x83, 0x44, 0xFA, 0xD8, 0x3C, 0xDC, 0xA5, 0xB6, 
0x29, 0x08, 0x17, 0xB8, 0x0F, 0xAA, 0x8B, 0xE7, 0xD6, 0x23, 0xC3, 0xF6, 0x2B, 0x20, 0xA9, 0xD3, 
0xBD, 0xAF, 0xE1, 0xA6, 0x4F, 0xC8, 0x07, 0xCB, 0x7F, 0x70, 0xB5, 0x03, 0x92, 0x89, 0x5B, 0xFB, 
NL=104
