target sbox:
0xB2, 0xA9, 0xEB, 0x40, 0x24, 0x52, 0x94, 0xE4, 0xE6, 0x8C, 0xA3, 0x56, 0x17, 0xB8, 0x5B, 0xCA, 
0xB6, 0x0A, 0xDE, 0x2A, 0x44, 0x5F, 0x9F, 0x4F, 0x53, 0xE7, 0xE5, 0x72, 0x67, 0xDA, 0xED, 0xAA, 
0xC1, 0xEA, 0x11, 0x47, 0xEE, 0x35, 0xDD, 0xFC, 0x1E, 0x70, 0x97, 0x41, 0xDC, 0x03, 0x8D, 0x75, 
0x6A, 0x0C, 0x86, 0x74, 0xC8, 0x37, 0x71, 0x16, 0x3A, 0x55, 0x8B, 0xD6, 0xA5, 0x10, 0xA6, 0x9C, 
0x25, 0x0D, 0x30, 0x3C, 0x68, 0xBC, 0xC3, 0x57, 0x46, 0xB0, 0xF5, 0xA1, 0x15, 0xDF, 0xFA, 0x9E, 
0x78, 0x50, 0x1B, 0x31, 0xF7, 0xBF, 0x0B, 0x81, 0x8E, 0xCF, 0x32, 0x3B, 0x27, 0x9D, 0x1A, 0x4E, 
0xA7, 0xFB, 0x48, 0xC0, 0xC6, 0x05, 0xA8, 0xE8, 0xC2, 0xB9, 0xBE, 0xB4, 0x82, 0x9A, 0x8F, 0xB7, 
0x7F, 0x6C, 0xD0, 0x26, 0x96, 0xC9, 0x80, 0x64, 0x7E, 0x23, 0x36, 0x34, 0x99, 0xF6, 0x19, 0xD9, 
0x98, 0xB1, 0xE2, 0x6F, 0xC4, 0xBD, 0x08, 0x43, 0x66, 0x49, 0x38, 0x5A, 0x2D, 0x39, 0x29, 0x77, 
0xCE, 0xF9, 0x06, 0x61, 0x89, 0x3D, 0xFF, 0xA4, 0xFE, 0xAF, 0x1F, 0x7A, 0x87, 0xD3, 0x83, 0xF1, 
0x95, 0x09, 0xF4, 0xA0, 0x45, 0xAE, 0xE0, 0x4B, 0x8A, 0x01, 0x4A, 0x18, 0x3E, 0x3F, 0x51, 0xE3, 
0x5C, 0x7B, 0xD4, 0x60, 0xCC, 0x4C, 0x07, 0x84, 0x33, 0xB5, 0x14, 0xAC, 0xEF, 0x58, 0x7C, 0x21, 
0xD8, 0x13, 0x85, 0x92, 0xB3, 0xAB, 0xD7, 0x62, 0xE1, 0xAD, 0x90, 0x59, 0x65, 0x76, 0x28, 0x73, 
0x5D, 0x2E, 0x6B, 0xBB, 0x00, 0x7D, 0x42, 0x6D, 0x02, 0xE9, 0x2C, 0x4D, 0xC5, 0x0F, 0x22, 0xCB, 
0xA2, 0xF3, 0xF2, 0x1C, 0x0E, 0xCD, 0xFD, 0xC7, 0x69, 0xDB, 0x20, 0xD1, 0x91, 0xD5, 0x6E, 0xF0, 
0x54, 0x04, 0x9B, 0xF8, 0x2F, 0x93, 0x63, 0x1D, 0x12, 0x79, 0xEC, 0x88, 0xD2, 0x2B, 0xBA, 0x5E, 
NL=104
