target sbox:
0x75, 0x8B, 0x7B, 0xC8, 0x91, 0xD3, 0xDD, 0xBA, 0xBB, 0x4A, 0x44, 0x38, 0xF2, 0x43, 0x08, 0x17, 
0x73, 0xDC, 0x0E, 0x5F, 0x7E, 0x39, 0x70, 0x47, 0x33, 0x95, 0x76, 0x6D, 0x81, 0x5D, 0xCC, 0x8E, 
0x07, 0x46, 0xFE, 0x66, 0x51, 0x6C, 0x22, 0xED, 0x7F, 0xDA, 0x87, 0x61, 0xB9, 0xAE, 0x3F, 0x3A, 
0x41, 0xE6, 0xA1, 0xF5, 0x0F, 0x02, 0x28, 0x93, 0xD2, 0x3C, 0x2E, 0x53, 0xD5, 0x79, 0x06, 0x1B, 
0x30, 0xC4, 0xFF, 0xD0, 0xCA, 0xA7, 0x4D, 0x12, 0x25, 0x54, 0x01, 0xD7, 0x1F, 0x67, 0xC6, 0x7A, 
0x21, 0xE4, 0xAA, 0x15, 0x29, 0xC3, 0x92, 0x31, 0x57, 0x9E, 0x77, 0x50, 0x63, 0xA6, 0xEF, 0xD6, 
0x3B, 0x2B, 0xB6, 0xF8, 0xC7, 0xB7, 0x35, 0xC5, 0xFC, 0x48, 0x34, 0x45, 0x52, 0xAF, 0x85, 0x1A, 
0x2A, 0x9C, 0xC1, 0x2D, 0xA5, 0x4F, 0xFA, 0x13, 0xF1, 0x1D, 0x86, 0x78, 0xAD, 0x6E, 0x59, 0x71, 
0x69, 0xB0, 0x83, 0xCB, 0xB5, 0xE9, 0x94, 0x37, 0xBC, 0x24, 0x32, 0xCD, 0x8F, 0xC9, 0x9F, 0x18, 
0xE5, 0x6A, 0x4E, 0x64, 0x3D, 0x58, 0xE1, 0x99, 0x40, 0xB2, 0x10, 0xFB, 0x9D, 0xEA, 0xB4, 0x14, 
0xE8, 0x16, 0x1E, 0xCE, 0x0D, 0x96, 0x04, 0x0C, 0x88, 0x89, 0x6B, 0xEC, 0xD9, 0x5B, 0x7D, 0xEE, 
0x49, 0x0A, 0xA4, 0x00, 0x3E, 0x56, 0xA3, 0x27, 0xB3, 0xDF, 0x23, 0xB8, 0x84, 0xF9, 0x2C, 0x60, 
0x98, 0xF4, 0x11, 0x05, 0xF3, 0xA0, 0x0B, 0xC0, 0x8A, 0x5C, 0x55, 0xEB, 0xBF, 0x4C, 0x82, 0x90, 
0xE3, 0xD1, 0xA2, 0x6F, 0xF6, 0xAC, 0xB1, 0x9B, 0xBE, 0x19, 0x72, 0xAB, 0xBD, 0xE7, 0x80, 0x97, 
0xFD, 0x5A, 0xDE, 0xE2, 0x4B, 0x1C, 0x68, 0xD4, 0xCF, 0x36, 0x62, 0x8D, 0x65, 0x5E, 0x20, 0xA8, 
0x7C, 0xD8, 0x2F, 0xF7, 0x26, 0x42, 0x03, 0xDB, 0x74, 0xC2, 0x09, 0x8C, 0xE0, 0xA9, 0x9A, 0xF0, 
NL=104
