target sbox:
0xBE, 0xB8, 0x01, 0xCB, 0xF0, 0x48, 0x8F, 0x04, 0xD3, 0x02, 0x9E, 0x5D, 0xDE, 0xFF, 0xCC, 0x91, 
0x94, 0x75, 0xF8, 0x31, 0x24, 0xBF, 0xBA, 0x90, 0x06, 0x0B, 0xA1, 0x4C, 0xD4, 0x64, 0x9F, 0xC2, 
0xBC, 0x4F, 0x2A, 0xFC, 0xD9, 0xEE, 0x29, 0xE7, 0x09, 0xF5, 0xBB, 0x65, 0x96, 0xA4, 0x99, 0x34, 
0x15, 0x1D, 0x43, 0x79, 0x2B, 0x93, 0xA6, 0xFA, 0x68, 0x1F, 0xFB, 0xA2, 0x7D, 0xA0, 0x44, 0x82, 
0x7E, 0x23, 0xCD, 0x19, 0xB7, 0x0A, 0x67, 0x08, 0x10, 0x3C, 0xD1, 0x73, 0x80, 0x52, 0x4A, 0xEB, 
0x32, 0x97, 0x53, 0x16, 0xDF, 0x92, 0x5C, 0x86, 0x05, 0x3B, 0x38, 0x07, 0xBD, 0x89, 0x40, 0x1B, 
0xE9, 0x47, 0xE0, 0xDC, 0xCF, 0x83, 0x5A, 0xC1, 0x41, 0x3E, 0x6E, 0xCE, 0x2F, 0x14, 0x1E, 0xC7, 
0x85, 0x21, 0xE1, 0xB6, 0x13, 0xAA, 0x7C, 0xED, 0x18, 0xC0, 0xEF, 0x2C, 0xF7, 0x74, 0xB3, 0xF9, 
0x4E, 0xE4, 0xF6, 0x12, 0x9C, 0x37, 0x25, 0x98, 0xAC, 0x27, 0x3A, 0x62, 0x4B, 0x45, 0xDA, 0xF1, 
0xDD, 0xC4, 0xE5, 0xD6, 0xAD, 0xF4, 0x17, 0x54, 0xB0, 0x00, 0x0E, 0x35, 0x5B, 0xA8, 0xEC, 0x66, 
0xA9, 0x59, 0x69, 0xC8, 0xE6, 0x84, 0x5F, 0x39, 0xB5, 0x50, 0x2D, 0x49, 0xD8, 0x11, 0xC6, 0xEA, 
0xDB, 0x76, 0xA3, 0xA7, 0x6D, 0xAF, 0xB9, 0x28, 0x56, 0x81, 0x61, 0x7F, 0x8D, 0xFE, 0x30, 0x1C, 
0xC5, 0xB2, 0xF2, 0x9B, 0x7B, 0x3D, 0xCA, 0x58, 0x8C, 0xF3, 0x71, 0x51, 0x33, 0x20, 0x9D, 0x6A, 
0x42, 0x4D, 0x87, 0x2E, 0x5E, 0xC9, 0xE8, 0x6C, 0x9A, 0xAB, 0x63, 0x55, 0x72, 0x3F, 0x22, 0x8E, 
0x03, 0xC3, 0xA5, 0x70, 0xE2, 0x78, 0x60, 0xD2, 0x77, 0xFD, 0x0F, 0xD7, 0x46, 0x36, 0x0D, 0xD0, 
0x1A, 0x57, 0xB1, 0x8B, 0x6F, 0x8A, 0xB4, 0x26, 0x6B, 0x0C, 0xAE, 0xD5, 0xE3, 0x7A, 0x95, 0x88, 
NL=104
