target sbox:
0xC7, 0x36, 0x14, 0x88, 0x74, 0x65, 0x9F, 0x4F, 0x98, 0x97, 0x81, 0xD4, 0x42, 0x57, 0x7D, 0xE6, 
0xE7, 0x0F, 0x8B, 0x7C, 0x23, 0x3E, 0x58, 0xF7, 0xE5, 0xDB, 0x43, 0x16, 0x2A, 0x69, 0x7E, 0x34, 
0xDD, 0x39, 0x6D, 0xD0, 0x72, 0xB1, 0xAA, 0xBB, 0x56, 0x03, 0x20, 0x62, 0xEA, 0x07, 0x49, 0x22, 
0xA4, 0x0B, 0x7F, 0x95, 0xB8, 0x33, 0xFE, 0x92, 0x68, 0xC4, 0xCC, 0x21, 0xAC, 0x19, 0x6E, 0xF6, 
0x0C, 0x7A, 0xCF, 0xAB, 0x5C, 0x3F, 0x53, 0xE0, 0x38, 0x3C, 0x30, 0x59, 0x76, 0xDE, 0x89, 0x46, 
0xBA, 0x1C, 0x09, 0x4A, 0x73, 0xA6, 0x8E, 0x1E, 0xB5, 0xB9, 0xE1, 0x84, 0x27, 0x90, 0xF4, 0xAF, 
0x6C, 0xD8, 0x24, 0xA9, 0x54, 0x82, 0xD2, 0xE2, 0xEB, 0xB6, 0xB0, 0x94, 0xA7, 0x5A, 0xC0, 0x3B, 
0x6B, 0x78, 0x5E, 0x9B, 0xA2, 0xC5, 0x32, 0x52, 0xF1, 0x55, 0xDA, 0x0D, 0x75, 0xCB, 0xC2, 0x04, 
0x28, 0x9C, 0x9E, 0x96, 0xFF, 0xC8, 0x1B, 0xD1, 0x79, 0xFA, 0xEE, 0x15, 0x0E, 0xA5, 0xA1, 0x86, 
0x00, 0xFD, 0xA3, 0x8D, 0xD3, 0x5F, 0x93, 0x17, 0xED, 0x18, 0xBF, 0x61, 0xD9, 0x1D, 0xE8, 0xAD, 
0x77, 0xCE, 0x4C, 0x6A, 0x02, 0x3A, 0x31, 0x80, 0xB2, 0x05, 0xF8, 0x64, 0xDC, 0xB7, 0xB3, 0x60, 
0x1A, 0x5D, 0xFC, 0x35, 0x12, 0x25, 0xBD, 0xFB, 0x2E, 0xA0, 0x51, 0x9D, 0xBC, 0xBE, 0xF9, 0x06, 
0xF2, 0x50, 0xF3, 0x41, 0xF0, 0xCD, 0x85, 0x29, 0xE4, 0x13, 0xC3, 0x08, 0xDF, 0x10, 0xD6, 0x26, 
0xA8, 0x4B, 0x4E, 0x8F, 0x47, 0x83, 0x40, 0x4D, 0x91, 0x5B, 0x2D, 0x45, 0xC9, 0x44, 0xAE, 0xC1, 
0x2B, 0xE3, 0x99, 0x6F, 0x37, 0xD5, 0x8A, 0xEC, 0x2F, 0x63, 0x2C, 0xF5, 0x11, 0x87, 0x67, 0xC6, 
0xCA, 0xE9, 0x1F, 0x8C, 0x9A, 0xD7, 0x71, 0x7B, 0xEF, 0x66, 0x01, 0x0A, 0x48, 0x3D, 0xB4, 0x70, 
NL=104
