target sbox:
0x1C, 0xD6, 0xBD, 0x62, 0x30, 0x41, 0xB3, 0x3E, 0xD9, 0x7D, 0x65, 0x82, 0x80, 0x0A, 0x90, 0x1E, 
0x98, 0xC4, 0xDE, 0x72, 0xD2, 0x66, 0x97, 0xBA, 0x51, 0xC6, 0x74, 0x5F, 0xEA, 0xAC, 0x6F, 0xBC, 
0x2B, 0x26, 0x71, 0xE6, 0x42, 0xB9, 0x44, 0xC0, 0x19, 0x94, 0xE5, 0xCC, 0x77, 0x06, 0x12, 0xF8, 
0x24, 0x28, 0xFB, 0xD1, 0x48, 0x34, 0x89, 0xDF, 0x69, 0x60, 0xE8, 0x92, 0xAD, 0x9C, 0xA1, 0x6A, 
0xF1, 0x5A, 0x64, 0x83, 0xF5, 0x2E, 0x40, 0x3B, 0xB2, 0x5B, 0x38, 0xA2, 0x45, 0x81, 0xD4, 0xBF, 
0xC5, 0x20, 0x0F, 0xF7, 0x2F, 0x0D, 0x0B, 0x85, 0x4C, 0x9D, 0xFE, 0xC9, 0x00, 0x03, 0x7E, 0xD3, 
0x5D, 0x4A, 0x76, 0xE7, 0xA9, 0x1D, 0xD8, 0x7B, 0x8A, 0x1F, 0x3D, 0xB8, 0x3C, 0xFC, 0x04, 0xDC, 
0x36, 0x11, 0x4F, 0x09, 0x5C, 0x96, 0xB6, 0x63, 0x23, 0x13, 0xEF, 0x7F, 0xF6, 0x70, 0xD5, 0x8E, 
0xE0, 0xC8, 0x4B, 0x78, 0x4D, 0x91, 0xE3, 0x22, 0x07, 0x15, 0x6C, 0xD7, 0x2C, 0x53, 0x33, 0x3A, 
0x8D, 0x3F, 0x73, 0x01, 0x29, 0xAE, 0x7A, 0x88, 0xC7, 0x35, 0x86, 0xF9, 0xE1, 0x32, 0x43, 0x50, 
0xA0, 0x9E, 0xDB, 0xAB, 0x25, 0x8C, 0x05, 0x0E, 0xF2, 0x49, 0x79, 0x8B, 0x57, 0x21, 0xA5, 0x93, 
0xA7, 0x67, 0x54, 0x02, 0xB0, 0x6D, 0x55, 0xA3, 0x56, 0xB5, 0x37, 0xC3, 0xEC, 0xA6, 0x17, 0x08, 
0x9B, 0xF4, 0xED, 0xE2, 0x14, 0x5E, 0xBB, 0xFF, 0xCB, 0x59, 0x75, 0x58, 0xAA, 0x31, 0xB7, 0x2A, 
0xDA, 0x99, 0x8F, 0x2D, 0xDD, 0xCD, 0x16, 0x0C, 0xF3, 0x84, 0x4E, 0x9F, 0x68, 0x52, 0xC2, 0xEB, 
0xA8, 0xD0, 0xE9, 0xB4, 0xFA, 0x6B, 0xAF, 0x9A, 0xBE, 0xCA, 0xCF, 0xFD, 0x1A, 0x95, 0x47, 0xCE, 
0x87, 0xEE, 0x39, 0xE4, 0x7C, 0x18, 0x10, 0xB1, 0x6E, 0x61, 0x46, 0xA4, 0xF0, 0xC1, 0x1B, 0x27, 
NL=104
