target sbox:
0x25, 0x8C, 0x95, 0xA0, 0x23, 0xF2, 0xF0, 0xA4, 0x19, 0x6B, 0xF3, 0xEF, 0x05, 0xA6, 0x3A, 0xF7, 
0x3C, 0x51, 0x41, 0xAA, 0x5E, 0xF1, 0x2B, 0x10, 0x08, 0x32, 0x17, 0x09, 0xA9, 0x1B, 0xD9, 0x4F, 
0xDC, 0x6C, 0xAE, 0x98, 0x82, 0x85, 0x1F, 0xF5, 0x57, 0x4C, 0x4D, 0x4A, 0x40, 0x22, 0x18, 0xC4, 
0xDE, 0xFF, 0x14, 0x01, 0x0F, 0x80, 0x70, 0x6A, 0xBD, 0x77, 0x3D, 0x27, 0xBF, 0x97, 0x5A, 0xD6, 
0xDB, 0xB8, 0xD7, 0x8D, 0xEB, 0xD4, 0x15, 0xB4, 0x75, 0x6F, 0x54, 0x68, 0x0B, 0x86, 0x71, 0x35, 
0xC9, 0xEE, 0xF6, 0xAC, 0x28, 0xFC, 0xE3, 0x67, 0xAB, 0xD5, 0x72, 0xDA, 0x53, 0x48, 0x7D, 0x20, 
0x90, 0x30, 0xFB, 0x06, 0x7F, 0xCC, 0x21, 0xFD, 0xC8, 0xCD, 0x58, 0x94, 0xC7, 0x2E, 0x91, 0xD3, 
0x73, 0xE7, 0x7C, 0x64, 0xA7, 0x02, 0x4E, 0x61, 0x3B, 0x34, 0x26, 0xE1, 0x49, 0x29, 0x2D, 0xBB, 
0x83, 0x00, 0xB6, 0x43, 0xAF, 0x0A, 0x92, 0x9F, 0x78, 0x9C, 0x88, 0x8A, 0xD0, 0xBC, 0xAD, 0x84, 
0xA1, 0x9B, 0x79, 0x55, 0xA8, 0xE8, 0xB9, 0x42, 0x37, 0xB2, 0x12, 0x3F, 0xDF, 0x11, 0xCE, 0x8F, 
0xE9, 0x1C, 0x66, 0x8B, 0x44, 0x99, 0x96, 0xC6, 0x5F, 0x76, 0x5B, 0xF8, 0xCF, 0x0C, 0x07, 0x62, 
0x46, 0x87, 0xBA, 0x1E, 0x24, 0x16, 0x60, 0x81, 0x0D, 0xE4, 0xE6, 0x4B, 0xEA, 0x45, 0xF9, 0xB1, 
0x47, 0x89, 0xE2, 0xC2, 0x2F, 0x3E, 0xF4, 0xD2, 0x59, 0x2A, 0xC1, 0x6D, 0xA3, 0x63, 0x8E, 0xFE, 
0x9D, 0x56, 0xBE, 0xDD, 0x7E, 0xCA, 0x9A, 0x1D, 0x33, 0xED, 0xB5, 0xD8, 0xD1, 0x1A, 0xB7, 0x03, 
0x7A, 0xA5, 0x50, 0x5C, 0x52, 0x69, 0x93, 0x9E, 0x0E, 0x39, 0x5D, 0xB3, 0x2C, 0xCB, 0x65, 0x7B, 
0x36, 0x38, 0xEC, 0xE5, 0x31, 0xC3, 0xA2, 0x6E, 0xC5, 0xB0, 0x04, 0xFA, 0x74, 0xC0, 0xE0, 0x13, 
NL=104
