target sbox:
0xE0, 0xDE, 0x77, 0x5F, 0x01, 0x03, 0x7D, 0x22, 0xE4, 0x13, 0x24, 0x1A, 0xF3, 0x4C, 0x89, 0xC2, 
0xEC, 0xE8, 0x0F, 0xB6, 0xE2, 0x68, 0xF9, 0xFF, 0x60, 0x17, 0x99, 0x5A, 0xF4, 0xCF, 0x72, 0xEA, 
0x2B, 0x58, 0xB3, 0x04, 0x9D, 0x50, 0x53, 0xCE, 0xB7, 0x86, 0xF8, 0x4A, 0x5C, 0x06, 0xE6, 0xB4, 
0x95, 0xCA, 0xD5, 0xD3, 0xE9, 0x2C, 0x18, 0xEB, 0x74, 0xDD, 0xF5, 0xAC, 0xCB, 0x8C, 0xF1, 0xCD, 
0x90, 0xAE, 0x6E, 0xFE, 0x7C, 0xFA, 0x1F, 0x3C, 0x5B, 0x81, 0x7F, 0xE7, 0x3F, 0x93, 0x08, 0xC0, 
0x4E, 0x47, 0x40, 0x4F, 0x21, 0x09, 0x25, 0x70, 0xF6, 0x6F, 0x46, 0x6B, 0xAB, 0xBE, 0xB9, 0x4D, 
0x00, 0x97, 0x36, 0x82, 0xE3, 0x65, 0x8F, 0xC6, 0x52, 0x20, 0xD2, 0x26, 0x3E, 0x1D, 0x66, 0xA9, 
0xA4, 0x31, 0x96, 0xDC, 0xA7, 0xAD, 0xB2, 0xD0, 0x79, 0xC5, 0xCC, 0x92, 0xED, 0x45, 0xEF, 0xDF, 
0x9A, 0x91, 0xEE, 0xA6, 0x7B, 0x80, 0x5D, 0xC8, 0x14, 0xA1, 0x33, 0xC9, 0x49, 0x29, 0x8D, 0x27, 
0x9F, 0x0B, 0x30, 0xFC, 0xFD, 0xB1, 0x2D, 0xE5, 0xBF, 0xDB, 0x75, 0x51, 0xDA, 0xAF, 0xD9, 0x10, 
0x64, 0x56, 0x76, 0x57, 0x19, 0x61, 0x94, 0xD4, 0xFB, 0x05, 0x1C, 0xD6, 0xD1, 0x7A, 0x8B, 0x3A, 
0x9C, 0xA3, 0x8E, 0x07, 0x11, 0x62, 0x5E, 0x42, 0x1B, 0x02, 0x63, 0x0C, 0xAA, 0x85, 0x28, 0x59, 
0x8A, 0x84, 0x35, 0x41, 0x0A, 0x6C, 0x32, 0xC7, 0x6D, 0x0E, 0xF2, 0xBA, 0x54, 0x7E, 0xB0, 0x73, 
0xC1, 0x87, 0x9B, 0x34, 0xBD, 0x71, 0xC3, 0x67, 0x23, 0xC4, 0xB5, 0x98, 0x69, 0x4B, 0x44, 0x0D, 
0xD7, 0xBC, 0x2A, 0x1E, 0x16, 0x2E, 0x43, 0xB8, 0xE1, 0xD8, 0xA5, 0x83, 0x78, 0x3D, 0xF0, 0x3B, 
0x48, 0x39, 0x55, 0x15, 0x88, 0x2F, 0xA2, 0x12, 0x6A, 0xA0, 0x9E, 0x37, 0x38, 0xF7, 0xBB, 0xA8, 
NL=104
