target sbox:
0xC6, 0x0A, 0x56, 0x90, 0x18, 0x3B, 0xE7, 0xA6, 0x87, 0x8B, 0x03, 0xD5, 0x24, 0xE8, 0x2C, 0x43, 
0x76, 0x58, 0xEC, 0x15, 0xAA, 0x5E, 0x0D, 0x54, 0x65, 0xE6, 0x95, 0xF5, 0x17, 0xB7, 0xD8, 0xCA, 
0x9D, 0x09, 0x77, 0x7D, 0xAF, 0x32, 0x9E, 0xA9, 0xDE, 0x02, 0xE1, 0x7E, 0xED, 0x9A, 0x82, 0xC3, 
0x60, 0x8C, 0xB2, 0x21, 0x8D, 0xA5, 0x06, 0x9B, 0x4F, 0xF7, 0x2D, 0xFC, 0x08, 0xDA, 0x5A, 0xDD, 
0x4A, 0x7C, 0x05, 0xE0, 0xBE, 0x49, 0x7B, 0xFB, 0xFF, 0x0F, 0x28, 0x5B, 0x4E, 0xEE, 0x42, 0x50, 
0x88, 0xBB, 0x79, 0x44, 0x3F, 0xEA, 0x67, 0x9C, 0x61, 0xB6, 0x33, 0x9F, 0x6D, 0xF8, 0x1D, 0x1C, 
0x8F, 0x1A, 0xF0, 0xA2, 0xAD, 0x4C, 0xD4, 0x68, 0xA7, 0x1E, 0xC2, 0xC1, 0xA8, 0x2E, 0x51, 0x04, 
0x98, 0x16, 0x86, 0x97, 0xAB, 0x73, 0x3A, 0x3D, 0xB3, 0x63, 0xBA, 0xB1, 0x01, 0x96, 0x39, 0x1B, 
0xB0, 0x14, 0xE4, 0x93, 0x52, 0x3C, 0xCD, 0x75, 0x46, 0xCB, 0x47, 0x91, 0xB5, 0x5C, 0x0C, 0xDC, 
0x25, 0x81, 0xCC, 0x69, 0xA0, 0x7F, 0x83, 0x07, 0xFD, 0x26, 0x0E, 0xDB, 0xEB, 0xC0, 0x78, 0x30, 
0x84, 0x2B, 0xBF, 0xA1, 0x85, 0xA4, 0x5F, 0xF6, 0x55, 0x38, 0xBC, 0x22, 0x6C, 0x71, 0x53, 0xAC, 
0x35, 0x66, 0xB9, 0xF9, 0xD1, 0x2F, 0xFE, 0x40, 0x57, 0x8E, 0x1F, 0x89, 0x37, 0x00, 0xE3, 0x4D, 
0x4B, 0xD7, 0xBD, 0xF3, 0x8A, 0x6A, 0xCF, 0x11, 0x31, 0x6B, 0x99, 0xF2, 0x94, 0x72, 0x48, 0x5D, 
0x27, 0x45, 0x3E, 0xD3, 0x13, 0xDF, 0x20, 0x59, 0xE9, 0xE2, 0x80, 0xFA, 0x23, 0xC7, 0xD2, 0x12, 
0x70, 0xA3, 0x64, 0xC5, 0x2A, 0x36, 0xF1, 0x41, 0xD0, 0x19, 0xAE, 0xC4, 0xF4, 0xD6, 0x10, 0x92, 
0x6F, 0xC9, 0x74, 0xD9, 0xCE, 0x34, 0xB4, 0xE5, 0xB8, 0xC8, 0x7A, 0xEF, 0x62, 0x0B, 0x6E, 0x29, 
NL=104
