target sbox:
0x25, 0x9F, 0x30, 0xC0, 0x5B, 0xE6, 0x3B, 0x1D, 0xD1, 0x3E, 0xF9, 0x3C, 0x18, 0x03, 0x50, 0x00, 
0xEE, 0x39, 0xC2, 0x57, 0xA4, 0x94, 0x2E, 0x35, 0x11, 0xB0, 0xFE, 0x48, 0x34, 0x07, 0xA6, 0x97, 
0x2D, 0xDB, 0x99, 0x6D, 0xA0, 0x68, 0x1A, 0xB7, 0x3D, 0xF7, 0xF0, 0xF4, 0x95, 0x88, 0x78, 0xC4, 
0xE3, 0xB1, 0xFA, 0x05, 0xC9, 0x54, 0xE8, 0xEF, 0xFD, 0xC5, 0xD0, 0xF6, 0x74, 0xDF, 0xB5, 0x23, 
0x9C, 0xEB, 0x52, 0x19, 0x0E, 0xF2, 0xE9, 0x38, 0x06, 0xAE, 0x83, 0x80, 0xAA, 0x7F, 0xBA, 0xFC, 
0x31, 0x4D, 0xF1, 0x55, 0xFF, 0xED, 0xB6, 0x0F, 0xD9, 0x60, 0x4B, 0xAD, 0x2A, 0x44, 0x8F, 0xE7, 
0x12, 0x72, 0x76, 0x4A, 0x96, 0x7E, 0x8B, 0x45, 0x9B, 0x7A, 0xB2, 0xCC, 0x04, 0x15, 0xDC, 0x92, 
0x0A, 0x70, 0x01, 0x0D, 0x6A, 0xD4, 0xB8, 0x87, 0x71, 0xE2, 0xAB, 0x89, 0xEC, 0x67, 0xF3, 0x21, 
0xFB, 0x86, 0xD8, 0xD2, 0x69, 0xD3, 0x84, 0xBE, 0x9E, 0x6C, 0x63, 0x75, 0x26, 0xC6, 0x82, 0xE1, 
0x02, 0x1C, 0x93, 0x41, 0x2B, 0x6F, 0xCE, 0x62, 0x13, 0xC3, 0x65, 0x7C, 0x5C, 0x46, 0xDA, 0x20, 
0x5D, 0xBF, 0x36, 0x51, 0x1B, 0xA9, 0x43, 0x28, 0x8D, 0xA1, 0x24, 0x27, 0x90, 0x4E, 0x16, 0xE4, 
0x47, 0x08, 0xF5, 0xC8, 0xB3, 0x9D, 0x10, 0xCB, 0x32, 0x58, 0x29, 0x5F, 0xB9, 0x64, 0x5A, 0x79, 
0xA2, 0x7D, 0x42, 0xC1, 0x85, 0x4C, 0x8E, 0x53, 0x66, 0xDE, 0xCA, 0xA5, 0x7B, 0xE5, 0x37, 0xBB, 
0xE0, 0x40, 0xD7, 0x14, 0xBC, 0x56, 0xCF, 0x0C, 0x98, 0x73, 0x09, 0x33, 0x49, 0x2C, 0xF8, 0xA7, 
0x1F, 0xAF, 0x3A, 0xD5, 0x17, 0x8A, 0x6B, 0x61, 0x91, 0xDD, 0x9A, 0xD6, 0x81, 0x6E, 0x5E, 0xBD, 
0xEA, 0x1E, 0x2F, 0x3F, 0xA8, 0x0B, 0xB4, 0xA3, 0x77, 0x22, 0xAC, 0x59, 0x4F, 0xCD, 0xC7, 0x8C, 
NL=104
