target sbox:
0xE3, 0x9F, 0x91, 0x05, 0x33, 0x98, 0xC8, 0x0E, 0xFC, 0xE7, 0x6F, 0xA6, 0xFB, 0xE9, 0x50, 0x2E, 
0xA4, 0xB2, 0xA9, 0xE1, 0x5F, 0x42, 0x15, 0xF8, 0x43, 0x7F, 0xB0, 0x32, 0x35, 0xEA, 0xFF, 0xC1, 
0x37, 0xFA, 0xEE, 0x6C, 0x4B, 0x5B, 0x89, 0x8C, 0xCE, 0x7D, 0x8F, 0xC6, 0xF5, 0x4F, 0x94, 0x9A, 
0xFE, 0x27, 0x44, 0x3B, 0x0F, 0x71, 0x55, 0x70, 0x06, 0x5E, 0x45, 0x8B, 0x09, 0x23, 0x93, 0x30, 
0xBE, 0x02, 0xB7, 0x85, 0x3A, 0x58, 0x78, 0x5C, 0xDE, 0x81, 0xBF, 0x40, 0xF6, 0xDB, 0x17, 0xDD, 
0x80, 0x1E, 0x47, 0x6B, 0xD8, 0xAD, 0xAB, 0x22, 0x0A, 0x1A, 0x69, 0x04, 0x36, 0x88, 0x18, 0x68, 
0x20, 0xF1, 0xD0, 0xEB, 0xBB, 0x53, 0x38, 0xA2, 0x5A, 0xA3, 0xF7, 0xF9, 0xD2, 0x77, 0x31, 0xCF, 
0x28, 0x4A, 0x87, 0x90, 0x65, 0x13, 0xB1, 0x2A, 0xD9, 0xFD, 0x99, 0x3F, 0xA7, 0x96, 0x24, 0x64, 
0xD1, 0xD5, 0x3D, 0x92, 0xC5, 0x29, 0x8A, 0x51, 0xA0, 0x7E, 0x07, 0x9D, 0x7C, 0x79, 0x10, 0x9C, 
0x6E, 0x56, 0xD4, 0x72, 0x9B, 0x4D, 0x6D, 0x14, 0xCA, 0xDC, 0x48, 0x1C, 0x46, 0xC2, 0xE5, 0x3E, 
0x16, 0x54, 0xB8, 0xC0, 0x49, 0x41, 0xE8, 0x11, 0xF0, 0xDF, 0x66, 0x25, 0xBA, 0x08, 0x8D, 0xE6, 
0x21, 0xC9, 0xE0, 0xF2, 0xD3, 0x6A, 0x59, 0xAC, 0x9E, 0x1F, 0x67, 0x01, 0xBC, 0x97, 0x75, 0xDA, 
0xF4, 0x82, 0xC4, 0xCB, 0xB6, 0xEF, 0x5D, 0x03, 0xEC, 0xD6, 0x86, 0xB4, 0xBD, 0xCC, 0x57, 0xB9, 
0x2D, 0x19, 0xD7, 0x52, 0x7A, 0x4C, 0xB5, 0x61, 0xA5, 0x73, 0xC3, 0xAA, 0x34, 0x0B, 0xE4, 0x00, 
0x7B, 0x0C, 0x2F, 0xED, 0xA8, 0x0D, 0x3C, 0x12, 0x1B, 0x84, 0x74, 0xB3, 0xAF, 0xAE, 0x39, 0x76, 
0xA1, 0x2B, 0xE2, 0x8E, 0x2C, 0xCD, 0x60, 0x26, 0xF3, 0x62, 0x4E, 0x83, 0x1D, 0x95, 0xC7, 0x63, 
NL=104
