target sbox:
0xF7, 0xA2, 0x7E, 0x27, 0x4F, 0x76, 0x9C, 0x2C, 0x3E, 0x9D, 0x24, 0x8E, 0x0A, 0x60, 0x5A, 0xC2, 
0xB2, 0x0F, 0xC0, 0xB0, 0xC5, 0x21, 0xAD, 0xD3, 0xEB, 0x79, 0xF4, 0xAF, 0x19, 0xFF, 0x25, 0xA8, 
0x0E, 0x38, 0xB9, 0x6A, 0xA7, 0x7D, 0x2D, 0xFB, 0x45, 0x6E, 0x3B, 0x57, 0x5E, 0xF9, 0xCE, 0x96, 
0x47, 0xEF, 0x7F, 0x71, 0x94, 0x2F, 0x28, 0x33, 0x39, 0x85, 0xE1, 0x78, 0x4C, 0x44, 0xBD, 0x70, 
0xEE, 0x17, 0xD6, 0xD1, 0x5C, 0x8C, 0x98, 0xBF, 0x10, 0x3A, 0x02, 0x51, 0x97, 0xB6, 0x4A, 0xE4, 
0x13, 0x48, 0x95, 0xA0, 0xBE, 0xE9, 0xD4, 0x46, 0x00, 0x9F, 0xD7, 0x1B, 0xA9, 0x06, 0x32, 0xF6, 
0x1F, 0x07, 0xB5, 0x43, 0x63, 0x2A, 0xA1, 0xFD, 0xB4, 0x14, 0xF2, 0xFC, 0x36, 0x35, 0x37, 0x20, 
0xE3, 0x3D, 0x74, 0x8F, 0xED, 0x6C, 0xE0, 0x9A, 0x1E, 0xFE, 0x50, 0x30, 0x0D, 0xAC, 0x3F, 0xA3, 
0x26, 0x64, 0x0B, 0xA4, 0x84, 0x11, 0x16, 0x29, 0x9E, 0x12, 0x03, 0x49, 0x5D, 0x9B, 0xF3, 0xDF, 
0x04, 0xCA, 0x65, 0x8B, 0xD0, 0x5B, 0x31, 0x73, 0x52, 0xC3, 0x1C, 0xC4, 0x7B, 0x68, 0xAB, 0x1D, 
0xEC, 0x6B, 0xE8, 0xB8, 0xBC, 0xCC, 0x7A, 0xC6, 0x90, 0x55, 0xBB, 0xEA, 0xAE, 0x8A, 0xD9, 0x72, 
0xCF, 0x6D, 0xC7, 0xF1, 0x69, 0x15, 0x01, 0xCB, 0x91, 0x40, 0xDA, 0xF0, 0xD8, 0x1A, 0xA5, 0x58, 
0x81, 0x87, 0x18, 0x59, 0xFA, 0x4E, 0x88, 0xBA, 0xCD, 0xE6, 0x09, 0x67, 0xB1, 0x4B, 0x92, 0xDE, 
0x8D, 0xDD, 0x6F, 0xDB, 0x4D, 0x66, 0xB7, 0x34, 0x77, 0xF5, 0xE2, 0x08, 0xA6, 0xB3, 0x61, 0x82, 
0xC1, 0x05, 0x5F, 0x2E, 0x62, 0x3C, 0x7C, 0x22, 0x86, 0x2B, 0xF8, 0x83, 0x54, 0xAA, 0x80, 0x23, 
0x89, 0xD5, 0x99, 0xDC, 0x42, 0x0C, 0x41, 0x93, 0x53, 0xE7, 0x75, 0xD2, 0xE5, 0xC9, 0xC8, 0x56, 
NL=104
