target sbox:
0xE2, 0x22, 0x8F, 0xC4, 0x76, 0x21, 0x03, 0x09, 0x4B, 0x65, 0x31, 0xAB, 0x74, 0xCE, 0xE6, 0xE1, 
0x6F, 0x80, 0xC6, 0xD9, 0x77, 0xC9, 0x50, 0x3C, 0x43, 0x2D, 0xC5, 0xA3, 0x3B, 0x95, 0xCA, 0x5B, 
0x61, 0x0A, 0x3A, 0x33, 0xA7, 0xBD, 0x46, 0xFB, 0x8C, 0x6A, 0xA5, 0x5C, 0x48, 0x78, 0xB5, 0x5A, 
0x16, 0x7C, 0xB2, 0x0E, 0x57, 0x7E, 0xF8, 0x20, 0x47, 0x7A, 0x85, 0x7D, 0xFC, 0xD8, 0xA1, 0x26, 
0xF0, 0x4E, 0xDA, 0xFA, 0x00, 0x9C, 0x18, 0x63, 0x2F, 0xA0, 0x14, 0x81, 0xEC, 0xD0, 0x35, 0xA9, 
0xAE, 0x53, 0x49, 0xE0, 0xE9, 0x01, 0x83, 0x32, 0x39, 0x9D, 0x08, 0x24, 0x94, 0xDB, 0x02, 0x5F, 
0x92, 0x6C, 0x70, 0xA4, 0x66, 0xBA, 0xB9, 0xF7, 0x37, 0xED, 0x05, 0xF2, 0x19, 0xAC, 0x96, 0x8E, 
0x2A, 0x91, 0x3E, 0x17, 0x54, 0x1A, 0xC8, 0xE4, 0x9B, 0x13, 0x04, 0x27, 0xF3, 0xC3, 0x52, 0xA6, 
0xD7, 0x28, 0x9F, 0x9A, 0x06, 0x5D, 0x15, 0x2B, 0xDC, 0x4A, 0x6D, 0x7F, 0x1B, 0xEA, 0xE3, 0xBE, 
0xFE, 0x12, 0x3D, 0xAD, 0xE5, 0x89, 0x97, 0xEE, 0xB6, 0x82, 0xE7, 0x58, 0x10, 0x60, 0xD4, 0x88, 
0x40, 0x1C, 0x86, 0xCF, 0xD5, 0xEB, 0xB3, 0x59, 0x34, 0x64, 0x69, 0x98, 0xB7, 0x8B, 0x3F, 0xCB, 
0x6B, 0x2C, 0xC0, 0x36, 0x0D, 0x79, 0xDF, 0xF5, 0xC2, 0x71, 0xF1, 0x29, 0x51, 0xFD, 0x4C, 0x75, 
0x44, 0x23, 0xAF, 0xEF, 0x55, 0xFF, 0x30, 0xB4, 0xB0, 0xBF, 0x25, 0xF9, 0x42, 0xB8, 0xCD, 0x1D, 
0x1F, 0x38, 0x2E, 0x41, 0xBB, 0x0C, 0x4D, 0x67, 0xDE, 0x0B, 0xBC, 0x87, 0x7B, 0x1E, 0x8D, 0xDD, 
0x84, 0x6E, 0x90, 0x45, 0x9E, 0x93, 0xD6, 0x5E, 0xAA, 0xF4, 0xCC, 0x4F, 0xC1, 0xD3, 0x62, 0xD1, 
0x8A, 0xA2, 0x56, 0x07, 0x99, 0xC7, 0xD2, 0xF6, 0xA8, 0x0F, 0x72, 0x73, 0x11, 0xE8, 0xB1, 0x68, 
NL=104
