target sbox:
0xA8, 0x8D, 0xC2, 0x60, 0xD7, 0xAD, 0xDB, 0xB4, 0xFD, 0x8C, 0xF6, 0xC3, 0x95, 0x93, 0x0F, 0x17, 
0xE8, 0xBC, 0x94, 0x67, 0x8B, 0xB8, 0x68, 0xF5, 0x21, 0x74, 0x9A, 0x29, 0x32, 0x25, 0xEF, 0xCD, 
0x1F, 0xF9, 0x05, 0xAE, 0xB3, 0x62, 0x37, 0x3A, 0x36, 0x4C, 0x3E, 0x06, 0x89, 0x9C, 0xE3, 0xE2, 
0xA5, 0x73, 0x82, 0x5D, 0xC0, 0xA7, 0x5A, 0xD0, 0x59, 0xC5, 0x4E, 0x45, 0x02, 0x4F, 0x54, 0x6F, 
0xD8, 0xDC, 0xDF, 0xF3, 0x08, 0x98, 0xBA, 0x0B, 0x71, 0x24, 0xD4, 0xED, 0xFC, 0x47, 0x49, 0xE5, 
0x9F, 0x22, 0x97, 0x64, 0x80, 0xFE, 0x30, 0x20, 0x0E, 0x13, 0xE9, 0x91, 0x5E, 0xE4, 0x6E, 0x69, 
0x5C, 0xF1, 0x3F, 0x19, 0xA1, 0xDE, 0x53, 0x81, 0x56, 0x92, 0x44, 0x7B, 0x2D, 0xD3, 0xAC, 0xC6, 
0x96, 0xB0, 0x55, 0x5F, 0xB6, 0x8F, 0xA6, 0xAB, 0x9E, 0x51, 0x35, 0xD2, 0xCC, 0x16, 0xA0, 0x40, 
0x01, 0x77, 0x33, 0x11, 0xA2, 0x76, 0xC9, 0x52, 0xEC, 0x43, 0xC8, 0x23, 0x03, 0x58, 0x61, 0xF8, 
0x04, 0x65, 0x41, 0x2F, 0xDA, 0x78, 0x26, 0x57, 0x3B, 0x27, 0x46, 0xA4, 0xD6, 0x2C, 0x50, 0x28, 
0x2E, 0xCB, 0x90, 0x1C, 0xE7, 0xCF, 0xE6, 0xAF, 0xA9, 0x6C, 0x99, 0x63, 0x4B, 0x48, 0x0C, 0xE0, 
0x12, 0x3C, 0xB2, 0xF4, 0x07, 0xA3, 0xF2, 0x7C, 0x87, 0x1A, 0x8A, 0xC1, 0x70, 0x38, 0x2A, 0xAA, 
0x42, 0x6B, 0x1E, 0xBF, 0xEE, 0xCE, 0x4A, 0xD5, 0x7F, 0x31, 0x09, 0x79, 0x6D, 0x8E, 0xF7, 0x14, 
0xFB, 0x1B, 0xE1, 0xF0, 0x84, 0x9D, 0x00, 0x83, 0x2B, 0x75, 0xC4, 0x4D, 0x66, 0x88, 0xBD, 0x86, 
0xEA, 0x85, 0x0D, 0xB9, 0x3D, 0x0A, 0xCA, 0x9B, 0xBE, 0x72, 0x7A, 0x5B, 0x10, 0xB5, 0x6A, 0xC7, 
0xB1, 0x7D, 0x15, 0x1D, 0xFA, 0xBB, 0xD9, 0xB7, 0x34, 0x39, 0xD1, 0x18, 0xDD, 0xEB, 0x7E, 0xFF, 
NL=104
