target sbox:
0x82, 0x3F, 0x7F, 0x00, 0xDC, 0x5A, 0xF5, 0x5F, 0xFC, 0xD4, 0x31, 0x1A, 0x8F, 0xB8, 0x12, 0x23, 
0x52, 0x7D, 0x2D, 0xCF, 0x38, 0x80, 0x09, 0xDA, 0xE3, 0xA0, 0x3D, 0x0F, 0xF7, 0x4B, 0x71, 0xED, 
0xB9, 0xAA, 0x4E, 0xA7, 0x96, 0x7C, 0xA6, 0x91, 0x8B, 0xBB, 0xB7, 0xCA, 0x48, 0x7A, 0x61, 0x5D, 
0x3B, 0x7E, 0x65, 0xE5, 0x32, 0xF3, 0x0C, 0xC2, 0x22, 0x66, 0x2B, 0x21, 0x90, 0x45, 0x59, 0xD5, 
0x6E, 0x92, 0xBF, 0x74, 0x97, 0x26, 0x99, 0xE2, 0xCC, 0x2C, 0x47, 0xAC, 0xB6, 0xEB, 0x86, 0x5E, 
0x6C, 0x0A, 0x85, 0x03, 0x28, 0x50, 0x41, 0xB2, 0xAB, 0x17, 0x42, 0xAD, 0xEC, 0x11, 0xF1, 0xB5, 
0x5C, 0xC1, 0x20, 0xC6, 0x33, 0xF0, 0xA4, 0x54, 0x83, 0xA9, 0x58, 0x5B, 0x1D, 0x9D, 0xB1, 0x6F, 
0x10, 0xB0, 0xDB, 0x64, 0x13, 0x2E, 0x4C, 0x55, 0x9F, 0xD7, 0x37, 0x34, 0x44, 0xE6, 0x3A, 0x57, 
0x49, 0x3E, 0xEF, 0xFE, 0x6B, 0x76, 0x4D, 0x77, 0x93, 0xB3, 0xC5, 0xDF, 0x78, 0xE1, 0x4A, 0xC0, 
0x14, 0xD9, 0x0B, 0xC9, 0x08, 0x75, 0x9E, 0x60, 0xC3, 0xAF, 0xF4, 0x46, 0xEE, 0x70, 0xFA, 0x1C, 
0x02, 0x73, 0x3C, 0x16, 0x56, 0xDD, 0x79, 0x89, 0xBC, 0xD6, 0xF9, 0xB4, 0x51, 0x9B, 0x69, 0xD2, 
0x29, 0xCD, 0xA1, 0x81, 0x95, 0x8E, 0x30, 0xBE, 0x07, 0x62, 0xE4, 0x9A, 0x88, 0xFF, 0x04, 0xE9, 
0x0E, 0x7B, 0xFB, 0xAE, 0x6D, 0x15, 0x87, 0xD1, 0x1B, 0xF8, 0xD0, 0x67, 0xD8, 0x2A, 0xFD, 0x6A, 
0x8C, 0x19, 0xE0, 0xCB, 0xA2, 0xA8, 0x8D, 0x2F, 0x4F, 0x43, 0xD3, 0x36, 0x18, 0xC8, 0x53, 0x27, 
0x05, 0x39, 0xCE, 0x35, 0xEA, 0x25, 0x24, 0xF6, 0x68, 0x98, 0x40, 0xA5, 0xE8, 0xA3, 0xDE, 0xBD, 
0x8A, 0xF2, 0x9C, 0x72, 0x94, 0x0D, 0xE7, 0x84, 0xBA, 0x63, 0x01, 0xC4, 0x1F, 0x06, 0x1E, 0xC7, 
NL=104
