target sbox:
0x76, 0x69, 0xFB, 0x28, 0xFE, 0x00, 0xC0, 0x6A, 0xBF, 0x9A, 0xDB, 0xC5, 0xC9, 0x3A, 0x3C, 0x48, 
0x60, 0x4A, 0xB1, 0x84, 0xFA, 0xE1, 0xD4, 0x51, 0x9F, 0xA6, 0x0C, 0xD5, 0x9C, 0x45, 0xD7, 0x05, 
0x1A, 0xD9, 0xC8, 0x12, 0x50, 0xEE, 0xC6, 0xE4, 0x2F, 0x99, 0x8C, 0x40, 0xF5, 0x79, 0x20, 0x3E, 
0xCE, 0x95, 0xA8, 0x14, 0x5C, 0x35, 0x15, 0xDC, 0x6E, 0x2A, 0x77, 0x66, 0x33, 0x68, 0x1B, 0x4E, 
0x13, 0x8F, 0x89, 0x56, 0x0E, 0x01, 0xCA, 0x36, 0xC7, 0x93, 0x78, 0xAF, 0x7B, 0x2C, 0xD3, 0x9D, 
0xC1, 0xF3, 0xAD, 0xFC, 0xE8, 0x97, 0x5F, 0x3B, 0x81, 0xEF, 0xF0, 0x49, 0x83, 0x44, 0xCF, 0xBA, 
0x6C, 0xA4, 0xDF, 0xA2, 0x19, 0x02, 0x8D, 0xB9, 0x25, 0x64, 0x85, 0xB8, 0xB2, 0x72, 0x9E, 0xE9, 
0xF4, 0x63, 0x5E, 0x38, 0xD6, 0xEA, 0xA7, 0x96, 0x46, 0xF9, 0x04, 0xCC, 0xBC, 0xB4, 0x22, 0xB0, 
0x27, 0x74, 0xAB, 0x86, 0xBE, 0x0B, 0x0A, 0x73, 0x42, 0xEC, 0x26, 0x37, 0x94, 0x5B, 0x0F, 0xE6, 
0xDE, 0xD0, 0x2B, 0x11, 0x18, 0x4C, 0xDA, 0xD1, 0x39, 0x82, 0x5D, 0x24, 0x43, 0x7A, 0x52, 0x29, 
0x6D, 0xCD, 0x08, 0xD8, 0x53, 0xC3, 0x8B, 0xE0, 0x16, 0x23, 0x90, 0x92, 0xA5, 0x9B, 0x1F, 0x54, 
0xA9, 0x87, 0xB7, 0xE7, 0x8E, 0x7E, 0x0D, 0xFD, 0x21, 0x03, 0x58, 0xEB, 0x5A, 0xC4, 0x07, 0xE3, 
0x1E, 0xF7, 0x80, 0xC2, 0x4D, 0xF2, 0x09, 0x88, 0x7D, 0xA3, 0xF1, 0x2D, 0x61, 0x32, 0x31, 0xCB, 
0xB5, 0x7C, 0x6F, 0xDD, 0x3F, 0x06, 0x30, 0xBD, 0x91, 0xED, 0xAE, 0x17, 0xA1, 0xBB, 0x34, 0xAC, 
0x47, 0xA0, 0x55, 0xB6, 0x59, 0x7F, 0x4F, 0x1C, 0xAA, 0x10, 0x62, 0x8A, 0x57, 0x67, 0x4B, 0xB3, 
0x2E, 0x6B, 0x1D, 0x98, 0xE5, 0xD2, 0x41, 0x3D, 0xF8, 0xF6, 0x65, 0xE2, 0x75, 0x70, 0xFF, 0x71, 
NL=104
