target sbox:
0x3B, 0x54, 0x8E, 0x1F, 0xFE, 0x20, 0xD6, 0x04, 0x27, 0xBE, 0x21, 0x4B, 0x9F, 0x16, 0x19, 0x98, 
0x45, 0xC5, 0x97, 0x85, 0x2C, 0xE7, 0xA2, 0x94, 0xD5, 0xC8, 0xF5, 0x5F, 0x11, 0x47, 0x23, 0x8B, 
0xB5, 0xE2, 0xDE, 0x96, 0x25, 0x95, 0x1A, 0x99, 0x49, 0xFA, 0x6A, 0x8C, 0x7A, 0x72, 0xD4, 0xD2, 
0x91, 0x2E, 0x7C, 0xDB, 0xED, 0x1B, 0x0C, 0x6B, 0x67, 0xC6, 0x4F, 0x77, 0xF6, 0xDF, 0x03, 0x1D, 
0x1E, 0xBC, 0x74, 0x63, 0x7F, 0xC0, 0x09, 0x0B, 0x15, 0x34, 0xCE, 0x06, 0x28, 0x3E, 0x9C, 0x42, 
0x4E, 0x35, 0x79, 0x7B, 0x5D, 0x6F, 0xB7, 0x93, 0xE3, 0xB8, 0x14, 0x1C, 0xFC, 0x55, 0x51, 0xF2, 
0x43, 0x82, 0x83, 0x65, 0xE9, 0xC9, 0x70, 0xEF, 0x52, 0xF9, 0x0E, 0x9B, 0x17, 0x71, 0xDD, 0x39, 
0x4A, 0x3F, 0x12, 0xAC, 0xA8, 0xCF, 0xA1, 0x4D, 0x4C, 0xF8, 0x9D, 0x87, 0x08, 0xE8, 0x01, 0xE4, 
0x76, 0x62, 0xB2, 0x38, 0xF1, 0xB3, 0xC2, 0x89, 0xEA, 0xD7, 0xCA, 0x81, 0xD9, 0xB1, 0x0F, 0xD8, 
0x40, 0xC7, 0x61, 0xC4, 0xAF, 0x31, 0x46, 0x9A, 0xA0, 0xB9, 0x2A, 0x18, 0x2F, 0xEC, 0xA5, 0x44, 
0x50, 0x75, 0x6C, 0xD0, 0x5A, 0xC1, 0x41, 0xA3, 0x02, 0xFB, 0x00, 0xBA, 0xDC, 0x6E, 0xF7, 0xE5, 
0xDA, 0x05, 0x22, 0x29, 0x37, 0x7D, 0xAB, 0x8D, 0x33, 0xBD, 0x64, 0x60, 0x24, 0xB4, 0xF3, 0x58, 
0xA6, 0xB6, 0xBF, 0x5C, 0x73, 0xE1, 0x5E, 0xB0, 0x66, 0xE6, 0x53, 0x88, 0xA7, 0x10, 0xD3, 0x86, 
0xC3, 0x3C, 0x59, 0x7E, 0xCC, 0x56, 0x32, 0xF4, 0x8F, 0x9E, 0xEB, 0x0A, 0x84, 0xBB, 0xFD, 0x26, 
0x90, 0xCB, 0x80, 0xAD, 0x30, 0x2B, 0xEE, 0xAA, 0xCD, 0xFF, 0xD1, 0x8A, 0x69, 0x78, 0x3D, 0xA4, 
0x36, 0x2D, 0xA9, 0x57, 0x5B, 0x3A, 0x07, 0x13, 0x92, 0x6D, 0xAE, 0xF0, 0xE0, 0x48, 0x68, 0x0D, 
NL=104
