target sbox:
0x92, 0x4A, 0x7F, 0x8D, 0xBD, 0x49, 0x7B, 0x42, 0x1C, 0xD5, 0xD2, 0x99, 0xD9, 0x82, 0x11, 0x29, 
0xC1, 0x6D, 0xF0, 0xC2, 0xF4, 0x2B, 0xC5, 0xE0, 0x90, 0x68, 0x66, 0x53, 0x9C, 0xAF, 0x85, 0x50, 
0x4E, 0x39, 0x30, 0xC8, 0xFA, 0x18, 0x60, 0x65, 0xDC, 0x2D, 0x58, 0x2A, 0x7E, 0xD4, 0x95, 0x34, 
0x24, 0xE6, 0xF5, 0xA0, 0xB2, 0xF6, 0xD1, 0x7D, 0xB7, 0x1F, 0xD0, 0xAD, 0x14, 0xB5, 0x96, 0x94, 
0x10, 0xD7, 0x09, 0x8C, 0x5A, 0xA9, 0x07, 0x08, 0x40, 0x86, 0x1E, 0x25, 0xAC, 0xC6, 0x71, 0xFF, 
0xBC, 0x21, 0x89, 0x02, 0x87, 0x4D, 0x47, 0xA6, 0x62, 0xCE, 0xA4, 0x97, 0xDF, 0xB3, 0x45, 0x67, 
0x6F, 0x3C, 0xC4, 0x52, 0xFC, 0x51, 0xF7, 0x9E, 0x0E, 0x88, 0xFB, 0xCA, 0xEB, 0xB8, 0x57, 0xEF, 
0xB0, 0x28, 0x84, 0xCB, 0x76, 0xC0, 0x1B, 0x0D, 0x2E, 0x06, 0xA2, 0xA7, 0x48, 0x61, 0xBE, 0x19, 
0x74, 0x78, 0xDE, 0xF9, 0x54, 0xB6, 0x93, 0x5B, 0x8E, 0x16, 0xD3, 0x4C, 0x8B, 0x4B, 0x3B, 0x13, 
0xBF, 0x5C, 0x43, 0xCC, 0xBA, 0x7C, 0x2C, 0x9A, 0x55, 0x26, 0xC3, 0xE2, 0x6E, 0x5F, 0x64, 0xF8, 
0xC9, 0x8A, 0xFE, 0x79, 0x81, 0x22, 0x5E, 0xE4, 0x37, 0xA5, 0x46, 0x7A, 0x2F, 0x32, 0x38, 0x4F, 
0xA1, 0xE1, 0x33, 0x98, 0x56, 0xEE, 0x69, 0x35, 0x3A, 0x15, 0x8F, 0x1A, 0xCF, 0xAA, 0x9D, 0xF3, 
0xF1, 0xAE, 0xED, 0xFD, 0x9B, 0xB4, 0x31, 0xEA, 0x6C, 0x77, 0xEC, 0xBB, 0xDD, 0x44, 0xCD, 0xE3, 
0x5D, 0x75, 0xE7, 0x17, 0xF2, 0x27, 0x83, 0x59, 0x0A, 0x0C, 0x9F, 0xA8, 0x73, 0x12, 0x05, 0x0F, 
0xDB, 0xA3, 0xE8, 0x03, 0x70, 0x3F, 0xE9, 0x6A, 0x01, 0xDA, 0x36, 0x63, 0x41, 0x20, 0x23, 0x3D, 
0x80, 0x04, 0xB9, 0x0B, 0xD8, 0xAB, 0x3E, 0xD6, 0x6B, 0x91, 0xC7, 0xB1, 0x1D, 0x00, 0x72, 0xE5, 
NL=104
