target sbox:
0x47, 0x32, 0x45, 0x30, 0x8B, 0x77, 0xD0, 0x73, 0xD5, 0x5F, 0x0A, 0xB3, 0x2B, 0xB8, 0x18, 0x40, 
0x04, 0x0B, 0xB2, 0xDB, 0x74, 0x31, 0xF8, 0x9C, 0xAD, 0xA4, 0x20, 0xC1, 0x62, 0x2D, 0xE4, 0xA9, 
0x97, 0x4F, 0x34, 0xA3, 0x4E, 0x1E, 0x2F, 0x96, 0x4C, 0x1B, 0x84, 0xE5, 0x2A, 0xFD, 0x39, 0x91, 
0x94, 0x38, 0xCE, 0xD6, 0x93, 0x7A, 0x25, 0xBF, 0xB4, 0xB7, 0x11, 0xA7, 0x44, 0x78, 0x80, 0xBE, 
0x1C, 0xAE, 0x09, 0x75, 0xF2, 0xDF, 0x23, 0x22, 0xC2, 0x87, 0x86, 0xCD, 0x81, 0xBB, 0x63, 0x65, 
0xE9, 0xDD, 0x8E, 0x03, 0x10, 0x57, 0x6D, 0x4D, 0x13, 0x7E, 0xE7, 0x0C, 0x1D, 0x8F, 0x6E, 0x2E, 
0x7D, 0x54, 0x01, 0xE3, 0x72, 0x08, 0xA6, 0xC6, 0x42, 0x0F, 0xCC, 0x99, 0xF3, 0xB9, 0xF4, 0xF0, 
0xEF, 0xCB, 0x98, 0xC7, 0xB5, 0xD3, 0x5E, 0x8A, 0x29, 0x5B, 0x15, 0x7B, 0x53, 0xEA, 0xBD, 0x88, 
0xA5, 0x56, 0x9E, 0x07, 0x12, 0xE6, 0xFA, 0x67, 0x0E, 0x9A, 0x4A, 0x69, 0xF5, 0x48, 0x92, 0x71, 
0x37, 0x70, 0x8D, 0xED, 0x9B, 0x6A, 0x24, 0x79, 0xF6, 0x27, 0x9F, 0xB6, 0xAA, 0xD1, 0x28, 0x17, 
0xE0, 0x83, 0x5A, 0x02, 0x85, 0xAF, 0x43, 0x5C, 0x3C, 0xA2, 0xF9, 0xB0, 0x66, 0xC9, 0x6F, 0x2C, 
0xEC, 0x21, 0x3A, 0x95, 0x41, 0xD8, 0xF1, 0x00, 0x06, 0x1F, 0x60, 0xC4, 0x76, 0x59, 0xC8, 0xCF, 
0xF7, 0x5D, 0xD4, 0xE8, 0x16, 0x50, 0xFC, 0x3B, 0xAB, 0x36, 0x7C, 0xBA, 0xD7, 0xD9, 0x6B, 0x89, 
0xB1, 0x19, 0xC5, 0x0D, 0x33, 0x68, 0xDA, 0x8C, 0x35, 0xAC, 0xFE, 0x6C, 0xDE, 0x82, 0xD2, 0xBC, 
0xEE, 0xE1, 0xFB, 0xE2, 0x26, 0x9D, 0x4B, 0xC3, 0x3E, 0x90, 0x3F, 0x14, 0x58, 0x51, 0xC0, 0x46, 
0x7F, 0xA0, 0xCA, 0x05, 0xA8, 0x61, 0xA1, 0xFF, 0xEB, 0x55, 0x52, 0x1A, 0x49, 0xDC, 0x64, 0x3D, 
NL=104
