target sbox:
0xAB, 0x35, 0x2E, 0x10, 0x54, 0x68, 0x1C, 0xCD, 0x46, 0x05, 0xE0, 0x44, 0x6F, 0x0E, 0xF5, 0x5B, 
0xB1, 0x74, 0x22, 0x6D, 0xDB, 0x77, 0x67, 0x9C, 0x06, 0x8B, 0x80, 0x7E, 0x76, 0x5D, 0xC4, 0x95, 
0x83, 0x90, 0xA5, 0x30, 0x9E, 0x25, 0xCF, 0xAD, 0xEE, 0x93, 0xA1, 0x3B, 0x3F, 0x78, 0x2D, 0x9A, 
0xEB, 0x69, 0xE3, 0x5A, 0x7C, 0x3D, 0x16, 0xB9, 0xB7, 0x3A, 0xA0, 0x2F, 0x1E, 0xD6, 0x20, 0xFA, 
0x11, 0x24, 0xDE, 0x48, 0xF9, 0x57, 0x1D, 0xBB, 0x34, 0x81, 0x19, 0xF8, 0x36, 0xE2, 0x28, 0x91, 
0xE7, 0x2B, 0xA9, 0xFD, 0x89, 0x51, 0x63, 0x12, 0xB2, 0x0D, 0x52, 0x72, 0x73, 0xC6, 0xE6, 0x8C, 
0xB8, 0x65, 0xF1, 0xEC, 0xC5, 0xE4, 0xC8, 0x75, 0x0C, 0x62, 0x6A, 0x86, 0xAC, 0xF7, 0x33, 0x37, 
0x7D, 0xF6, 0x39, 0x49, 0xD8, 0x7B, 0xEA, 0x18, 0x45, 0x09, 0x87, 0x82, 0x5C, 0x71, 0xCE, 0xF0, 
0x4E, 0xCA, 0x14, 0xAA, 0x98, 0xBA, 0x29, 0xBC, 0x56, 0xE9, 0x60, 0xFB, 0xC9, 0xF2, 0x23, 0xFE, 
0x70, 0x08, 0xD5, 0x58, 0xA6, 0xDD, 0xF4, 0x0B, 0x9D, 0xC2, 0x42, 0x6E, 0x1F, 0xE5, 0x59, 0x50, 
0xCC, 0x53, 0x94, 0x6C, 0x01, 0x7F, 0xF3, 0x4C, 0xD4, 0x9B, 0xBD, 0x97, 0x8E, 0xB3, 0x85, 0x2C, 
0xC1, 0x96, 0x8A, 0xAE, 0x43, 0x64, 0xC7, 0x15, 0xEF, 0xBE, 0xB6, 0x61, 0xED, 0x2A, 0x99, 0xD2, 
0xB5, 0xB0, 0x04, 0x55, 0x4D, 0x13, 0xC3, 0xD9, 0x4B, 0xE8, 0xDC, 0xE1, 0xD7, 0x4A, 0xBF, 0x3E, 
0xA3, 0x8D, 0xFF, 0xD0, 0x0A, 0x1B, 0x03, 0x40, 0xAF, 0x4F, 0xA4, 0x84, 0x41, 0x21, 0x5E, 0x38, 
0x88, 0xD3, 0x8F, 0x9F, 0xCB, 0x1A, 0x26, 0x32, 0x00, 0x0F, 0x5F, 0x31, 0x17, 0xD1, 0x47, 0x66, 
0xC0, 0x02, 0x3C, 0xDA, 0x27, 0x6B, 0xB4, 0x92, 0x07, 0xA2, 0x7A, 0xDF, 0xFC, 0xA8, 0x79, 0xA7, 
NL=104
