target sbox:
0x39, 0x38, 0x44, 0x6A, 0x73, 0xA7, 0x5F, 0x61, 0x9F, 0x1E, 0x2C, 0xE7, 0x95, 0xAF, 0x4D, 0xE8, 
0xAE, 0xF8, 0x20, 0x4C, 0xE9, 0x2E, 0x5C, 0xE2, 0xBE, 0x6D, 0xDF, 0x0A, 0xFF, 0xC8, 0xA8, 0x8B, 
0x99, 0x04, 0x27, 0xD7, 0x6E, 0x6C, 0xEF, 0xB7, 0xB0, 0x9D, 0x31, 0x08, 0x46, 0xC6, 0x2D, 0x53, 
0x45, 0x69, 0xF4, 0xBA, 0x43, 0xF9, 0x4E, 0xD8, 0xA1, 0x23, 0xB4, 0xCB, 0xF7, 0xED, 0x50, 0x68, 
0x24, 0xC0, 0x11, 0xD0, 0x2F, 0x86, 0x63, 0x25, 0x7C, 0x96, 0x13, 0x52, 0xE3, 0xB3, 0xEC, 0xCA, 
0x87, 0x75, 0x36, 0xB8, 0x84, 0x0D, 0xA4, 0xAB, 0x34, 0x54, 0x0C, 0x66, 0xD4, 0x9C, 0xC7, 0x14, 
0x4A, 0x79, 0xEB, 0x01, 0xA9, 0xA6, 0x76, 0x91, 0x78, 0xEE, 0xD2, 0x3F, 0xC9, 0x22, 0x2A, 0xC4, 
0xC2, 0x7B, 0xBC, 0x5A, 0x49, 0x80, 0x1C, 0xF6, 0x81, 0x3A, 0x9B, 0x2B, 0x8D, 0x59, 0x92, 0x28, 
0x17, 0x7F, 0x7D, 0x5E, 0x1A, 0x29, 0xFD, 0x8E, 0xAA, 0xB2, 0x85, 0x60, 0xFB, 0xC5, 0xD5, 0x82, 
0xAC, 0x05, 0x8A, 0x88, 0xD6, 0xFC, 0x47, 0x42, 0xDB, 0xD1, 0x58, 0x12, 0xD3, 0x3B, 0xBF, 0x90, 
0x18, 0x1F, 0x00, 0xF3, 0x8F, 0x26, 0x56, 0x7E, 0x98, 0xDC, 0x65, 0xBD, 0xAD, 0x0B, 0x1D, 0x06, 
0xCE, 0x33, 0xDA, 0x83, 0xCD, 0x70, 0x74, 0xA5, 0x55, 0x94, 0xCF, 0xC3, 0x8C, 0xE1, 0x7A, 0x67, 
0x9A, 0xF1, 0x3C, 0x10, 0xE0, 0xE4, 0x0E, 0xEA, 0x07, 0x21, 0x4F, 0x9E, 0xF5, 0x16, 0xF0, 0x6F, 
0x93, 0x0F, 0xB1, 0xB9, 0xDD, 0xD9, 0x30, 0x15, 0xC1, 0x48, 0xA2, 0x03, 0xB6, 0x32, 0xE5, 0x3E, 
0x09, 0x40, 0xBB, 0xCC, 0xFA, 0xA3, 0x37, 0xA0, 0x51, 0x97, 0x02, 0x62, 0x1B, 0x77, 0x89, 0x5D, 
0x19, 0x5B, 0x72, 0x3D, 0x71, 0xE6, 0x64, 0x4B, 0xFE, 0x6B, 0xB5, 0xDE, 0x57, 0x35, 0x41, 0xF2, 
NL=104
