target sbox:
0x6C, 0xA2, 0x55, 0xEC, 0x08, 0xFB, 0xE0, 0x7A, 0x9B, 0xB0, 0x45, 0x87, 0xE5, 0xCB, 0xA6, 0x36, 
0xC4, 0xF3, 0xCA, 0x23, 0xD7, 0xD6, 0xEF, 0xF1, 0x33, 0xF2, 0x5B, 0xB4, 0x88, 0xED, 0x3D, 0x1A, 
0x6B, 0x20, 0xA0, 0x12, 0x28, 0x4E, 0xF9, 0x13, 0x3E, 0x3A, 0x54, 0xCF, 0x78, 0x17, 0x37, 0x66, 
0xFF, 0x72, 0x63, 0x93, 0x26, 0x27, 0x81, 0xD3, 0xDB, 0xD2, 0xC8, 0x56, 0xBB, 0x9F, 0x8F, 0xFA, 
0xBE, 0x40, 0x35, 0x91, 0xAB, 0x6A, 0xBC, 0xA1, 0xF6, 0x58, 0xB9, 0xE6, 0x9A, 0xA8, 0x51, 0x8A, 
0x6E, 0xEB, 0x09, 0xF7, 0x8E, 0x82, 0x69, 0xE7, 0xC0, 0xF8, 0x1D, 0x7D, 0xAF, 0x8D, 0x41, 0xA9, 
0xC7, 0x6D, 0xBD, 0x67, 0xFC, 0x43, 0x2C, 0xE9, 0xD9, 0x68, 0x62, 0x31, 0x74, 0x32, 0x95, 0x1F, 
0xC6, 0x18, 0x90, 0x9C, 0x97, 0xD8, 0x52, 0xFE, 0x9D, 0x60, 0x14, 0x2E, 0xDE, 0x79, 0x77, 0x4C, 
0xB6, 0xE8, 0xEE, 0xE4, 0x53, 0xF4, 0x2F, 0x25, 0x0A, 0x71, 0x5E, 0xA4, 0xDD, 0x03, 0x2B, 0x4F, 
0x29, 0xC3, 0x83, 0x92, 0x57, 0xD5, 0xE1, 0x11, 0x38, 0x2A, 0xBF, 0xAD, 0x73, 0xE2, 0x5A, 0xC5, 
0x0D, 0xB1, 0x64, 0x10, 0x96, 0xDA, 0x5C, 0x19, 0xB7, 0x8C, 0x47, 0x85, 0xDC, 0xCE, 0x44, 0xBA, 
0x0E, 0x4B, 0x0C, 0x2D, 0x3C, 0x1E, 0x75, 0x49, 0xF5, 0x70, 0xDF, 0x7C, 0xD1, 0x4A, 0xCD, 0x06, 
0xA3, 0xC9, 0x86, 0x15, 0x3B, 0x4D, 0xA7, 0x84, 0x21, 0x99, 0xAA, 0x94, 0x5D, 0x3F, 0x16, 0xAE, 
0x65, 0xB5, 0xAC, 0x42, 0x7B, 0xD0, 0x0F, 0xD4, 0x05, 0xF0, 0x02, 0x76, 0x48, 0x24, 0x61, 0xA5, 
0x7E, 0x07, 0x50, 0x98, 0xEA, 0x1B, 0x6F, 0xE3, 0x39, 0xC1, 0xFD, 0x01, 0x8B, 0x80, 0x46, 0xC2, 
0x9E, 0x04, 0x7F, 0x89, 0x34, 0x59, 0xB8, 0xB2, 0xCC, 0x5F, 0x0B, 0xB3, 0x1C, 0x30, 0x22, 0x00, 
NL=104
