target sbox:
0x1A, 0xB6, 0x75, 0x84, 0xBC, 0x8C, 0x8F, 0x21, 0x3D, 0xD6, 0x49, 0x30, 0xFD, 0xDD, 0x10, 0x5C, 
0x51, 0xA2, 0x67, 0x32, 0xAD, 0xEA, 0xEF, 0x6F, 0xF3, 0xA5, 0x54, 0xC4, 0xE3, 0xA1, 0x96, 0xEB, 
0x7A, 0x2E, 0xF4, 0xB9, 0xF2, 0xF5, 0x52, 0xBA, 0xA6, 0xDB, 0x0C, 0x7D, 0x95, 0xD5, 0x99, 0x17, 
0x81, 0xC3, 0xF1, 0xAC, 0xFB, 0x7F, 0x2F, 0x36, 0x9E, 0x5F, 0xE6, 0x70, 0x55, 0x68, 0x85, 0x8B, 
0x9C, 0x58, 0xF0, 0x1F, 0x86, 0x8D, 0xC6, 0x82, 0x18, 0x1E, 0xD4, 0x05, 0x7C, 0xCD, 0xF8, 0x6D, 
0xAE, 0x90, 0xB0, 0x4E, 0xFE, 0xC2, 0xC0, 0x87, 0x66, 0x01, 0x89, 0x46, 0x6B, 0xFA, 0x0D, 0x3A, 
0x4C, 0x56, 0x4F, 0x9D, 0x83, 0x29, 0x45, 0x48, 0xFC, 0xF6, 0x98, 0x27, 0xC1, 0xA0, 0xD8, 0x15, 
0x76, 0xAA, 0xFF, 0x42, 0x5D, 0x1D, 0x71, 0xBF, 0x7E, 0x12, 0x13, 0x88, 0x9F, 0x60, 0x33, 0x77, 
0x50, 0x0F, 0x35, 0x24, 0xDC, 0x4B, 0x2C, 0xB4, 0x3E, 0xD9, 0x41, 0x2D, 0x69, 0x8A, 0xDE, 0xA4, 
0x59, 0x07, 0x34, 0xE8, 0xE5, 0x93, 0xF7, 0x2A, 0x5B, 0xE2, 0x47, 0xAB, 0x8E, 0x61, 0x79, 0x6A, 
0xB7, 0x39, 0xB3, 0x2B, 0x3B, 0x38, 0xE1, 0xAF, 0x6C, 0x44, 0xD3, 0x02, 0xC8, 0x40, 0x19, 0x1C, 
0x0E, 0xC7, 0x16, 0xD2, 0xEC, 0x28, 0x06, 0x23, 0xCA, 0x74, 0x08, 0x3C, 0x4A, 0xCC, 0xCF, 0xCB, 
0x03, 0x91, 0x25, 0x78, 0x72, 0x92, 0xBE, 0x63, 0xB5, 0xE4, 0xCE, 0x37, 0x9A, 0xC5, 0x9B, 0x5A, 
0xA8, 0x57, 0x5E, 0x43, 0x1B, 0x00, 0x22, 0x0A, 0x09, 0x04, 0x20, 0xD1, 0xDF, 0xA9, 0x26, 0x65, 
0x3F, 0x31, 0xA7, 0xF9, 0xED, 0xE9, 0x7B, 0xC9, 0xEE, 0x73, 0xBB, 0x6E, 0xD7, 0x4D, 0x0B, 0x62, 
0xB2, 0xB1, 0xA3, 0xD0, 0xDA, 0x97, 0x53, 0x94, 0xE0, 0xBD, 0xE7, 0x64, 0x14, 0xB8, 0x80, 0x11, 
NL=104
