target sbox:
0x26, 0xC0, 0xB0, 0xFD, 0x25, 0x3B, 0x72, 0xDC, 0xF1, 0x29, 0x37, 0x6F, 0x2C, 0xD7, 0x89, 0xC4, 
0xEA, 0x6C, 0x6D, 0x8D, 0x7D, 0x35, 0xBE, 0x67, 0x5A, 0x0F, 0xAE, 0x22, 0xE5, 0x8B, 0x5F, 0xAF, 
0x27, 0x52, 0xD5, 0x55, 0x3C, 0x6B, 0xC2, 0x1F, 0x99, 0x90, 0x74, 0xB2, 0x95, 0x43, 0x75, 0x18, 
0x9C, 0x44, 0xF9, 0x4C, 0x97, 0x9E, 0xB1, 0x41, 0x49, 0x73, 0x84, 0xEF, 0x39, 0x60, 0x4F, 0xA9, 
0x33, 0xD2, 0x71, 0xAA, 0xFE, 0xBB, 0xF2, 0x54, 0x6A, 0x94, 0x6E, 0x34, 0x28, 0xA1, 0xF7, 0xD4, 
0x12, 0x04, 0x92, 0x65, 0x3D, 0xB5, 0x5D, 0xE4, 0x21, 0x3A, 0xE0, 0x47, 0xDE, 0xEB, 0x0B, 0x63, 
0xAC, 0x98, 0xF8, 0x2D, 0xEC, 0x15, 0x5E, 0x66, 0xAD, 0x13, 0xBC, 0x30, 0xFB, 0xC7, 0xCE, 0x68, 
0x7B, 0xE3, 0x9D, 0x91, 0x86, 0xC1, 0xA6, 0x19, 0xD0, 0x05, 0xED, 0x64, 0xA0, 0xCF, 0xCA, 0xA5, 
0xDD, 0x32, 0x16, 0x85, 0xEE, 0xBF, 0x09, 0x87, 0x7F, 0xA8, 0x62, 0xF6, 0xFC, 0x50, 0xDF, 0xD9, 
0xB6, 0xF3, 0x46, 0xDA, 0x88, 0x07, 0x9F, 0xA4, 0xC9, 0xAB, 0x7A, 0xCD, 0x5B, 0xE2, 0x03, 0x58, 
0xF0, 0xE8, 0x93, 0x4E, 0xB4, 0x02, 0xB3, 0x2B, 0xE1, 0xD1, 0x59, 0x83, 0x3F, 0x11, 0x81, 0xE9, 
0x61, 0x8E, 0x56, 0x1D, 0xBD, 0xBA, 0x79, 0x42, 0x2F, 0x80, 0x77, 0x69, 0x76, 0x45, 0xD6, 0xE7, 
0x10, 0xCC, 0x1E, 0x96, 0x2A, 0x1B, 0x0E, 0x1C, 0xC5, 0x0D, 0x82, 0x14, 0xB9, 0x0C, 0x38, 0x0A, 
0x8F, 0x5C, 0x48, 0xD8, 0xD3, 0xB8, 0xB7, 0xCB, 0x57, 0x06, 0x51, 0xFA, 0x24, 0xA2, 0x36, 0x01, 
0x7E, 0x20, 0x23, 0x4D, 0x8A, 0xA3, 0xF5, 0x78, 0x00, 0x17, 0x1A, 0x4A, 0x53, 0x70, 0xC8, 0xE6, 
0x40, 0xC6, 0x9B, 0xC3, 0xA7, 0x08, 0x4B, 0xFF, 0xDB, 0x8C, 0x2E, 0x7C, 0x31, 0xF4, 0x9A, 0x3E, 
NL=104
