target sbox:
0xE3, 0xF0, 0x27, 0x43, 0x9F, 0xB0, 0x01, 0x47, 0xAB, 0x35, 0xC2, 0x31, 0xCD, 0x2B, 0x07, 0xD8, 
0x91, 0x55, 0x72, 0x9E, 0xAA, 0xB9, 0x17, 0x02, 0x8A, 0xF6, 0x42, 0xE7, 0x5D, 0x3D, 0x0D, 0xB7, 
0x2E, 0x1D, 0x0C, 0x96, 0x11, 0xFF, 0x59, 0x54, 0xDA, 0x37, 0x44, 0xA8, 0xA3, 0x88, 0x60, 0x56, 
0x52, 0x0E, 0x63, 0x94, 0xD9, 0x78, 0xC1, 0x2C, 0x93, 0x45, 0xF4, 0x76, 0xBA, 0x4B, 0xA7, 0x20, 
0x5B, 0x3A, 0xED, 0xE6, 0x1A, 0xF5, 0xFE, 0x00, 0x3B, 0xB6, 0x13, 0x12, 0x38, 0x9A, 0x04, 0x2A, 
0x3C, 0xDD, 0xFD, 0xB5, 0xDC, 0xFA, 0x1C, 0xB4, 0x7E, 0xD0, 0xFB, 0x90, 0x29, 0x58, 0x83, 0xD7, 
0xD2, 0x57, 0x4D, 0x9D, 0x98, 0x34, 0x15, 0xE9, 0x97, 0x03, 0xE4, 0x7A, 0x84, 0xDB, 0x32, 0xA4, 
0x85, 0xF7, 0x06, 0xF3, 0x5C, 0x48, 0x39, 0x30, 0xCF, 0x7C, 0xA9, 0x4C, 0x46, 0x19, 0x33, 0xCE, 
0x8B, 0x49, 0x24, 0x75, 0x6F, 0x08, 0x61, 0x87, 0xA0, 0xEB, 0x6B, 0x16, 0xD5, 0x0B, 0xCA, 0x1F, 
0x73, 0x3F, 0xE0, 0xBD, 0xB2, 0x68, 0x6D, 0xE8, 0x53, 0x95, 0xA1, 0xAF, 0x67, 0xEE, 0xA6, 0xC4, 
0x50, 0x7F, 0x10, 0xF8, 0x2F, 0xE2, 0xC7, 0xB3, 0x22, 0x0A, 0xD4, 0x23, 0x09, 0x2D, 0xF2, 0x14, 
0xD1, 0xEA, 0xF9, 0xDF, 0x62, 0x5E, 0xEC, 0xEF, 0x9C, 0x4F, 0x5A, 0x1B, 0x3E, 0x71, 0xAC, 0xC5, 
0xBC, 0xAD, 0x69, 0x79, 0xE5, 0x7B, 0xC9, 0xC0, 0x4A, 0x86, 0xF1, 0xC3, 0xB1, 0x64, 0x7D, 0xCC, 
0x6A, 0x26, 0x36, 0xC8, 0x9B, 0x77, 0x8F, 0x25, 0x70, 0x66, 0x51, 0x5F, 0x18, 0xA5, 0xC6, 0x40, 
0x4E, 0x21, 0x89, 0xA2, 0x28, 0x41, 0x8C, 0x8D, 0x74, 0xCB, 0x65, 0xAE, 0x80, 0x0F, 0x81, 0x1E, 
0x8E, 0x82, 0xD3, 0xFC, 0xDE, 0x92, 0xB8, 0x6E, 0x05, 0xE1, 0xD6, 0xBB, 0xBF, 0x99, 0xBE, 0x6C, 
NL=104
