target sbox:
0x3B, 0x74, 0x60, 0x3A, 0x6F, 0xA3, 0x88, 0xB2, 0x01, 0x7B, 0xF5, 0x66, 0xF4, 0x12, 0xD3, 0x06, 
0x69, 0xC6, 0x79, 0xE3, 0x6C, 0x45, 0xDB, 0xDF, 0xBE, 0xAC, 0x75, 0xD6, 0x7F, 0x23, 0xE7, 0xDE, 
0x68, 0x07, 0xEC, 0x7A, 0x33, 0x91, 0xC9, 0xCF, 0x4B, 0xA6, 0xEF, 0xD0, 0x9A, 0x03, 0x7E, 0x35, 
0x4E, 0xD1, 0x9D, 0xEB, 0xF7, 0x7D, 0xB4, 0x89, 0xA5, 0x63, 0x25, 0x09, 0x5A, 0xEE, 0xD7, 0xBA, 
0x18, 0x08, 0x02, 0x04, 0xA7, 0xE1, 0xB9, 0x31, 0x8C, 0x3D, 0xF1, 0x19, 0x6A, 0x2B, 0x11, 0x1A, 
0x34, 0xFC, 0x48, 0xA9, 0x84, 0x0F, 0x2E, 0xBC, 0x1C, 0x7C, 0xB5, 0xF9, 0x78, 0x8A, 0xE4, 0x6D, 
0x2F, 0x65, 0x97, 0x4F, 0xD5, 0x83, 0x58, 0xD4, 0xB3, 0x67, 0x1E, 0x0A, 0x87, 0x26, 0x20, 0x49, 
0x54, 0x8D, 0x4C, 0x13, 0x38, 0x39, 0x0B, 0xA2, 0x50, 0x32, 0x62, 0x9C, 0x46, 0x6B, 0x93, 0x24, 
0x72, 0xE2, 0x0C, 0xD2, 0x70, 0x27, 0x57, 0x29, 0x61, 0x5D, 0xBF, 0xFD, 0x14, 0x96, 0x77, 0x76, 
0x55, 0xFA, 0x9B, 0x2A, 0xC8, 0xDD, 0xE0, 0x37, 0xAA, 0xF2, 0xD8, 0xE6, 0xCD, 0xF6, 0x95, 0xAE, 
0x73, 0xA0, 0xB7, 0x8F, 0xC5, 0x82, 0xFE, 0xF3, 0x92, 0x81, 0x59, 0xEA, 0x8E, 0x42, 0xC3, 0x0D, 
0xC7, 0xAF, 0x3E, 0x8B, 0xED, 0x41, 0x16, 0x4A, 0xB1, 0x30, 0xF8, 0x3F, 0xC4, 0xBB, 0xAD, 0x40, 
0x2C, 0x5B, 0x85, 0xAB, 0x17, 0xDC, 0x22, 0xA4, 0xC1, 0x10, 0xC2, 0x56, 0xCB, 0x71, 0x4D, 0xB0, 
0xA8, 0x9E, 0x5E, 0x43, 0xC0, 0x1F, 0xD9, 0x28, 0x64, 0x9F, 0x5C, 0xBD, 0xF0, 0x90, 0x2D, 0x05, 
0x53, 0xFB, 0xB6, 0x94, 0x36, 0xCC, 0x86, 0x98, 0x44, 0x15, 0x1B, 0xCA, 0xDA, 0x1D, 0xFF, 0xE8, 
0x5F, 0x51, 0x99, 0xB8, 0x47, 0x00, 0xA1, 0x6E, 0x52, 0x80, 0x3C, 0x0E, 0x21, 0xE9, 0xCE, 0xE5, 
NL=104
