target sbox:
0x7A, 0xDD, 0x25, 0x78, 0x04, 0xA4, 0xFB, 0x4E, 0xB6, 0xD2, 0xB5, 0x17, 0xC1, 0x24, 0xBB, 0x20, 
0x02, 0xE3, 0x15, 0x30, 0x01, 0xAF, 0x9B, 0xEC, 0xF4, 0x91, 0x7B, 0x60, 0x8F, 0x8C, 0xCF, 0x8E, 
0x54, 0x22, 0x2A, 0x8B, 0xB3, 0xC4, 0x0B, 0x28, 0x42, 0x5A, 0x49, 0xFE, 0x1A, 0x76, 0xA8, 0xE9, 
0x7E, 0xE1, 0x47, 0xDB, 0x85, 0x09, 0xE5, 0x1B, 0x39, 0x40, 0x43, 0xC6, 0xB4, 0x06, 0x68, 0x12, 
0x7F, 0x7D, 0x95, 0xF1, 0x6C, 0xCC, 0x6A, 0xB9, 0x2B, 0xB7, 0x9D, 0x57, 0x86, 0x0E, 0x2C, 0x4C, 
0x8D, 0x59, 0xA5, 0xBD, 0xD7, 0x1E, 0xB0, 0x1C, 0x3E, 0xCB, 0x63, 0x71, 0x29, 0x1D, 0x72, 0x79, 
0x6B, 0xBA, 0x3C, 0x82, 0x41, 0x2D, 0xAB, 0x74, 0xE7, 0xD4, 0x03, 0xCE, 0x37, 0xA6, 0x3A, 0xD5, 
0x21, 0xAC, 0xCD, 0x2E, 0xE4, 0xC9, 0xCA, 0x1F, 0x05, 0x16, 0x35, 0xDC, 0x5C, 0x50, 0x4F, 0x44, 
0x64, 0x19, 0x7C, 0x5E, 0xAD, 0xFA, 0x2F, 0xA9, 0xC0, 0xF9, 0xA2, 0x89, 0x77, 0x32, 0x6E, 0xB2, 
0x5D, 0x87, 0xA7, 0x4D, 0x56, 0xED, 0x97, 0x94, 0xBF, 0x58, 0xAA, 0x10, 0x34, 0x65, 0xC7, 0xE0, 
0x14, 0x51, 0x9F, 0x66, 0x99, 0x9C, 0x11, 0xB8, 0x52, 0x00, 0xC3, 0x5F, 0xD1, 0x73, 0x13, 0x92, 
0xA3, 0xC5, 0x0A, 0x55, 0xDE, 0x80, 0xD0, 0x88, 0x3D, 0xF0, 0x53, 0xDA, 0xB1, 0x83, 0xF8, 0xD6, 
0x07, 0x23, 0xDF, 0x4A, 0x98, 0xD3, 0x3F, 0x08, 0x93, 0x4B, 0x27, 0x33, 0xC2, 0xF3, 0x9A, 0xFC, 
0xE2, 0xBE, 0x75, 0x8A, 0xEB, 0x90, 0x38, 0x62, 0xFD, 0x0C, 0x96, 0x67, 0xEA, 0x0F, 0x5B, 0xA1, 
0x84, 0xA0, 0x0D, 0xBC, 0xEF, 0xFF, 0xD9, 0x26, 0x31, 0xEE, 0xE8, 0x6F, 0x69, 0x48, 0x18, 0x46, 
0x6D, 0x81, 0xF5, 0xAE, 0x36, 0xD8, 0x61, 0xC8, 0x70, 0x45, 0xE6, 0x9E, 0xF6, 0xF2, 0xF7, 0x3B, 
NL=104
