target sbox:
0x43, 0x2E, 0xDE, 0x2A, 0xAF, 0x7A, 0x92, 0xB5, 0xA1, 0x60, 0x23, 0x0E, 0x80, 0x66, 0x36, 0x0A, 
0xF1, 0x6E, 0xF4, 0x4A, 0xC7, 0xC3, 0xA4, 0x11, 0x72, 0x1F, 0x13, 0x19, 0x46, 0x7F, 0x84, 0x18, 
0xEE, 0x37, 0x2D, 0xC2, 0x9B, 0xD0, 0xA8, 0x47, 0x6B, 0xBB, 0x9E, 0x09, 0x64, 0xCD, 0xE8, 0x20, 
0x21, 0x39, 0x12, 0xA9, 0x52, 0x5D, 0x10, 0x4B, 0x3E, 0x28, 0x69, 0x42, 0x1E, 0xCC, 0xEA, 0x76, 
0x27, 0x31, 0xEC, 0x01, 0x8D, 0xC0, 0xDF, 0x3F, 0x00, 0x5B, 0x14, 0xF0, 0x0F, 0xAA, 0x9F, 0x63, 
0x50, 0xEF, 0xB0, 0xB2, 0x90, 0x55, 0xEB, 0xFD, 0xB1, 0xED, 0x35, 0x81, 0x26, 0x25, 0x4E, 0x08, 
0xE1, 0xE4, 0x1B, 0xD3, 0xE9, 0x7B, 0xD4, 0x0D, 0xE0, 0x8B, 0x40, 0x2C, 0xB3, 0x56, 0xBF, 0x6C, 
0xD8, 0x3C, 0xB8, 0xD5, 0x06, 0x58, 0xBD, 0x5A, 0x6F, 0x7D, 0x32, 0xF3, 0x30, 0x94, 0x6A, 0xAB, 
0xD6, 0x78, 0x8E, 0x44, 0xD1, 0x99, 0xBA, 0x02, 0xFE, 0xDB, 0x70, 0x7C, 0x57, 0xD2, 0x29, 0xA2, 
0xA5, 0x4D, 0x05, 0x3B, 0xF9, 0xDA, 0x17, 0x4F, 0x97, 0xE7, 0x54, 0xE6, 0x33, 0x62, 0x1D, 0xD9, 
0xDD, 0x9D, 0x7E, 0x85, 0xF8, 0xA6, 0x2F, 0xC4, 0xE3, 0x34, 0x83, 0xC9, 0x73, 0xE5, 0xCF, 0xC5, 
0x9C, 0x82, 0x61, 0xC6, 0xA0, 0xB7, 0xC8, 0xB6, 0xA7, 0xFF, 0xF6, 0x2B, 0x5F, 0x89, 0x74, 0xD7, 
0xFB, 0xAC, 0x04, 0x53, 0xAE, 0x8A, 0x0C, 0x9A, 0xBC, 0xCB, 0x24, 0x65, 0x79, 0xF5, 0x03, 0xCA, 
0x0B, 0x96, 0x3A, 0x8F, 0x68, 0x1C, 0x87, 0x51, 0x71, 0x95, 0x5C, 0x15, 0x41, 0x07, 0x88, 0x48, 
0x6D, 0x22, 0xCE, 0x91, 0x5E, 0xB4, 0x49, 0xBE, 0x45, 0x77, 0xFA, 0x16, 0x93, 0xAD, 0x98, 0x8C, 
0xF2, 0x38, 0xE2, 0x59, 0xC1, 0xF7, 0x3D, 0xB9, 0xDC, 0x1A, 0x67, 0x75, 0xA3, 0x86, 0xFC, 0x4C, 
NL=104
