target sbox:
0xD2, 0x52, 0xD0, 0xD8, 0x6D, 0x71, 0x2A, 0x8A, 0xCB, 0xDC, 0x45, 0x4A, 0x7A, 0x42, 0x6C, 0xFE, 
0x37, 0xD5, 0x3A, 0xBD, 0xE8, 0x8F, 0x6F, 0x10, 0xDE, 0x89, 0x57, 0x75, 0x17, 0x55, 0xCF, 0x84, 
0xBA, 0x86, 0xA7, 0x60, 0x64, 0xD9, 0xEA, 0x09, 0xBC, 0xB6, 0xF6, 0xE9, 0xC8, 0xD4, 0x5C, 0x96, 
0x8D, 0xAA, 0x9E, 0xBF, 0xD3, 0xDF, 0x46, 0xAF, 0x01, 0x2F, 0x50, 0x40, 0xE0, 0x48, 0xC0, 0x0E, 
0x1C, 0x85, 0x8B, 0x2C, 0x70, 0xFB, 0x4E, 0xF7, 0x16, 0x63, 0x99, 0x3F, 0xF3, 0xAB, 0x06, 0x19, 
0x53, 0x0F, 0x47, 0x26, 0x14, 0x8C, 0x07, 0x29, 0xE1, 0x98, 0x5A, 0x35, 0x33, 0xAC, 0x5D, 0x28, 
0xFD, 0xCD, 0x9B, 0xD1, 0x11, 0xB5, 0x7C, 0x05, 0x34, 0x78, 0x81, 0x04, 0x0D, 0xFC, 0xC2, 0xBE, 
0xB7, 0x6A, 0x41, 0xDB, 0xA0, 0xCC, 0x2B, 0x80, 0x9F, 0x67, 0x1B, 0xA4, 0xAD, 0xB8, 0x44, 0xE7, 
0x25, 0x6B, 0x97, 0x9D, 0x65, 0x61, 0x38, 0x18, 0x66, 0x93, 0xB9, 0x43, 0xC4, 0x77, 0xF0, 0x4F, 
0x82, 0xC6, 0xE2, 0xB3, 0xE5, 0x12, 0x02, 0xD6, 0xCE, 0x6E, 0x20, 0x72, 0x31, 0xE3, 0xB1, 0x2D, 
0x8E, 0x13, 0x62, 0x5F, 0xE6, 0xA3, 0x74, 0x3E, 0x56, 0x9A, 0x5E, 0x3D, 0xFA, 0x0C, 0xA2, 0xC5, 
0x39, 0x03, 0x4C, 0x87, 0x23, 0x1D, 0x22, 0xED, 0xEC, 0xEF, 0xC1, 0x7B, 0x2E, 0x95, 0x36, 0x88, 
0xA6, 0x69, 0xF5, 0xB0, 0xEB, 0x1F, 0xBB, 0xF9, 0x79, 0x21, 0xB4, 0x3B, 0xDA, 0x32, 0x7E, 0x0B, 
0x24, 0x7F, 0x3C, 0xA9, 0x59, 0x76, 0xAE, 0x5B, 0xA5, 0x49, 0xCA, 0xEE, 0xF2, 0xF4, 0x94, 0xD7, 
0xC9, 0x15, 0xF1, 0xFF, 0xF8, 0x4D, 0x73, 0x00, 0x90, 0x27, 0xB2, 0xC3, 0x58, 0x0A, 0x30, 0x83, 
0x68, 0x1A, 0xC7, 0xDD, 0x54, 0xA8, 0xE4, 0x7D, 0x9C, 0x92, 0x51, 0x1E, 0xA1, 0x08, 0x4B, 0x91, 
NL=104
