target sbox:
0x61, 0xB8, 0x1D, 0xDA, 0x98, 0x52, 0x4D, 0xA8, 0x2B, 0x65, 0x33, 0x88, 0x62, 0xBF, 0x9C, 0x13, 
0xC6, 0x4C, 0x0D, 0x8A, 0xD7, 0x3B, 0x0B, 0x49, 0x89, 0x66, 0x40, 0xC5, 0x69, 0xBD, 0x7D, 0x3D, 
0x2C, 0xE6, 0x74, 0xC4, 0x44, 0x3C, 0xBE, 0x5B, 0x07, 0x30, 0x3A, 0x7B, 0xC2, 0x2D, 0xAB, 0x56, 
0xA7, 0x0C, 0x2A, 0x55, 0x29, 0x81, 0x8D, 0x9B, 0xF4, 0x8B, 0x23, 0x54, 0xD9, 0x4B, 0xFF, 0x00, 
0x35, 0xD3, 0x06, 0x8E, 0xEA, 0xCD, 0x99, 0xE4, 0xFC, 0x48, 0x6C, 0x92, 0x7A, 0x1F, 0x67, 0x86, 
0x7F, 0x12, 0xE5, 0xAA, 0x09, 0x1A, 0xA6, 0x77, 0x32, 0xAE, 0xD4, 0xB0, 0xEC, 0xF8, 0x93, 0xB2, 
0xC8, 0xB3, 0x9E, 0x73, 0x11, 0x51, 0xAF, 0xEE, 0x1C, 0x17, 0x58, 0x05, 0xBA, 0xE8, 0xDB, 0x60, 
0x90, 0x9F, 0x87, 0x63, 0x02, 0x31, 0x6D, 0xF3, 0x21, 0x3E, 0x79, 0x94, 0xC7, 0xFE, 0xE3, 0x71, 
0x5C, 0xA5, 0x70, 0x36, 0x46, 0x6A, 0xFD, 0xCB, 0xC3, 0xDC, 0x9A, 0xD0, 0xAD, 0x04, 0x96, 0xF1, 
0x10, 0xBB, 0xA9, 0xB5, 0x6E, 0xB4, 0x4A, 0xCE, 0x01, 0x4F, 0xA3, 0x28, 0xE9, 0xF2, 0x0F, 0x6F, 
0xE7, 0x72, 0xC0, 0xCF, 0x20, 0x43, 0x76, 0x6B, 0xF5, 0xB1, 0xA4, 0x45, 0x38, 0xED, 0x57, 0x7E, 
0x19, 0x25, 0x03, 0xC9, 0x24, 0x27, 0x22, 0x08, 0x41, 0xCC, 0xB9, 0xF9, 0x64, 0xF7, 0x0E, 0x75, 
0x78, 0xA2, 0x34, 0x2F, 0x16, 0xAC, 0x5E, 0x37, 0xEF, 0xD5, 0x14, 0xD8, 0xD6, 0x50, 0x80, 0xA1, 
0x95, 0x2E, 0xBC, 0xF6, 0x47, 0xD2, 0xEB, 0xFB, 0x5D, 0xE2, 0x85, 0x83, 0x5F, 0x0A, 0xFA, 0xD1, 
0xF0, 0x42, 0xDF, 0x68, 0x5A, 0x3F, 0x59, 0x97, 0x7C, 0x1B, 0x39, 0x15, 0xE0, 0xB7, 0xC1, 0x84, 
0x91, 0x4E, 0x53, 0x18, 0xDE, 0xCA, 0x8C, 0x1E, 0xE1, 0x26, 0xB6, 0x9D, 0x8F, 0xDD, 0xA0, 0x82, 
NL=104
