target sbox:
0x27, 0xF7, 0xAD, 0x3B, 0x8B, 0x32, 0xB2, 0x0D, 0x73, 0x2A, 0xB9, 0x6F, 0x6E, 0xEA, 0x45, 0x1D, 
0xE0, 0x5C, 0x15, 0xA3, 0x91, 0x5E, 0x53, 0x6D, 0xD5, 0xE4, 0x50, 0xCB, 0x05, 0xEF, 0x99, 0x42, 
0xDF, 0x22, 0x09, 0xFC, 0xCD, 0x03, 0x60, 0x02, 0x77, 0x94, 0x38, 0xC7, 0x2B, 0xC8, 0x57, 0x3F, 
0xF6, 0x29, 0x04, 0xC2, 0x7F, 0xB4, 0x56, 0x82, 0x79, 0xAC, 0xEB, 0x21, 0xED, 0xF3, 0xAF, 0x96, 
0x16, 0x43, 0xDD, 0x12, 0x64, 0xBA, 0x1E, 0x13, 0x92, 0x9E, 0x66, 0x97, 0x44, 0x70, 0x10, 0xCE, 
0xEC, 0xF0, 0x1C, 0x65, 0x0B, 0xA0, 0x7C, 0x7E, 0x3E, 0x9D, 0x9B, 0xFD, 0x25, 0x5A, 0x07, 0x89, 
0xDB, 0xC9, 0x20, 0xC6, 0xCC, 0x4F, 0xD3, 0x24, 0x52, 0x6A, 0x54, 0x4D, 0x41, 0x6B, 0xF4, 0xBD, 
0xF9, 0x33, 0x23, 0xD7, 0x62, 0xD2, 0x5B, 0x30, 0x71, 0x4A, 0x1B, 0xB8, 0xB3, 0x81, 0xFE, 0xD9, 
0xCA, 0x2F, 0xB5, 0x58, 0xEE, 0xC0, 0x9C, 0x08, 0x26, 0x98, 0x8C, 0x6C, 0x75, 0xFB, 0xC1, 0xB7, 
0x8E, 0x84, 0x2E, 0xF2, 0xE8, 0x7B, 0xE7, 0xC4, 0x88, 0xA5, 0x31, 0x0F, 0x5D, 0xD1, 0x47, 0xA4, 
0x1A, 0x93, 0x06, 0xD6, 0xF8, 0xBB, 0x0E, 0x78, 0x7A, 0x3A, 0x4E, 0x9F, 0x63, 0xAA, 0xA2, 0x19, 
0x3C, 0x72, 0xD0, 0xAB, 0x39, 0xB1, 0xD4, 0x49, 0xE3, 0xE1, 0xA7, 0x35, 0xB6, 0x46, 0x0A, 0xDE, 
0x18, 0xB0, 0xD8, 0x48, 0x8A, 0xF1, 0xDC, 0x01, 0x95, 0x28, 0x1F, 0x0C, 0x36, 0xC3, 0xBF, 0x76, 
0xBC, 0x3D, 0xC5, 0x11, 0x34, 0x8F, 0x7D, 0x67, 0xAE, 0x2C, 0x86, 0xA1, 0x5F, 0x40, 0x8D, 0xE6, 
0x74, 0xDA, 0xBE, 0x83, 0x90, 0x37, 0x2D, 0x68, 0x00, 0x9A, 0xE5, 0x14, 0x69, 0x61, 0xE2, 0x55, 
0x85, 0x80, 0xCF, 0x17, 0xA8, 0x87, 0x59, 0xA9, 0x4C, 0x4B, 0xF5, 0xFA, 0xFF, 0xE9, 0x51, 0xA6, 
NL=104
