target sbox:
0xA1, 0x98, 0xE5, 0x1E, 0xF9, 0xDC, 0xE1, 0x41, 0x89, 0x8C, 0x64, 0x74, 0x69, 0x04, 0xC3, 0x6C, 
0x60, 0x00, 0x3A, 0xB6, 0x82, 0xA4, 0xB9, 0xBB, 0xBC, 0x1B, 0xAF, 0xEE, 0x57, 0x5C, 0xF4, 0xC0, 
0x47, 0xC8, 0x14, 0x48, 0x21, 0x72, 0x91, 0x9B, 0x24, 0x3C, 0x2A, 0xEC, 0xE2, 0xFC, 0x0A, 0xA3, 
0x76, 0x27, 0x05, 0xD4, 0xF8, 0xCE, 0x81, 0x95, 0x80, 0xBD, 0xFB, 0x63, 0x61, 0xB5, 0x18, 0x66, 
0xB1, 0x53, 0xB3, 0xED, 0xD6, 0xE9, 0xA5, 0x99, 0xEB, 0x1F, 0xC1, 0x30, 0xF3, 0xD3, 0x3B, 0x40, 
0x4C, 0x78, 0x9E, 0xAE, 0x6A, 0x7C, 0x67, 0xD0, 0x35, 0x08, 0xBF, 0xAB, 0xBE, 0x3F, 0x93, 0x5A, 
0x10, 0x29, 0xB4, 0x77, 0x86, 0xB0, 0x1D, 0xD7, 0xA6, 0x23, 0xAD, 0xD5, 0x88, 0xE4, 0x8F, 0x12, 
0x52, 0xE0, 0x90, 0x9D, 0x7F, 0xF2, 0x4A, 0x17, 0x62, 0xC9, 0x26, 0x70, 0x8D, 0x2B, 0x36, 0x97, 
0x87, 0xF6, 0x16, 0x1C, 0x84, 0xA8, 0x6E, 0x2C, 0x54, 0x71, 0xF5, 0x96, 0x7E, 0xCA, 0x2F, 0x02, 
0xB7, 0x9F, 0x0F, 0x25, 0x6D, 0x42, 0x0B, 0xD8, 0xC4, 0x5D, 0xA7, 0x09, 0xEF, 0xA0, 0xE6, 0x31, 
0x83, 0x3D, 0x68, 0x0C, 0xDA, 0x37, 0x4F, 0x07, 0xFF, 0x32, 0x19, 0xF0, 0xFA, 0xDB, 0x20, 0x73, 
0x7D, 0x03, 0x51, 0x3E, 0x85, 0x2D, 0x94, 0x43, 0x9C, 0xF1, 0xC7, 0xCB, 0x1A, 0xB2, 0x55, 0xE8, 
0x0D, 0xF7, 0xC6, 0x59, 0xDF, 0x9A, 0x28, 0x11, 0x92, 0x56, 0x50, 0x15, 0x22, 0xDE, 0x79, 0x39, 
0xCD, 0xCF, 0x8A, 0xEA, 0x6F, 0x4B, 0x44, 0xD9, 0x46, 0x65, 0x5B, 0xCC, 0x2E, 0x8B, 0x06, 0xC5, 
0x0E, 0x13, 0x38, 0xE3, 0x4E, 0xC2, 0xD1, 0xB8, 0x58, 0x7A, 0xE7, 0x7B, 0x45, 0x6B, 0xD2, 0x49, 
0xAA, 0x34, 0x33, 0xDD, 0xFD, 0x5E, 0x5F, 0x01, 0x75, 0xFE, 0xAC, 0x8E, 0x4D, 0xA9, 0xA2, 0xBA, 
NL=104
