target sbox:
0xEF, 0x9C, 0x4B, 0x0F, 0xC9, 0x16, 0x70, 0x86, 0x29, 0x19, 0x2A, 0x91, 0xF9, 0x4D, 0x40, 0xD0, 
0x01, 0x61, 0x82, 0x63, 0x7F, 0x13, 0xAF, 0x87, 0xC0, 0xF7, 0xE2, 0xF0, 0xB8, 0xC2, 0x1F, 0xB2, 
0x1D, 0x7D, 0xA1, 0x67, 0xF1, 0x1B, 0x06, 0x92, 0xC3, 0x1A, 0x58, 0x5C, 0x4E, 0x89, 0xD5, 0xF2, 
0xB5, 0x99, 0xAE, 0xAD, 0xD7, 0x9A, 0x33, 0x51, 0xA3, 0xB4, 0x5B, 0x05, 0x8F, 0x5A, 0x84, 0x50, 
0xA2, 0x00, 0xE7, 0x0C, 0xCB, 0x97, 0x27, 0x85, 0xB0, 0x0E, 0xFB, 0xC1, 0x95, 0x07, 0xFC, 0x9B, 
0x3D, 0xA0, 0x14, 0x21, 0x1C, 0x75, 0xCE, 0xA6, 0x2E, 0xF4, 0x71, 0x5D, 0xEB, 0x57, 0x55, 0x60, 
0xCA, 0xF3, 0xA8, 0x64, 0xAA, 0xBA, 0x69, 0xD4, 0xE1, 0x7B, 0x7E, 0x8A, 0x43, 0x6A, 0x6D, 0x96, 
0x3C, 0x28, 0x2C, 0x5F, 0x20, 0xF5, 0xA7, 0x8C, 0x54, 0x04, 0xB9, 0xEE, 0x56, 0x2D, 0xDB, 0xDF, 
0x15, 0xCC, 0x35, 0x90, 0xBD, 0xEC, 0xBE, 0xD9, 0xD2, 0x48, 0xDC, 0x65, 0x76, 0xE3, 0xE8, 0x42, 
0xDD, 0x2B, 0x31, 0xC8, 0xE9, 0x17, 0x26, 0xB1, 0xF8, 0x36, 0xB6, 0x7C, 0x47, 0x25, 0x53, 0x6F, 
0xC6, 0x8E, 0x0D, 0xE6, 0x72, 0xD1, 0xE5, 0xE0, 0x62, 0x09, 0xC5, 0x5E, 0x2F, 0x46, 0x73, 0x18, 
0x1E, 0x80, 0x68, 0x79, 0x9E, 0xA5, 0xEA, 0x12, 0x3F, 0x45, 0x08, 0xFD, 0x3E, 0x32, 0xDE, 0x3A, 
0xCF, 0x02, 0x30, 0xFE, 0x77, 0x8B, 0x4F, 0xF6, 0x49, 0xA4, 0x4C, 0xAC, 0xDA, 0xED, 0x23, 0x81, 
0x7A, 0x66, 0x83, 0xB7, 0x11, 0xFF, 0x10, 0x44, 0x6E, 0x24, 0xA9, 0x74, 0x88, 0xB3, 0xAB, 0x6B, 
0x4A, 0x38, 0x03, 0xD3, 0xCD, 0x59, 0xBF, 0x39, 0xC7, 0x94, 0x0B, 0x52, 0x37, 0xE4, 0x8D, 0xD6, 
0x9F, 0x93, 0x78, 0xFA, 0x3B, 0xC4, 0x6C, 0x34, 0x9D, 0xBC, 0xBB, 0x98, 0xD8, 0x22, 0x0A, 0x41, 
NL=104
