target sbox:
0x9C, 0x98, 0xBE, 0x29, 0x43, 0x0F, 0x53, 0x1E, 0x9F, 0x14, 0x80, 0x2C, 0x84, 0xCD, 0xA6, 0xE4, 
0x28, 0x7C, 0x27, 0x94, 0xC5, 0x64, 0x82, 0x52, 0xFE, 0xAF, 0xA7, 0xD9, 0x1F, 0xDB, 0x66, 0xD8, 
0xBC, 0x57, 0xE7, 0x87, 0x8E, 0x08, 0x83, 0x01, 0xF4, 0xD4, 0x6E, 0xAC, 0xE8, 0x39, 0xC6, 0x0E, 
0xC7, 0x4B, 0x8A, 0x3B, 0x19, 0xE1, 0x0B, 0x12, 0xD1, 0x5D, 0xDA, 0xA9, 0xB7, 0x4E, 0x85, 0xB4, 
0x6D, 0xB1, 0x8C, 0x68, 0x21, 0xC4, 0xB5, 0x31, 0x70, 0x41, 0x62, 0xC2, 0x30, 0x46, 0x2F, 0x04, 
0x9B, 0x13, 0x11, 0xB3, 0xDF, 0x0D, 0xEE, 0xF3, 0xF0, 0x60, 0xE5, 0x38, 0xDE, 0xB0, 0x6A, 0xF8, 
0x3E, 0x8F, 0xB8, 0x37, 0x25, 0x34, 0xF7, 0x7A, 0x36, 0xAD, 0xB6, 0xD6, 0xEF, 0x67, 0xCA, 0x8D, 
0xA0, 0x95, 0xE3, 0x44, 0x97, 0xA1, 0x49, 0x7D, 0xAE, 0x22, 0xCF, 0x51, 0x5C, 0x58, 0x81, 0xA5, 
0xBA, 0xD2, 0x05, 0x78, 0xEA, 0x6F, 0xD0, 0x07, 0xDC, 0x23, 0x32, 0x76, 0x47, 0x00, 0x96, 0x1A, 
0x0C, 0x71, 0xEB, 0xA4, 0x26, 0xCE, 0x77, 0x3F, 0x6C, 0x1D, 0xA2, 0xE0, 0x5B, 0x35, 0x06, 0x50, 
0xE9, 0x8B, 0x15, 0xFB, 0x56, 0x69, 0xCC, 0x99, 0x4D, 0xAA, 0x54, 0xBD, 0x1C, 0x63, 0x75, 0xD5, 
0xF9, 0xB2, 0xE2, 0x86, 0x16, 0x45, 0xD3, 0xBF, 0xC8, 0x9A, 0xE6, 0x33, 0xFD, 0x4A, 0xC0, 0xA3, 
0x3D, 0x24, 0x89, 0x5E, 0x65, 0xC1, 0x55, 0x59, 0xF6, 0x72, 0xF1, 0x2E, 0xFC, 0xEC, 0xF2, 0x5A, 
0x9D, 0x2A, 0x42, 0xDD, 0x73, 0x18, 0x90, 0xF5, 0x7E, 0x74, 0x7B, 0x20, 0x10, 0x3C, 0xFF, 0x03, 
0x2D, 0x88, 0xED, 0x79, 0x4C, 0xFA, 0x9E, 0x02, 0x2B, 0x6B, 0x5F, 0xB9, 0x17, 0xD7, 0xBB, 0x0A, 
0xCB, 0x09, 0x92, 0xAB, 0x7F, 0x4F, 0xA8, 0x93, 0x1B, 0x61, 0xC3, 0xC9, 0x48, 0x3A, 0x91, 0x40, 
NL=104
