target sbox:
0x9B, 0xE4, 0x08, 0x6D, 0x71, 0x7F, 0x1A, 0xFE, 0x1C, 0x62, 0xF4, 0x54, 0x7B, 0x49, 0x51, 0x5D, 
0x73, 0xFF, 0xCC, 0xD6, 0xDA, 0xB7, 0x32, 0x89, 0x87, 0x22, 0xCF, 0x33, 0xC5, 0xF5, 0xCD, 0x19, 
0xB1, 0x57, 0xA2, 0x1B, 0x65, 0x0E, 0xDC, 0x2B, 0x5E, 0x00, 0x34, 0xE6, 0x6C, 0xAF, 0x8C, 0xD2, 
0xFC, 0xE7, 0x37, 0x47, 0x9D, 0x17, 0x0D, 0x84, 0xAB, 0x14, 0x5F, 0x30, 0xBB, 0x79, 0x2F, 0xD9, 
0xBC, 0x82, 0x2A, 0x27, 0x16, 0x04, 0x29, 0x4A, 0x6E, 0xF7, 0x88, 0x5B, 0x09, 0x02, 0x67, 0xC3, 
0xBE, 0x8A, 0x8D, 0x3A, 0x4F, 0xE0, 0x0B, 0xAE, 0xEA, 0x81, 0x43, 0x4E, 0x9F, 0x2D, 0x45, 0xA8, 
0x92, 0x23, 0xC0, 0x7A, 0xCA, 0xD7, 0xEC, 0xF3, 0xE2, 0x10, 0xFD, 0x76, 0x69, 0x25, 0xD5, 0x5A, 
0x58, 0xC1, 0x1D, 0x2C, 0xCE, 0xC2, 0x8F, 0x63, 0xDB, 0x7C, 0x01, 0xB4, 0x68, 0xBF, 0xA7, 0xA4, 
0x72, 0x53, 0x6A, 0x60, 0x5C, 0x15, 0x55, 0x93, 0x38, 0x7E, 0xE8, 0x50, 0x52, 0xF2, 0x9C, 0x21, 
0xA6, 0xB8, 0xA3, 0x26, 0xEE, 0xB5, 0x40, 0xED, 0xC4, 0xC7, 0x4B, 0x74, 0x44, 0x94, 0x75, 0xA5, 
0x42, 0x96, 0x99, 0xC8, 0x9E, 0xAD, 0x8E, 0x6B, 0x86, 0xB9, 0x8B, 0xFA, 0x4D, 0x85, 0x98, 0xF6, 
0x80, 0x2E, 0xE9, 0xC6, 0x41, 0x6F, 0xB0, 0x46, 0xD3, 0x48, 0x0A, 0x78, 0x97, 0x31, 0x13, 0xF1, 
0x12, 0xDF, 0xF8, 0xE3, 0x56, 0xD4, 0x91, 0x05, 0x59, 0x36, 0x3D, 0xF9, 0xAA, 0xA0, 0xF0, 0x90, 
0x7D, 0x20, 0x0F, 0xBD, 0x61, 0x28, 0x66, 0xD0, 0xC9, 0x07, 0x64, 0xA9, 0xB6, 0x06, 0xA1, 0x4C, 
0xAC, 0xB3, 0x35, 0x83, 0x39, 0x77, 0xCB, 0xB2, 0x3F, 0x1F, 0x24, 0xD1, 0xE5, 0x95, 0xE1, 0x3E, 
0x9A, 0xDE, 0xFB, 0xEF, 0xEB, 0x03, 0xBA, 0x0C, 0x11, 0x1E, 0xDD, 0xD8, 0x18, 0x3B, 0x70, 0x3C, 
NL=104
