target sbox:
0x72, 0x5D, 0xD8, 0x65, 0x87, 0x2E, 0xD1, 0x1D, 0x62, 0x52, 0x5B, 0xF4, 0x24, 0x99, 0xE2, 0xDE, 
0x94, 0xF1, 0x19, 0x12, 0xAD, 0xDF, 0xA3, 0x78, 0x74, 0x69, 0xC3, 0x68, 0x9D, 0xBD, 0x15, 0x80, 
0x4B, 0x1B, 0xF5, 0x33, 0xC7, 0x5F, 0x50, 0xDD, 0x28, 0x70, 0xBC, 0xD6, 0xA7, 0x93, 0xCA, 0xB3, 
0x3E, 0x1C, 0x26, 0x73, 0xD5, 0x55, 0x53, 0xEA, 0xA0, 0x4E, 0x06, 0x88, 0xC4, 0x0E, 0xDC, 0x6B, 
0xA1, 0xE7, 0x60, 0x8E, 0x47, 0xBE, 0x00, 0xF8, 0x35, 0xAF, 0xB1, 0x31, 0xA4, 0xB4, 0xB5, 0xC8, 
0x82, 0xC5, 0x4A, 0xAA, 0xBA, 0x58, 0x18, 0xA8, 0x8F, 0x6C, 0x17, 0xE0, 0x6A, 0x25, 0xB8, 0xF6, 
0xE5, 0x71, 0xB7, 0xE8, 0x4C, 0xCF, 0xE1, 0x8D, 0xEE, 0x07, 0x9B, 0x8B, 0x3C, 0x59, 0x85, 0xBF, 
0x1F, 0x2C, 0x20, 0x49, 0x04, 0xDB, 0x9C, 0x29, 0xF0, 0xFF, 0xC9, 0xCC, 0xBB, 0x63, 0x22, 0xF9, 
0x3B, 0x7C, 0x89, 0x0F, 0x64, 0x56, 0x61, 0x3D, 0xE4, 0xFB, 0xFC, 0x66, 0xF3, 0x14, 0x1A, 0x27, 
0xF7, 0x0A, 0x86, 0xB9, 0x79, 0x7E, 0x34, 0x3F, 0x21, 0xC1, 0x7F, 0x7D, 0x09, 0x23, 0x9F, 0x9A, 
0x02, 0x90, 0x46, 0x5C, 0xCB, 0x5A, 0x01, 0xB2, 0x39, 0x8C, 0xA2, 0x43, 0x76, 0x83, 0x38, 0x81, 
0x08, 0x5E, 0x2F, 0xFD, 0x6E, 0x16, 0x2A, 0xD3, 0x7A, 0xAC, 0x7B, 0xCD, 0xFE, 0xD9, 0x4D, 0x32, 
0x44, 0xFA, 0x6F, 0x13, 0x40, 0x8A, 0xEB, 0x0D, 0xD0, 0x03, 0x42, 0x77, 0xC6, 0x95, 0x48, 0xA5, 
0x96, 0xC2, 0xE6, 0xAE, 0x45, 0x4F, 0x92, 0x05, 0x41, 0x30, 0x98, 0x84, 0xF2, 0x11, 0x57, 0x91, 
0x75, 0xCE, 0x0B, 0xC0, 0xA6, 0x36, 0xD4, 0xB0, 0xD2, 0x37, 0x51, 0xA9, 0x9E, 0x67, 0x3A, 0xD7, 
0x1E, 0x0C, 0xAB, 0xED, 0xB6, 0xEC, 0x54, 0x6D, 0x10, 0xE9, 0x2D, 0xEF, 0xE3, 0xDA, 0x97, 0x2B, 
NL=104
