target sbox:
0xEC, 0xA9, 0x6B, 0x8B, 0x42, 0xA5, 0x45, 0x17, 0xC9, 0xD7, 0xFC, 0xF2, 0x63, 0xB0, 0x0E, 0x64, 
0xA3, 0x1C, 0x98, 0x0C, 0xDF, 0xF5, 0xF6, 0xC3, 0xE4, 0x6A, 0x7C, 0x8F, 0xDB, 0x4F, 0x8E, 0xA2, 
0x01, 0x85, 0xB7, 0x54, 0x56, 0x70, 0xEF, 0x52, 0x3C, 0xF0, 0xD3, 0x66, 0x5C, 0xCB, 0x29, 0x03, 
0xB3, 0xD0, 0x79, 0xA6, 0x95, 0xC5, 0x71, 0x80, 0x00, 0xD1, 0x72, 0x19, 0x3A, 0x3D, 0x78, 0xCF, 
0xCD, 0x4E, 0x36, 0x68, 0x0A, 0x61, 0x7A, 0xD6, 0x12, 0x4B, 0x07, 0x47, 0xC1, 0xE6, 0xFE, 0xF4, 
0x38, 0x46, 0x20, 0x3E, 0x21, 0x02, 0xA8, 0x2A, 0x96, 0x5E, 0x67, 0x5D, 0xFF, 0x5A, 0xBE, 0xEB, 
0x18, 0x9D, 0x09, 0x31, 0xD2, 0xC6, 0x55, 0xF7, 0x59, 0xA7, 0x91, 0x0D, 0x82, 0x13, 0x76, 0xDA, 
0x11, 0x4C, 0xB4, 0x94, 0x4A, 0x4D, 0xBB, 0x30, 0xDE, 0xFA, 0x28, 0x99, 0xB6, 0x51, 0xFD, 0xE2, 
0x2E, 0x15, 0x44, 0x1A, 0xF1, 0x3F, 0xB5, 0x16, 0x9E, 0xFB, 0xF8, 0xBA, 0xDD, 0xCE, 0x06, 0xC0, 
0x86, 0x90, 0x1D, 0xEA, 0xA4, 0x40, 0x1F, 0x9F, 0xCA, 0x1B, 0xB2, 0xBC, 0xC7, 0x6D, 0xE1, 0xAF, 
0x39, 0xC8, 0xE3, 0x77, 0x27, 0x97, 0x73, 0x81, 0x87, 0x8C, 0x53, 0xE5, 0x1E, 0x7F, 0x05, 0xEE, 
0x5B, 0x5F, 0xE9, 0x34, 0x25, 0x41, 0xBF, 0x65, 0x49, 0xAD, 0x9B, 0x83, 0xC2, 0x33, 0x92, 0x62, 
0xA0, 0xA1, 0x2B, 0x57, 0x14, 0x04, 0xAC, 0x69, 0x2F, 0x8D, 0x58, 0x43, 0x74, 0xF3, 0xB1, 0x0B, 
0x3B, 0x89, 0xE7, 0x24, 0x23, 0xBD, 0x37, 0xD5, 0xAA, 0x7E, 0x22, 0xE0, 0x6E, 0x6C, 0xED, 0x35, 
0x50, 0xB9, 0xDC, 0x32, 0x2C, 0x8A, 0x0F, 0x93, 0x88, 0xCC, 0x08, 0xF9, 0x26, 0x48, 0x60, 0x2D, 
0x75, 0x10, 0xD4, 0xAB, 0xB8, 0xC4, 0xAE, 0x7D, 0x9A, 0xD9, 0x7B, 0x9C, 0xE8, 0x6F, 0x84, 0xD8, 
NL=104
