target sbox:
0xB0, 0x70, 0x57, 0x99, 0xF3, 0xB8, 0x41, 0xE5, 0x14, 0x6C, 0xE2, 0xDF, 0x88, 0x01, 0xBC, 0x55, 
0x8F, 0x7A, 0x46, 0xA7, 0x4E, 0xD9, 0xE3, 0x28, 0x59, 0x50, 0xEF, 0xCA, 0x03, 0xF9, 0x2B, 0x85, 
0x51, 0x90, 0x1B, 0x16, 0x08, 0x0E, 0xEC, 0x9A, 0xC2, 0x35, 0x4F, 0x71, 0xB3, 0x04, 0x09, 0xA1, 
0x2E, 0xBF, 0x7E, 0xDD, 0x33, 0xAE, 0x7F, 0x2D, 0x18, 0xD4, 0x9D, 0xC8, 0x5A, 0x62, 0x95, 0x49, 
0x39, 0xC0, 0xFC, 0x0A, 0x87, 0x2F, 0x8B, 0x4D, 0xDA, 0x65, 0x72, 0x52, 0x74, 0x61, 0x7B, 0x4C, 
0x3A, 0xB2, 0x44, 0xB9, 0x5B, 0x5F, 0xF7, 0x38, 0xE0, 0x7C, 0x22, 0xAB, 0x9F, 0x1E, 0x75, 0x81, 
0x80, 0x23, 0xEA, 0x82, 0xA2, 0x34, 0x6B, 0x54, 0xEB, 0x05, 0xF6, 0x6D, 0x4A, 0xAD, 0x94, 0xB5, 
0x29, 0x5E, 0x9C, 0x17, 0xC9, 0xD0, 0xA4, 0x2A, 0x93, 0xA9, 0xCB, 0x1F, 0xC5, 0x78, 0xFD, 0xE7, 
0x42, 0x1A, 0xDB, 0xBD, 0x79, 0xEE, 0x69, 0xA6, 0x20, 0x53, 0xAF, 0x2C, 0x48, 0x0F, 0x27, 0x6A, 
0x12, 0xAA, 0x11, 0x4B, 0xE1, 0x00, 0x67, 0x76, 0xC4, 0x64, 0x66, 0xE4, 0x43, 0xF5, 0xC3, 0x32, 
0x40, 0xCC, 0xED, 0xE6, 0xD6, 0xA0, 0x58, 0x19, 0x9B, 0x25, 0x3F, 0x86, 0x89, 0x92, 0x6F, 0xC1, 
0x07, 0x8A, 0xD8, 0xFA, 0x37, 0xBB, 0x97, 0x13, 0x45, 0x98, 0xD5, 0xA5, 0x5D, 0xF8, 0x8C, 0xA3, 
0xFE, 0x0C, 0xB6, 0xB7, 0x73, 0x06, 0x8D, 0x21, 0xBE, 0xB1, 0x84, 0x26, 0x24, 0x6E, 0x3B, 0x1D, 
0x0D, 0x77, 0x36, 0xCE, 0x60, 0xC6, 0xB4, 0xF1, 0xE9, 0xDC, 0x31, 0x30, 0x3D, 0x0B, 0x10, 0x7D, 
0xF2, 0x02, 0xD1, 0x5C, 0xD2, 0xCF, 0x8E, 0x3C, 0x96, 0xD7, 0x83, 0x15, 0x63, 0x1C, 0xFF, 0xD3, 
0xBA, 0xFB, 0x3E, 0xF4, 0xCD, 0x56, 0x9E, 0xF0, 0xC7, 0xE8, 0xAC, 0xA8, 0x68, 0xDE, 0x47, 0x91, 
NL=104
