target sbox:
0x64, 0x33, 0xDB, 0xD9, 0x91, 0x6C, 0x00, 0x05, 0xF9, 0x02, 0x25, 0x51, 0x0C, 0x08, 0xDC, 0xF8, 
0x16, 0x12, 0xC7, 0xFC, 0xB9, 0x9E, 0x32, 0x2C, 0xC0, 0xD3, 0xB3, 0x9B, 0xCF, 0x5F, 0x13, 0xE9, 
0x23, 0xBC, 0x36, 0x01, 0x04, 0xCB, 0x86, 0x31, 0x22, 0x70, 0x27, 0x18, 0x1D, 0x48, 0xAD, 0xD6, 
0x0A, 0x69, 0x20, 0xCA, 0x45, 0x3C, 0x9C, 0x11, 0x98, 0xEB, 0x55, 0x0F, 0x65, 0x39, 0x46, 0xA1, 
0x47, 0xBA, 0x0B, 0x7F, 0xDE, 0x76, 0xE3, 0xD7, 0x60, 0x87, 0x80, 0x14, 0x06, 0xA2, 0x90, 0x57, 
0xFE, 0x2F, 0x93, 0x09, 0xAA, 0x3E, 0xD8, 0x2D, 0x5D, 0x43, 0xA4, 0x4A, 0xBF, 0x07, 0xC8, 0x56, 
0x54, 0x63, 0x8A, 0xC1, 0xE2, 0x26, 0x95, 0x6F, 0x7E, 0xC6, 0x83, 0x74, 0xE5, 0x44, 0x78, 0x3A, 
0x3B, 0x97, 0x73, 0x37, 0x35, 0x9D, 0x9A, 0x4D, 0xAB, 0xD0, 0x50, 0x5A, 0xD5, 0xBE, 0xCC, 0x66, 
0x4C, 0xA9, 0x5E, 0x1E, 0x19, 0xC9, 0xC4, 0xCE, 0x03, 0x7B, 0x79, 0xEE, 0xED, 0x8C, 0xC3, 0xF5, 
0x52, 0x8D, 0x61, 0xF7, 0xA8, 0x75, 0x99, 0xCD, 0x89, 0xEF, 0xFF, 0xD2, 0xAF, 0xB5, 0x28, 0xE1, 
0xE7, 0xA6, 0xB7, 0xDA, 0xC2, 0x4B, 0x59, 0xDF, 0x24, 0xBB, 0xD4, 0x7A, 0xB2, 0x10, 0xE0, 0x62, 
0x6A, 0x34, 0xF6, 0xF1, 0x1C, 0x41, 0x67, 0xA3, 0x3F, 0xEA, 0xB6, 0x1F, 0x58, 0xF3, 0xC5, 0xB0, 
0x6B, 0x29, 0x21, 0x0E, 0x92, 0x4F, 0x84, 0x40, 0xDD, 0xEC, 0x1B, 0x49, 0x30, 0x85, 0xFD, 0x3D, 
0x88, 0xE6, 0xBD, 0x8B, 0x8E, 0xA7, 0x8F, 0x9F, 0x38, 0x2B, 0x82, 0xB4, 0x17, 0xD1, 0xFA, 0x81, 
0xF0, 0x77, 0xF2, 0x71, 0xE8, 0xFB, 0x7D, 0xB1, 0x96, 0x5B, 0xAC, 0x68, 0xA0, 0xE4, 0x0D, 0x6D, 
0xAE, 0x53, 0x7C, 0x15, 0x2A, 0x94, 0x4E, 0xF4, 0xA5, 0x1A, 0xB8, 0x72, 0x42, 0x5C, 0x2E, 0x6E, 
NL=104
