target sbox:
0xDD, 0x2D, 0x69, 0x0A, 0x4C, 0x86, 0x9E, 0x53, 0xB7, 0x95, 0xA9, 0x96, 0x74, 0x35, 0x9D, 0xBD, 
0x4D, 0x63, 0xDC, 0x2F, 0x54, 0x30, 0x39, 0x23, 0x76, 0x7E, 0xD5, 0x26, 0x5C, 0x15, 0x2A, 0x67, 
0xA2, 0xA5, 0xC1, 0x0D, 0x98, 0xB5, 0x25, 0x22, 0x06, 0x7F, 0x46, 0x5E, 0x3D, 0x6B, 0x44, 0x80, 
0x6F, 0x91, 0xEE, 0x7C, 0xA1, 0xBB, 0xC9, 0x05, 0x7B, 0x33, 0x6E, 0x37, 0x5F, 0xA4, 0x03, 0xA6, 
0xAF, 0x14, 0x6C, 0xD3, 0xD1, 0x93, 0x4A, 0xCB, 0xEA, 0x29, 0xF4, 0x61, 0xFB, 0x57, 0xD7, 0x92, 
0x3C, 0x50, 0x11, 0x41, 0x45, 0x16, 0xAB, 0xF2, 0xC3, 0x4B, 0xE5, 0xFA, 0xFC, 0x47, 0x59, 0xF8, 
0x8F, 0x43, 0xE6, 0x18, 0x27, 0x64, 0x71, 0xA0, 0xDB, 0x0B, 0xED, 0xAC, 0x88, 0x13, 0xFD, 0xB1, 
0x7D, 0x8B, 0x2E, 0x79, 0x81, 0x8D, 0x20, 0x4E, 0xDF, 0x07, 0x28, 0xDE, 0x94, 0x58, 0x04, 0x65, 
0x34, 0x68, 0xE3, 0xCC, 0xB2, 0x0E, 0xCF, 0x8A, 0x55, 0xC5, 0x1A, 0xAA, 0x89, 0x9B, 0xE0, 0xD8, 
0x5B, 0xB9, 0xAE, 0xD2, 0x8C, 0xBE, 0xEB, 0xDA, 0x9F, 0x1F, 0x52, 0x8E, 0x66, 0xA8, 0x02, 0x09, 
0x40, 0x2B, 0x3E, 0x08, 0x60, 0xCD, 0x9C, 0x77, 0xA7, 0x1C, 0x5A, 0x51, 0x70, 0x56, 0xA3, 0x75, 
0x10, 0xE9, 0x83, 0x7A, 0x62, 0xD0, 0xFF, 0xD6, 0x32, 0x87, 0xF7, 0x42, 0x5D, 0x3F, 0x0F, 0xB3, 
0x00, 0xAD, 0xBC, 0xC2, 0xD4, 0x2C, 0x19, 0x6A, 0xD9, 0x84, 0x38, 0x24, 0xE1, 0x3A, 0xF1, 0x3B, 
0xE4, 0xC0, 0x49, 0xFE, 0x36, 0xCA, 0xC7, 0xBA, 0x6D, 0xF0, 0xEF, 0xBF, 0x78, 0xF3, 0xE2, 0xC8, 
0x1D, 0xC4, 0xF6, 0x0C, 0x85, 0xB4, 0xB6, 0x1E, 0x48, 0x4F, 0xB8, 0x72, 0xE7, 0x12, 0x9A, 0xCE, 
0xF9, 0xB0, 0x17, 0x99, 0x1B, 0x21, 0x90, 0xE8, 0x73, 0x97, 0xEC, 0xF5, 0xC6, 0x31, 0x82, 0x01, 
NL=104
