target sbox:
0x7F, 0xD8, 0xD7, 0x35, 0x00, 0x64, 0xB8, 0x07, 0x36, 0x7B, 0x23, 0x17, 0xA7, 0x2B, 0xD5, 0xDB, 
0x95, 0xF4, 0xA3, 0xE4, 0xC8, 0xB2, 0x01, 0x48, 0xA8, 0x81, 0x53, 0x62, 0xA9, 0x7D, 0xF2, 0x2F, 
0x60, 0x57, 0x5F, 0xD4, 0xD6, 0x0E, 0x66, 0xFE, 0xDE, 0x2E, 0xF7, 0x92, 0xCC, 0xFA, 0x05, 0x29, 
0x79, 0x2D, 0x58, 0x8A, 0xC9, 0x6F, 0xDD, 0x13, 0xCB, 0x0A, 0xBF, 0xF5, 0x06, 0xE1, 0xA2, 0xB5, 
0x6A, 0xEA, 0xB4, 0x14, 0x8E, 0xB3, 0xE6, 0xAF, 0x8B, 0x9B, 0x9C, 0x19, 0xB6, 0x77, 0x84, 0x22, 
0x11, 0x02, 0x99, 0x1B, 0x98, 0x12, 0x5A, 0x7E, 0x6D, 0x6E, 0xD2, 0x97, 0x25, 0x96, 0x3B, 0xE3, 
0xB1, 0x9E, 0x5E, 0xC7, 0x1C, 0xFD, 0x82, 0xEC, 0x7A, 0x71, 0x4C, 0x1A, 0xCE, 0xB9, 0x0D, 0x0F, 
0x54, 0x88, 0x16, 0x45, 0x4E, 0x41, 0x28, 0xBE, 0x08, 0xC2, 0xB7, 0x26, 0xAE, 0xE8, 0x69, 0x8C, 
0x59, 0x3C, 0x73, 0x5C, 0x78, 0x2C, 0xE9, 0x09, 0x10, 0x83, 0xCA, 0x1F, 0xA6, 0x7C, 0xBA, 0x90, 
0xAA, 0x5D, 0x3E, 0x46, 0x6B, 0xE5, 0x5B, 0x39, 0xA4, 0xF6, 0x38, 0xA5, 0x89, 0x4B, 0x20, 0x51, 
0xF3, 0x4A, 0x93, 0x4F, 0x1D, 0xFF, 0x0B, 0x8F, 0x47, 0x4D, 0x6C, 0xF1, 0xD1, 0x65, 0x9F, 0xC4, 
0x75, 0x67, 0x21, 0xB0, 0xBC, 0x61, 0x03, 0xC1, 0x37, 0x50, 0x3D, 0x43, 0x9D, 0x56, 0x87, 0xED, 
0xF0, 0xD0, 0xEF, 0xA0, 0x3A, 0x44, 0xAB, 0xF9, 0xCD, 0xAC, 0xF8, 0xA1, 0x24, 0x91, 0xDC, 0xEB, 
0x15, 0xAD, 0x63, 0x32, 0x30, 0x76, 0x42, 0x18, 0x9A, 0xBD, 0x8D, 0x04, 0xE7, 0x49, 0x70, 0xC5, 
0xFC, 0x34, 0xC6, 0x74, 0x52, 0xC3, 0xBB, 0xCF, 0xC0, 0x0C, 0x86, 0x40, 0xE2, 0x33, 0xE0, 0xFB, 
0xDA, 0x85, 0x3F, 0x27, 0xD3, 0xDF, 0x2A, 0x80, 0x55, 0x72, 0x1E, 0xEE, 0x94, 0x31, 0x68, 0xD9, 
NL=104
