target sbox:
0x27, 0x8C, 0xC6, 0x6E, 0x7B, 0xBA, 0x49, 0x60, 0x5A, 0xBB, 0x57, 0x0A, 0xEC, 0x26, 0x59, 0x48, 
0x71, 0x58, 0x20, 0x67, 0xE0, 0x09, 0x1A, 0x9E, 0x89, 0x6A, 0x76, 0xDC, 0xE6, 0x65, 0xD4, 0x9C, 
0xAE, 0xE1, 0x7C, 0xB1, 0xD5, 0xC8, 0xD2, 0x2E, 0xAB, 0x51, 0xFC, 0x05, 0x3D, 0x86, 0xAA, 0x35, 
0x79, 0x33, 0x3E, 0x96, 0xF8, 0x99, 0xA7, 0xB6, 0xCC, 0xF2, 0xC1, 0x9D, 0x53, 0x2F, 0x3C, 0x4B, 
0x22, 0xE3, 0xCB, 0x0F, 0x10, 0x43, 0x4F, 0xB5, 0xBC, 0x47, 0xF5, 0x1D, 0x2A, 0x83, 0x77, 0x69, 
0xC0, 0x34, 0x70, 0xDA, 0x5D, 0x95, 0x81, 0x84, 0x00, 0x19, 0xE5, 0xF6, 0x92, 0x3B, 0xD0, 0xFE, 
0xB3, 0xA5, 0xEB, 0xAD, 0xC9, 0x91, 0xA8, 0x85, 0xB0, 0xEA, 0x87, 0xF9, 0x1C, 0x7F, 0x42, 0xA4, 
0x08, 0x4C, 0x90, 0xBD, 0x02, 0x01, 0xF4, 0x68, 0xD1, 0x3F, 0x72, 0x88, 0x64, 0x3A, 0xB2, 0x5E, 
0x56, 0xE7, 0x50, 0x6F, 0x55, 0x4D, 0xA1, 0x41, 0x25, 0x8E, 0x7D, 0x0E, 0x8A, 0x07, 0x8D, 0x21, 
0x8F, 0x13, 0x2D, 0x45, 0xB7, 0x14, 0x03, 0xC4, 0x75, 0xC2, 0x29, 0x9F, 0x8B, 0xFF, 0x2C, 0x73, 
0xBF, 0xEE, 0xDD, 0x28, 0xB8, 0x7A, 0x4E, 0xF3, 0x16, 0xD8, 0xF7, 0xA0, 0x2B, 0x1B, 0x97, 0x44, 
0x36, 0x37, 0xCF, 0x66, 0xB4, 0x93, 0xDB, 0x32, 0xDE, 0x6C, 0x17, 0x5C, 0x46, 0x23, 0x39, 0x18, 
0xCE, 0x38, 0x61, 0x11, 0xCA, 0x24, 0xEF, 0x7E, 0xD9, 0x0D, 0xF0, 0xDF, 0xFA, 0xF1, 0x5F, 0xFB, 
0xAC, 0xFD, 0x62, 0x78, 0x4A, 0xE9, 0xD7, 0x82, 0x1E, 0xC5, 0xC7, 0x6B, 0x9B, 0xD6, 0xA2, 0x40, 
0x5B, 0xA6, 0x94, 0x52, 0x6D, 0xE4, 0x98, 0x63, 0xA3, 0x30, 0x0C, 0x04, 0x54, 0xC3, 0xB9, 0xCD, 
0x9A, 0xA9, 0x06, 0x0B, 0xE8, 0x74, 0x80, 0x12, 0x1F, 0xAF, 0x31, 0xD3, 0xE2, 0xED, 0xBE, 0x15, 
NL=104
