target sbox:
0xC4, 0x2B, 0x8E, 0x41, 0x3A, 0x12, 0x60, 0x39, 0xB9, 0x28, 0xCE, 0x38, 0x2F, 0xA2, 0x1E, 0x3F, 
0x89, 0xE7, 0xCC, 0x85, 0x7B, 0x09, 0x05, 0xB4, 0x4D, 0x0A, 0x13, 0x94, 0xB1, 0x57, 0x00, 0x5E, 
0xC0, 0xFA, 0x9A, 0x56, 0xD5, 0xD3, 0x2C, 0xC7, 0x43, 0xCA, 0x61, 0x6B, 0x4F, 0x99, 0x0F, 0xE6, 
0xDA, 0x1C, 0x14, 0xAF, 0x08, 0x48, 0xF2, 0x1A, 0x52, 0xBA, 0xC2, 0x69, 0x16, 0xA6, 0xBF, 0x04, 
0xB6, 0xA1, 0x75, 0xF6, 0x96, 0x4E, 0xAE, 0xAC, 0xA7, 0xC1, 0x6F, 0x59, 0x90, 0x5D, 0xA4, 0x34, 
0x0C, 0x93, 0x8F, 0xDF, 0xAA, 0x7E, 0x95, 0x9B, 0xCD, 0x51, 0x55, 0x1D, 0x88, 0xFC, 0x83, 0x77, 
0x81, 0xE5, 0x32, 0x71, 0xEA, 0xD1, 0x2D, 0xD9, 0xEE, 0x26, 0xBD, 0x07, 0xC6, 0x6A, 0x47, 0x97, 
0x37, 0xC8, 0x54, 0xDB, 0x5F, 0x3B, 0x31, 0xE4, 0x87, 0x42, 0x4A, 0x8C, 0x68, 0xEC, 0xDE, 0x19, 
0x4B, 0x22, 0x33, 0x0B, 0xAB, 0xCF, 0x02, 0xFD, 0x27, 0x9D, 0x8D, 0xD2, 0x92, 0x72, 0x8A, 0x5A, 
0xF3, 0x65, 0x15, 0x5C, 0xF1, 0xD4, 0x98, 0x23, 0x29, 0x82, 0x8B, 0x0D, 0xEF, 0x4C, 0x17, 0x6C, 
0x7C, 0x3D, 0xD0, 0xB3, 0x78, 0xA8, 0x21, 0x5B, 0xCB, 0x9F, 0x7F, 0xED, 0x50, 0x86, 0x70, 0xBB, 
0x73, 0x53, 0x35, 0xC5, 0xFF, 0x79, 0x25, 0x91, 0x10, 0x1B, 0x7D, 0xE0, 0xF4, 0x76, 0xA0, 0x20, 
0x36, 0xA3, 0x45, 0x64, 0xDD, 0x44, 0xBC, 0x46, 0xE1, 0xC3, 0xD8, 0x9C, 0x2E, 0x30, 0x62, 0xE8, 
0xF0, 0x6D, 0x58, 0xAD, 0xD7, 0xB2, 0x74, 0x01, 0xEB, 0xE2, 0xB5, 0x3E, 0xF8, 0x66, 0x3C, 0xBE, 
0x11, 0x1F, 0x2A, 0xFE, 0x84, 0x67, 0x0E, 0x63, 0x18, 0xB0, 0x6E, 0xE9, 0xFB, 0x7A, 0x24, 0x80, 
0xF5, 0xB7, 0x9E, 0x49, 0xA5, 0xC9, 0xA9, 0xD6, 0x03, 0x06, 0xF9, 0xE3, 0xF7, 0xB8, 0xDC, 0x40, 
NL=104
