target sbox:
0x5F, 0x22, 0x4D, 0xB3, 0x9D, 0xE0, 0x1C, 0xDA, 0xC6, 0x16, 0x3A, 0x5C, 0xDF, 0x6D, 0x7A, 0x59, 
0x96, 0xBE, 0xED, 0x0D, 0x1F, 0xA8, 0x8A, 0x63, 0x53, 0x9E, 0x8B, 0x7B, 0x4B, 0xCD, 0x0C, 0xE1, 
0x19, 0x39, 0xAC, 0x71, 0xE5, 0xBA, 0xB1, 0x09, 0x32, 0x36, 0xA9, 0xAB, 0xD2, 0xD1, 0x58, 0xDB, 
0x2E, 0xCF, 0xD7, 0xA5, 0x43, 0x34, 0x99, 0x3F, 0x44, 0xF6, 0x07, 0x1A, 0x9F, 0xC1, 0xD9, 0x0A, 
0x24, 0xA1, 0x98, 0x80, 0x00, 0x95, 0x08, 0x2A, 0xAA, 0x83, 0x94, 0x91, 0x03, 0x6C, 0x5D, 0x64, 
0xCC, 0xFD, 0x54, 0xCB, 0xC9, 0xF0, 0x52, 0x3B, 0xBD, 0xF2, 0x2B, 0xA6, 0xC3, 0x18, 0xCA, 0x90, 
0x85, 0x62, 0x06, 0xB5, 0x72, 0xE4, 0x40, 0x15, 0xF3, 0x6B, 0xFF, 0x0B, 0x8E, 0x1B, 0xAD, 0xCE, 
0x8C, 0x5A, 0xE2, 0x73, 0xB7, 0x12, 0x28, 0x25, 0x2F, 0x46, 0xAF, 0xA0, 0xBF, 0xA2, 0x17, 0xEA, 
0xB9, 0x70, 0x6F, 0x74, 0x9C, 0x8F, 0xF5, 0xB4, 0x89, 0x69, 0x26, 0xF7, 0x42, 0x61, 0x84, 0xE8, 
0xF9, 0xC7, 0xEE, 0xDE, 0x1D, 0xEC, 0x5E, 0x8D, 0xBC, 0x3E, 0xE6, 0xEF, 0xAE, 0x14, 0xF4, 0x48, 
0xB2, 0x10, 0x35, 0x75, 0x37, 0xF8, 0x4C, 0x29, 0x77, 0x4A, 0x7F, 0xD6, 0x47, 0x57, 0xDD, 0x4F, 
0x2D, 0x9B, 0x76, 0xA3, 0x92, 0xBB, 0x7C, 0xA4, 0xD3, 0xDC, 0x2C, 0x55, 0xE3, 0x0E, 0x45, 0x68, 
0x23, 0x81, 0x56, 0xC0, 0x3C, 0xC8, 0x6A, 0x04, 0x41, 0xE9, 0x97, 0xFA, 0x87, 0x02, 0x13, 0xF1, 
0xFB, 0x51, 0x31, 0xD0, 0x0F, 0x88, 0xE7, 0xFE, 0xD4, 0x38, 0x1E, 0x82, 0x60, 0x6E, 0xA7, 0xD8, 
0x7D, 0x67, 0x49, 0x79, 0x27, 0x3D, 0xC2, 0x05, 0x65, 0x9A, 0x5B, 0x7E, 0x21, 0x78, 0xD5, 0x86, 
0x01, 0xFC, 0xB0, 0x50, 0x4E, 0xC4, 0x93, 0x20, 0x66, 0xC5, 0xB8, 0x30, 0x33, 0xB6, 0x11, 0xEB, 
NL=104
