target sbox:
0xC7, 0x54, 0x3D, 0x89, 0x87, 0x56, 0x6C, 0xFB, 0x90, 0xFE, 0x32, 0x91, 0x7C, 0xF7, 0x6E, 0x65, 
0x5C, 0xB4, 0x19, 0xE8, 0xC4, 0x43, 0x78, 0x34, 0x98, 0xAE, 0x88, 0xC0, 0x71, 0x83, 0x55, 0x73, 
0x53, 0xD2, 0xDE, 0x14, 0xA0, 0xBF, 0x15, 0xE2, 0xA8, 0x81, 0xA2, 0x18, 0x99, 0x0D, 0x9F, 0x16, 
0xC5, 0x2C, 0xC6, 0x9E, 0x1D, 0x4E, 0x13, 0xE0, 0x9B, 0x84, 0xDD, 0x50, 0x20, 0xF9, 0x5D, 0xAA, 
0x68, 0xED, 0x63, 0x59, 0xA1, 0x82, 0x02, 0x38, 0xE9, 0xB8, 0x5A, 0x00, 0x76, 0x6F, 0xD9, 0xEF, 
0xF2, 0xD0, 0xF4, 0x26, 0x31, 0xCE, 0x4C, 0x39, 0xCF, 0x40, 0x85, 0xBD, 0x36, 0xEA, 0xD6, 0xD7, 
0xA5, 0x6A, 0xDF, 0xE5, 0x7F, 0x58, 0xB1, 0xDA, 0xCD, 0xAB, 0x4B, 0xE3, 0x30, 0x3A, 0xFA, 0xD1, 
0x07, 0xDC, 0xB3, 0x77, 0xD4, 0x2A, 0x7B, 0x72, 0x17, 0xB2, 0x24, 0xA7, 0xEB, 0xC8, 0x1E, 0xEE, 
0xA6, 0xFF, 0x10, 0x23, 0x29, 0xCA, 0x3E, 0x8E, 0x8F, 0x79, 0x8D, 0xE7, 0x6B, 0x2F, 0xB7, 0x96, 
0x9C, 0xDB, 0x08, 0x5E, 0xAF, 0x2B, 0x0A, 0x95, 0x0E, 0xB0, 0x11, 0x47, 0x8A, 0x3C, 0x27, 0xC3, 
0xF1, 0x37, 0x03, 0x66, 0x75, 0x33, 0x0C, 0xCB, 0x41, 0x5B, 0x4D, 0xB5, 0xBA, 0x1B, 0x44, 0x2D, 
0x60, 0x51, 0x3F, 0x2E, 0xF8, 0x01, 0x05, 0xE1, 0x49, 0x0F, 0x9A, 0xF3, 0x48, 0x67, 0xD8, 0x97, 
0x45, 0x8C, 0x70, 0x0B, 0xFC, 0xD3, 0xBE, 0xA3, 0xC2, 0x74, 0xE4, 0xC9, 0x62, 0x1F, 0x93, 0x7E, 
0xA9, 0xF5, 0xF6, 0xB6, 0xCC, 0x3B, 0x42, 0x57, 0x7D, 0x92, 0x86, 0xF0, 0xFD, 0x9D, 0x64, 0x04, 
0x28, 0x22, 0x6D, 0xE6, 0xAC, 0xC1, 0x25, 0x4F, 0xAD, 0x1C, 0xA4, 0x21, 0x69, 0x7A, 0xBB, 0x80, 
0x94, 0x1A, 0x4A, 0x8B, 0xEC, 0x5F, 0x06, 0x52, 0xD5, 0x12, 0x46, 0xBC, 0x09, 0x35, 0xB9, 0x61, 
NL=104
