target sbox:
0x67, 0x5F, 0x15, 0xE6, 0x75, 0x03, 0xC3, 0xB6, 0x8F, 0x17, 0xDF, 0x00, 0x48, 0xE1, 0xAF, 0x08, 
0xB1, 0xDA, 0x37, 0x8C, 0xAB, 0xD6, 0x90, 0xAD, 0x1A, 0x6A, 0x44, 0xD4, 0x81, 0x98, 0x5D, 0x95, 
0x5B, 0x53, 0x70, 0xC5, 0xF9, 0xD7, 0xD5, 0x91, 0xA8, 0x5E, 0x40, 0xCD, 0x2B, 0x88, 0xA5, 0xE3, 
0x23, 0x07, 0xC1, 0x12, 0xF3, 0x6E, 0x2A, 0x85, 0x7F, 0x33, 0x02, 0x57, 0x14, 0x1C, 0xE5, 0x49, 
0xC4, 0xCA, 0x9E, 0xF7, 0x77, 0x6B, 0xCC, 0x20, 0xEB, 0x38, 0xD9, 0xC8, 0xC0, 0x3E, 0x96, 0xD3, 
0xFC, 0xED, 0xB0, 0x43, 0xF0, 0xFF, 0x9F, 0x8D, 0x86, 0x71, 0x04, 0x4B, 0x0E, 0xD8, 0x9C, 0x59, 
0x8B, 0xBE, 0xCF, 0x78, 0xFB, 0x3C, 0xB3, 0x99, 0x66, 0x2F, 0xA7, 0xBD, 0xF1, 0xBB, 0x61, 0x7D, 
0x29, 0x8A, 0x27, 0x0D, 0xA2, 0x45, 0x6D, 0x06, 0x6F, 0xD0, 0xD1, 0xA9, 0xB4, 0xEC, 0x6C, 0xB8, 
0xBC, 0x39, 0x47, 0xF4, 0x05, 0x4A, 0x3A, 0xA6, 0x80, 0x36, 0xE7, 0x21, 0x65, 0x5C, 0xDB, 0x13, 
0xF5, 0x72, 0xFE, 0x1D, 0xA1, 0x51, 0xCB, 0x63, 0x32, 0x1F, 0x28, 0xB9, 0xC7, 0x7A, 0x1E, 0x69, 
0x11, 0x1B, 0xE4, 0x64, 0x56, 0x24, 0xFD, 0x46, 0x9A, 0x94, 0x3F, 0x4C, 0xC9, 0xB7, 0x22, 0xFA, 
0x09, 0xA3, 0xF6, 0x89, 0x19, 0x55, 0xEE, 0x54, 0xF2, 0x10, 0x5A, 0x93, 0x0B, 0x52, 0x01, 0x73, 
0x84, 0x0C, 0x4D, 0xDE, 0xC6, 0x7C, 0x87, 0x42, 0xEA, 0x68, 0x30, 0x8E, 0x92, 0xE9, 0xA4, 0x3B, 
0x18, 0x74, 0x26, 0xDD, 0x79, 0xF8, 0xE2, 0x2C, 0x7B, 0xC2, 0x25, 0x4F, 0x97, 0x41, 0x50, 0x34, 
0x4E, 0xEF, 0x9B, 0x31, 0x82, 0xAC, 0x0F, 0x35, 0xAA, 0xAE, 0xE0, 0x60, 0x7E, 0x9D, 0xBF, 0xE8, 
0x2E, 0x83, 0xD2, 0xB5, 0xA0, 0xB2, 0x3D, 0x2D, 0xBA, 0x58, 0xDC, 0x16, 0x62, 0x0A, 0x76, 0xCE, 
NL=104
