target sbox:
0x4F, 0x57, 0x6D, 0xAA, 0xC6, 0x5F, 0xC7, 0x11, 0xBC, 0xEF, 0xCD, 0x01, 0xF0, 0x48, 0xB0, 0x6C, 
0xE9, 0x45, 0xB8, 0xEC, 0x22, 0x61, 0xB2, 0x56, 0x34, 0x9F, 0xC0, 0x2A, 0xA6, 0x39, 0xD2, 0x29, 
0xD8, 0xD9, 0x77, 0x3E, 0x99, 0x23, 0x92, 0xBA, 0xFB, 0xD3, 0x37, 0x87, 0x85, 0x10, 0x24, 0x28, 
0xFC, 0x27, 0x08, 0xD6, 0x3F, 0xE0, 0x5D, 0x72, 0x76, 0xDC, 0x13, 0x90, 0x8A, 0xC4, 0x60, 0x35, 
0x64, 0xEE, 0xFF, 0x1D, 0x9A, 0x3C, 0xE3, 0x9E, 0x33, 0x78, 0xB6, 0x74, 0xE1, 0xA1, 0x54, 0xAB, 
0x63, 0x9C, 0xBB, 0x7A, 0x19, 0xCB, 0x9D, 0x0E, 0x88, 0x71, 0x43, 0x81, 0x25, 0x2E, 0x26, 0x42, 
0x41, 0x65, 0xB3, 0xA5, 0xDE, 0xF8, 0x8B, 0xD1, 0x15, 0x69, 0x7F, 0xF2, 0x95, 0xF1, 0x0F, 0xA8, 
0x67, 0x94, 0x5C, 0x1A, 0x8C, 0xE5, 0x12, 0x49, 0xE8, 0x58, 0xFE, 0x68, 0x31, 0x8F, 0xD4, 0xE7, 
0x89, 0x30, 0x91, 0xCC, 0xD5, 0x83, 0x2B, 0xB4, 0xA2, 0xC8, 0x75, 0x05, 0xA9, 0xBD, 0x66, 0x44, 
0x1F, 0x20, 0xF9, 0x0A, 0xF3, 0xC2, 0xDF, 0x21, 0x03, 0x38, 0x16, 0xAF, 0x36, 0x8D, 0x14, 0x3D, 
0x50, 0x5B, 0x40, 0xF7, 0x86, 0x9B, 0xFD, 0x1E, 0xC5, 0x06, 0x02, 0xD0, 0x79, 0x46, 0x80, 0xB5, 
0x97, 0x00, 0x84, 0xE2, 0xB9, 0x3A, 0xB7, 0xE4, 0x98, 0xEA, 0x62, 0xC1, 0x59, 0x70, 0xF4, 0x55, 
0xF6, 0xDD, 0x5E, 0x51, 0xBE, 0xF5, 0xA7, 0x4E, 0x4B, 0x04, 0xED, 0xDA, 0x8E, 0x73, 0xCA, 0x5A, 
0x17, 0x1C, 0x7C, 0xEB, 0x6E, 0x82, 0xC9, 0x7D, 0x07, 0x1B, 0x96, 0x6F, 0x53, 0xAC, 0x2D, 0x52, 
0x0B, 0xE6, 0xA4, 0xAD, 0x7E, 0x2F, 0x09, 0xBF, 0x4A, 0xCF, 0x4D, 0x47, 0xB1, 0x2C, 0xA3, 0x93, 
0xA0, 0xCE, 0xC3, 0xFA, 0x32, 0x18, 0x0C, 0x6A, 0xDB, 0x0D, 0xAE, 0x3B, 0x6B, 0x7B, 0x4C, 0xD7, 
NL=104
