target sbox:
0x1C, 0xDA, 0x03, 0xF3, 0x7E, 0x17, 0x90, 0xBE, 0x67, 0x15, 0xFC, 0x0C, 0xFA, 0x79, 0xA4, 0xE2, 
0x4B, 0x0A, 0xAA, 0xE5, 0xB9, 0xD3, 0x45, 0x4D, 0x82, 0x1F, 0x8E, 0xED, 0xBD, 0xCC, 0x21, 0xEE, 
0x2D, 0x83, 0x86, 0x6E, 0x34, 0x32, 0xC0, 0x68, 0xB2, 0x9D, 0x51, 0xFF, 0x52, 0x71, 0xD0, 0x35, 
0x85, 0xC3, 0xF8, 0x7F, 0xA0, 0x48, 0x3F, 0x4E, 0x12, 0x9C, 0x4A, 0x38, 0x53, 0xDF, 0x11, 0x1B, 
0x29, 0xAC, 0x74, 0x5F, 0xDB, 0xE0, 0xD2, 0x1A, 0x2A, 0x96, 0xB0, 0x41, 0x33, 0x65, 0xC5, 0xF7, 
0xFD, 0x09, 0x76, 0x84, 0x2B, 0x36, 0xEC, 0xB7, 0x13, 0x62, 0x95, 0xCA, 0x78, 0x75, 0xCF, 0xDC, 
0x99, 0xEF, 0x9B, 0x60, 0xB8, 0x05, 0xD9, 0x69, 0x28, 0x6F, 0x88, 0xA6, 0x8C, 0x14, 0x08, 0xDD, 
0xBB, 0x91, 0xF0, 0xE6, 0xFB, 0x70, 0x39, 0x43, 0xAE, 0x3A, 0x1D, 0xEA, 0x66, 0xEB, 0xBA, 0xCE, 
0xE1, 0xC2, 0x5E, 0xF6, 0xF2, 0xFE, 0xD6, 0x26, 0xB6, 0x92, 0x23, 0x6D, 0x01, 0x7B, 0x1E, 0xA8, 
0xA3, 0xF1, 0x04, 0xC1, 0x7A, 0x5D, 0x6B, 0xBC, 0x4C, 0xB5, 0x55, 0xC7, 0xA1, 0x5B, 0x50, 0x20, 
0x0F, 0x18, 0xB4, 0x00, 0xBF, 0x3E, 0xE9, 0x9E, 0x8B, 0x72, 0x22, 0xE4, 0x80, 0x0D, 0x94, 0x58, 
0x57, 0x6A, 0xAD, 0x9F, 0x98, 0x49, 0xCB, 0x3C, 0x16, 0xA5, 0x10, 0xA9, 0x5A, 0x30, 0xA7, 0x27, 
0x44, 0x7C, 0x63, 0xB1, 0x2E, 0x46, 0x40, 0x02, 0xAB, 0xD1, 0x25, 0x81, 0x0B, 0x6C, 0x93, 0x31, 
0xD8, 0x89, 0xC6, 0xB3, 0x77, 0xD7, 0x73, 0xE8, 0x24, 0x47, 0xF4, 0x06, 0xAF, 0x87, 0x5C, 0x8D, 
0x97, 0x7D, 0x2C, 0xF9, 0x3B, 0xC4, 0x56, 0xD4, 0x9A, 0xF5, 0x8F, 0xC9, 0xDE, 0x8A, 0xC8, 0x54, 
0x61, 0x3D, 0x59, 0x2F, 0x19, 0xA2, 0xE7, 0x64, 0x42, 0x07, 0xD5, 0x4F, 0x37, 0xE3, 0x0E, 0xCD, 
NL=104
