target sbox:
0x4B, 0xA8, 0xEB, 0xA5, 0x6E, 0x9E, 0x5C, 0x6A, 0xC3, 0x14, 0xA3, 0xD9, 0x54, 0x4E, 0x84, 0x03, 
0xB9, 0x2A, 0xDB, 0x73, 0x65, 0xED, 0x7D, 0xE8, 0x2F, 0x20, 0x94, 0xFC, 0xE9, 0x5F, 0xE6, 0xB0, 
0xCF, 0xE7, 0x69, 0x1D, 0x87, 0x12, 0x4A, 0x40, 0xF8, 0xEA, 0x4C, 0xBB, 0x21, 0x5B, 0x5A, 0x3F, 
0xBF, 0x45, 0xD8, 0x1A, 0xF2, 0xCB, 0x1B, 0xA4, 0x86, 0xE2, 0x67, 0xC8, 0x56, 0xCD, 0x9C, 0x88, 
0xEF, 0xC6, 0xF6, 0x7C, 0x62, 0x05, 0x37, 0xAE, 0xB3, 0x02, 0xF9, 0x66, 0x18, 0x79, 0xB6, 0x8D, 
0xC2, 0x3A, 0x28, 0xB4, 0x32, 0x7F, 0x80, 0xA6, 0x98, 0xAF, 0x17, 0xBE, 0x0B, 0xFF, 0x4F, 0xD7, 
0x3E, 0x0C, 0xB7, 0xD2, 0x26, 0x51, 0x59, 0x10, 0x44, 0xD5, 0xDE, 0x48, 0x57, 0x78, 0x9B, 0xDF, 
0x2C, 0x71, 0x7A, 0xA7, 0x99, 0x52, 0xAB, 0x53, 0x60, 0x90, 0x0D, 0x6C, 0x55, 0xF1, 0xA2, 0xC5, 
0x0A, 0x07, 0x74, 0x42, 0xCE, 0x01, 0xC4, 0x08, 0x7E, 0x8C, 0xE0, 0x13, 0x0E, 0xA0, 0x31, 0x06, 
0x58, 0x91, 0x95, 0x83, 0x76, 0x9A, 0x43, 0x1E, 0x19, 0xC7, 0x75, 0x77, 0x85, 0xCC, 0x36, 0xBA, 
0x6D, 0xAD, 0x1C, 0xC1, 0x97, 0x89, 0xB1, 0x11, 0x82, 0xD0, 0x2B, 0x68, 0x3C, 0xDC, 0x5E, 0xCA, 
0x8B, 0x70, 0x35, 0x6F, 0xEC, 0x25, 0x41, 0x15, 0xC9, 0xE3, 0xE5, 0x34, 0x9D, 0x81, 0x30, 0x0F, 
0x3B, 0x8E, 0xF0, 0xB5, 0x63, 0xAC, 0xB2, 0x22, 0x46, 0x6B, 0xF3, 0x24, 0x00, 0xF7, 0xB8, 0xFE, 
0x8F, 0x23, 0xE4, 0x61, 0x9F, 0x72, 0xD4, 0x93, 0x38, 0x04, 0x27, 0xA9, 0xBD, 0x3D, 0x5D, 0xC0, 
0xF5, 0x50, 0xFD, 0xE1, 0xAA, 0x2D, 0x39, 0xD1, 0xDA, 0xEE, 0xF4, 0x92, 0x33, 0xFB, 0xBC, 0x64, 
0xD6, 0x49, 0xA1, 0x1F, 0x8A, 0x47, 0x96, 0x7B, 0xFA, 0xD3, 0x4D, 0x2E, 0x09, 0x29, 0xDD, 0x16, 
NL=104
