target sbox:
0x27, 0x03, 0x19, 0x56, 0xFC, 0x05, 0x34, 0x24, 0xCB, 0x69, 0xB8, 0x02, 0x76, 0xA2, 0x86, 0xBE, 
0x15, 0xBC, 0x0B, 0x7F, 0x88, 0x83, 0xB7, 0x8E, 0xBD, 0x0C, 0xBA, 0x7A, 0x1C, 0x47, 0xA5, 0xB4, 
0x04, 0x89, 0xA8, 0xD4, 0xC2, 0xF7, 0x49, 0xF3, 0xB9, 0x8A, 0x70, 0xF2, 0x39, 0xF9, 0x21, 0x67, 
0x5C, 0xDF, 0xF5, 0xFF, 0x31, 0xB0, 0x77, 0xA1, 0x59, 0x01, 0xEF, 0xE8, 0x5E, 0x06, 0x71, 0x5F, 
0x5B, 0x29, 0x33, 0x00, 0x17, 0xD0, 0xC9, 0xDD, 0x9A, 0x72, 0xD3, 0x28, 0x6C, 0xE6, 0xF0, 0x10, 
0x4D, 0xCE, 0x6B, 0x4E, 0x99, 0xDC, 0x09, 0x61, 0x7B, 0xE3, 0x9C, 0x6E, 0x44, 0x87, 0x6D, 0x26, 
0xF8, 0x1A, 0x81, 0x12, 0xEE, 0xE4, 0x20, 0x60, 0x79, 0x93, 0xDE, 0x16, 0x68, 0x4A, 0xAE, 0x62, 
0x3B, 0x3D, 0xEB, 0x45, 0x4C, 0x7C, 0x2B, 0x64, 0xFE, 0x9B, 0x8C, 0x23, 0xCA, 0xC4, 0x52, 0xAB, 
0x90, 0x95, 0x91, 0x41, 0x8F, 0x51, 0x2A, 0x07, 0x5A, 0x22, 0x1F, 0x08, 0x9D, 0x0A, 0xE2, 0xAC, 
0xC3, 0x3E, 0x78, 0xAF, 0xC6, 0x96, 0xF1, 0xB3, 0xB6, 0xE5, 0x3F, 0xC1, 0xBF, 0x82, 0x2F, 0xE7, 
0x2C, 0xF6, 0xD8, 0x13, 0x55, 0xAA, 0x48, 0xFA, 0x0F, 0x0E, 0xE0, 0xC7, 0x8D, 0xFD, 0x1D, 0x57, 
0x40, 0xA6, 0xCC, 0x66, 0xC0, 0x2D, 0xD1, 0x58, 0xB5, 0xD6, 0x37, 0x18, 0xA4, 0x4F, 0x6A, 0xED, 
0xDA, 0xEA, 0x7D, 0x35, 0x74, 0xFB, 0xA0, 0x6F, 0x65, 0xD5, 0x80, 0x97, 0x4B, 0x3A, 0x38, 0x53, 
0xA7, 0xB1, 0x92, 0x5D, 0xE1, 0xD9, 0x11, 0x43, 0xCD, 0xC5, 0x50, 0xA3, 0x1E, 0x14, 0x85, 0x25, 
0x1B, 0x9E, 0x63, 0x0D, 0xAD, 0xC8, 0x73, 0x30, 0x46, 0x7E, 0x42, 0xD7, 0xD2, 0xA9, 0xDB, 0x75, 
0x54, 0x2E, 0xE9, 0x94, 0x36, 0xEC, 0xCF, 0x8B, 0xBB, 0x9F, 0x98, 0x3C, 0xF4, 0x32, 0xB2, 0x84, 
NL=104
