target sbox:
0xA7, 0xBE, 0x21, 0x35, 0x3C, 0xA6, 0x17, 0xEA, 0x01, 0x72, 0x3A, 0x91, 0xD6, 0x6B, 0x59, 0xC6, 
0x02, 0xF5, 0x33, 0x61, 0xB2, 0x83, 0x39, 0xD0, 0x98, 0xEC, 0xAB, 0xBD, 0x88, 0x7C, 0x7D, 0xDF, 
0xA8, 0xD4, 0x87, 0x40, 0x4E, 0x9A, 0x19, 0x90, 0xAA, 0x51, 0xBC, 0xB9, 0xE3, 0x4C, 0xCD, 0x71, 
0x3F, 0x6D, 0xF9, 0xF3, 0x27, 0xA2, 0x66, 0x5C, 0xC1, 0x52, 0xBB, 0xE4, 0x80, 0xE1, 0x04, 0x41, 
0xFB, 0xCB, 0xF1, 0x12, 0xA4, 0x65, 0x99, 0xB6, 0x2F, 0x63, 0x78, 0x60, 0xC4, 0x93, 0xB3, 0x6E, 
0xD9, 0x3E, 0x4A, 0xDC, 0x09, 0x50, 0x67, 0xD8, 0x07, 0xA3, 0x9B, 0x85, 0x1D, 0x23, 0x95, 0xEB, 
0xDA, 0x34, 0x6A, 0xF0, 0x2E, 0x48, 0xCF, 0x8F, 0x42, 0x7F, 0x18, 0xF7, 0x86, 0xF8, 0xD1, 0x5A, 
0xCE, 0xC5, 0x68, 0x77, 0x8C, 0x9F, 0x9C, 0x3D, 0x8A, 0x55, 0x92, 0xA1, 0x4B, 0xAD, 0xA5, 0xE2, 
0xAE, 0x5E, 0xD3, 0x0D, 0x8E, 0xC2, 0xC3, 0x06, 0x7B, 0x89, 0xE7, 0x2D, 0x15, 0x0A, 0x30, 0x03, 
0x62, 0x37, 0x0C, 0xA0, 0xB8, 0xDD, 0xB1, 0xFD, 0x3B, 0xF4, 0x49, 0x14, 0x24, 0x58, 0xED, 0x8D, 
0xE8, 0x0F, 0x1E, 0x54, 0xE0, 0x81, 0x43, 0xC7, 0x00, 0x96, 0x46, 0x1B, 0xFC, 0x16, 0x8B, 0x76, 
0x69, 0x11, 0x9E, 0x28, 0x53, 0xF6, 0x22, 0xB4, 0x47, 0xDB, 0x38, 0x44, 0xFF, 0xD7, 0x97, 0xC8, 
0xE6, 0x7E, 0x73, 0xD2, 0x82, 0x25, 0x6F, 0xEF, 0x08, 0x70, 0x9D, 0x2C, 0x31, 0x29, 0x5D, 0x13, 
0x36, 0xF2, 0xA9, 0xEE, 0x74, 0xFA, 0xC9, 0x4D, 0x4F, 0x56, 0x26, 0xB7, 0xDE, 0xB5, 0x0E, 0x1A, 
0x57, 0x2A, 0x64, 0x75, 0xD5, 0x6C, 0x10, 0x32, 0xE9, 0x1F, 0x05, 0x45, 0xFE, 0x20, 0xC0, 0xCA, 
0x84, 0x0B, 0x79, 0x5F, 0xBF, 0xE5, 0xBA, 0xAC, 0xB0, 0x2B, 0xCC, 0x5B, 0xAF, 0x7A, 0x94, 0x1C, 
NL=104
