target sbox:
0x08, 0xD1, 0x8B, 0x39, 0xB1, 0x1F, 0x48, 0x15, 0x65, 0x3C, 0x10, 0xAB, 0xC5, 0x75, 0x92, 0xEB, 
0xA8, 0xB6, 0x51, 0x11, 0x26, 0x55, 0x67, 0xFD, 0x16, 0x1A, 0xA3, 0x29, 0xC2, 0xB0, 0x63, 0x5C, 
0x6C, 0x59, 0xC6, 0x4E, 0x12, 0x3F, 0xBF, 0xE4, 0x77, 0xA4, 0xB2, 0x9A, 0x8A, 0xEE, 0xD2, 0x57, 
0x58, 0xA5, 0xED, 0x6D, 0x36, 0x5A, 0xDC, 0x85, 0xA2, 0x9E, 0xC4, 0x27, 0x69, 0x54, 0xE0, 0x07, 
0xD0, 0x84, 0x81, 0x47, 0x2A, 0x3A, 0x7B, 0xAD, 0x83, 0x32, 0x66, 0x99, 0x53, 0x3E, 0x40, 0xA7, 
0xBA, 0x93, 0x14, 0x34, 0xA9, 0x64, 0xF0, 0x95, 0xE2, 0xE5, 0xBC, 0x0A, 0xB3, 0xE6, 0x2C, 0x49, 
0xE1, 0x2B, 0xCA, 0x9B, 0x35, 0xB8, 0xC8, 0x18, 0xC1, 0xE3, 0x4F, 0x86, 0x71, 0xEC, 0x7C, 0x2D, 
0xD4, 0xDD, 0x5E, 0xF5, 0x28, 0x76, 0x2E, 0x03, 0xD7, 0x22, 0x91, 0x87, 0x44, 0x00, 0x4A, 0x7E, 
0x82, 0xCE, 0xF7, 0xCD, 0x19, 0x1E, 0x88, 0xF3, 0xCB, 0xF2, 0x9C, 0x7A, 0x33, 0xBB, 0xFE, 0x2F, 
0xFA, 0xE9, 0x5F, 0xE8, 0x6A, 0x52, 0x5D, 0xAF, 0x1D, 0x3B, 0xD3, 0xF9, 0xDF, 0x50, 0x23, 0x6F, 
0xA6, 0x7D, 0x0D, 0x4C, 0xAC, 0x05, 0x72, 0x73, 0x06, 0x5B, 0xFC, 0x89, 0x1C, 0xD6, 0x13, 0xD9, 
0x8E, 0xA0, 0x0E, 0x8C, 0x3D, 0x43, 0x41, 0x98, 0xEA, 0x24, 0x0B, 0x46, 0xF4, 0x62, 0xDB, 0xBE, 
0x80, 0xF1, 0xC0, 0xAE, 0x60, 0x30, 0x1B, 0x78, 0xB7, 0x09, 0xDE, 0x0F, 0xDA, 0x45, 0xFB, 0xC9, 
0x79, 0xC7, 0xD5, 0x37, 0xFF, 0x31, 0xF6, 0x7F, 0xB4, 0x25, 0xD8, 0x70, 0x8D, 0x21, 0x94, 0xBD, 
0x4B, 0xB9, 0x01, 0x17, 0x9D, 0xE7, 0x56, 0xCF, 0x90, 0x0C, 0x96, 0x6E, 0x4D, 0x20, 0x68, 0xB5, 
0xEF, 0x02, 0xA1, 0x6B, 0x42, 0x97, 0x04, 0x61, 0x9F, 0x38, 0xF8, 0xAA, 0xC3, 0x8F, 0x74, 0xCC, 
NL=104
