target sbox:
0x3B, 0xF7, 0x3A, 0x0E, 0x2B, 0x7A, 0x35, 0x78, 0xA7, 0x69, 0x21, 0x53, 0xBC, 0xCE, 0xDF, 0x7E, 
0x82, 0x33, 0x4E, 0xD6, 0x39, 0xEE, 0x37, 0x1B, 0x0C, 0xD1, 0x0D, 0x22, 0x27, 0x7D, 0xA6, 0x43, 
0x6E, 0x73, 0xF4, 0xCA, 0x28, 0x05, 0x9B, 0xE9, 0xC7, 0x88, 0xA9, 0x5E, 0xD3, 0xF3, 0x18, 0x1F, 
0x67, 0x9C, 0x6B, 0x13, 0x54, 0x5F, 0x71, 0x19, 0x50, 0x9E, 0x44, 0x7F, 0x6C, 0xC0, 0xA5, 0xB6, 
0xE3, 0x72, 0xFE, 0xB8, 0x29, 0xC6, 0x23, 0x49, 0xB5, 0xA4, 0x2D, 0x47, 0x40, 0x96, 0xF1, 0x45, 
0x3F, 0xDC, 0x4D, 0xB4, 0x58, 0x5C, 0xED, 0xCF, 0xE2, 0x3D, 0x02, 0x89, 0xB0, 0x6A, 0xCB, 0x36, 
0x5B, 0x26, 0x86, 0x55, 0xE6, 0xC5, 0x5D, 0x12, 0x41, 0x91, 0xE4, 0xD8, 0x48, 0xCD, 0x06, 0x57, 
0x75, 0x31, 0x16, 0xDD, 0x6F, 0xBB, 0xFA, 0x42, 0x30, 0xEA, 0xA8, 0x5A, 0xD5, 0x7B, 0xFB, 0x99, 
0x34, 0xC4, 0x3C, 0x95, 0x1C, 0x77, 0xAF, 0xF9, 0xE7, 0xE8, 0xDA, 0x9A, 0x83, 0x09, 0x92, 0x70, 
0x17, 0xFF, 0x74, 0xAA, 0x51, 0x81, 0x14, 0xC8, 0xC2, 0xC3, 0x61, 0xB7, 0x68, 0xBD, 0xC1, 0xAE, 
0xB2, 0xA0, 0x46, 0xD9, 0x8B, 0xDE, 0x90, 0x0A, 0xA2, 0x8A, 0x56, 0x80, 0x32, 0x24, 0x2E, 0x1E, 
0x9F, 0x25, 0xA1, 0x03, 0x4C, 0xEB, 0x15, 0x04, 0xE0, 0xD2, 0xC9, 0xBE, 0xD4, 0x00, 0xCC, 0x1A, 
0x01, 0xEF, 0x94, 0xA3, 0x20, 0x63, 0x8F, 0x07, 0xBA, 0x3E, 0x08, 0xF6, 0xAB, 0x1D, 0xDB, 0x6D, 
0xBF, 0x8E, 0xD0, 0x65, 0xAC, 0x87, 0x7C, 0x2A, 0x84, 0xFD, 0x64, 0xF0, 0x4F, 0x79, 0x10, 0x52, 
0x76, 0x59, 0xE5, 0xAD, 0xB1, 0xF8, 0xB3, 0xB9, 0xEC, 0x85, 0x2F, 0x38, 0x9D, 0x0B, 0x11, 0xF5, 
0x97, 0x4B, 0xD7, 0x8C, 0x93, 0x66, 0xF2, 0x98, 0x62, 0x2C, 0x0F, 0x8D, 0x4A, 0xE1, 0xFC, 0x60, 
NL=104
