target sbox:
0x34, 0x2D, 0x7F, 0x95, 0xEB, 0x54, 0x4D, 0xF0, 0x52, 0x18, 0x19, 0xB6, 0x90, 0x3B, 0x0A, 0xC9, 
0x32, 0x62, 0x74, 0xFF, 0x8A, 0x16, 0x45, 0xF3, 0x28, 0x4C, 0x4F, 0x20, 0x5C, 0x08, 0x50, 0x73, 
0x68, 0xF5, 0x89, 0xA0, 0x86, 0xC0, 0xAC, 0xB4, 0x6A, 0x77, 0xD5, 0xAA, 0x0F, 0x67, 0x9A, 0x51, 
0x06, 0x94, 0x99, 0xE3, 0x1B, 0x2A, 0xCE, 0xCD, 0x63, 0xC6, 0x3D, 0xFA, 0x21, 0xB2, 0xE6, 0x64, 
0x13, 0x25, 0x03, 0x00, 0x6E, 0xAB, 0xA1, 0x01, 0xC1, 0x61, 0x9F, 0x4B, 0xB0, 0xE8, 0x3A, 0xDA, 
0xA7, 0x6C, 0x60, 0x33, 0x8D, 0x93, 0xE4, 0xA6, 0x85, 0x0E, 0x0B, 0xFB, 0x30, 0x7A, 0xED, 0x83, 
0xCF, 0xD7, 0x1A, 0x88, 0x37, 0xEC, 0xD1, 0x11, 0x3C, 0x5B, 0x78, 0xBB, 0xA8, 0x92, 0x48, 0xDC, 
0x82, 0x4A, 0x87, 0x72, 0x80, 0x65, 0xB5, 0x02, 0x6F, 0x1E, 0xBC, 0xD3, 0xE7, 0x6B, 0xE0, 0xBA, 
0x5F, 0x2E, 0x58, 0x5E, 0xF9, 0x29, 0xEE, 0xD6, 0x43, 0xB8, 0x5D, 0x26, 0x1C, 0x24, 0xC8, 0xF6, 
0xA9, 0xCA, 0x7B, 0x9E, 0x47, 0xC2, 0xC7, 0x2B, 0xF1, 0xDF, 0x8E, 0x07, 0x57, 0xFE, 0x38, 0x14, 
0x09, 0x98, 0xC5, 0x39, 0x3F, 0x66, 0x55, 0x84, 0xF7, 0x4E, 0xA3, 0xE2, 0x15, 0x3E, 0x79, 0x10, 
0x9D, 0xC3, 0x36, 0xB1, 0x49, 0x8B, 0xBF, 0x1D, 0xE9, 0x22, 0x46, 0x91, 0xF2, 0x0D, 0xCC, 0x6D, 
0xB3, 0x56, 0x81, 0x71, 0xD2, 0x2F, 0xB9, 0xA4, 0xC4, 0x41, 0xDE, 0x23, 0xAD, 0xE5, 0x8F, 0xAF, 
0xFC, 0x5A, 0x44, 0xB7, 0xCB, 0xDB, 0xA5, 0xDD, 0x69, 0xF4, 0x1F, 0x05, 0xBD, 0x97, 0x17, 0x12, 
0x53, 0x31, 0x04, 0x35, 0xEA, 0x2C, 0xD0, 0xE1, 0x75, 0xD8, 0x9B, 0xAE, 0x76, 0x7D, 0x8C, 0xD9, 
0xF8, 0xA2, 0xBE, 0x96, 0x40, 0x7C, 0xEF, 0x9C, 0x0C, 0x7E, 0x42, 0x27, 0xFD, 0x70, 0xD4, 0x59, 
NL=104
