target sbox:
0x98, 0x49, 0x10, 0x62, 0x54, 0x96, 0xD2, 0xC4, 0xA2, 0x5F, 0xEF, 0xB8, 0x59, 0x51, 0xEA, 0x19, 
0x56, 0x09, 0xF0, 0x2B, 0x04, 0xA8, 0x8D, 0x29, 0xAD, 0x22, 0xFC, 0x50, 0xB0, 0x7C, 0x78, 0x2E, 
0xF9, 0xC1, 0x75, 0x99, 0xA3, 0xA1, 0x55, 0xE1, 0x7D, 0xE0, 0x5C, 0x37, 0x77, 0xB1, 0xA9, 0xBB, 
0x44, 0x4A, 0xF3, 0x15, 0xDC, 0xF5, 0x81, 0xC5, 0xE6, 0x46, 0x57, 0x0A, 0x32, 0xBF, 0x6E, 0x0F, 
0xDD, 0x85, 0x1A, 0x07, 0xC7, 0xD3, 0xE5, 0xB4, 0x12, 0x39, 0x9F, 0x3D, 0x8F, 0x52, 0x82, 0x4E, 
0x43, 0x64, 0x27, 0x03, 0x8A, 0xB3, 0xA5, 0x4D, 0x35, 0xCC, 0xA4, 0x7E, 0x00, 0x61, 0x38, 0xEE, 
0x18, 0x72, 0xCF, 0x11, 0xC2, 0xBC, 0x2D, 0x1B, 0x16, 0xAC, 0x9E, 0x36, 0x01, 0x9A, 0x23, 0x3A, 
0xD8, 0xED, 0xDE, 0x87, 0x9C, 0xE3, 0x02, 0x60, 0x1E, 0x1C, 0xF8, 0x7A, 0x0D, 0xB2, 0x66, 0xCB, 
0x2A, 0x40, 0xF6, 0x14, 0x34, 0x95, 0xD9, 0x73, 0x1D, 0x47, 0x89, 0xD6, 0xCA, 0x20, 0xD1, 0x30, 
0x48, 0x13, 0x97, 0x6C, 0xC9, 0x26, 0x4F, 0x69, 0x6A, 0xB6, 0xD5, 0xAF, 0x68, 0xE7, 0xFF, 0x76, 
0x71, 0xFB, 0x6D, 0x3E, 0x84, 0x9D, 0x83, 0xAB, 0xDF, 0xF2, 0xD7, 0x28, 0xFD, 0x91, 0x31, 0xDA, 
0x45, 0x79, 0x3F, 0x90, 0xA0, 0x70, 0xE2, 0xB7, 0x65, 0xCE, 0x21, 0xE4, 0xF4, 0x42, 0xFE, 0x24, 
0xE8, 0xEC, 0x4B, 0xC0, 0x33, 0x8E, 0x3C, 0xC6, 0x2C, 0x80, 0x92, 0x1F, 0x9B, 0xBA, 0x41, 0x3B, 
0xA6, 0xB9, 0xB5, 0x58, 0x88, 0x06, 0x5E, 0xF7, 0x53, 0x5A, 0xE9, 0x86, 0x94, 0x7B, 0x8B, 0x6F, 
0x0C, 0xEB, 0xD4, 0xAA, 0xDB, 0x93, 0xA7, 0xAE, 0x74, 0x05, 0xD0, 0x4C, 0x8C, 0x08, 0xBD, 0x7F, 
0x0E, 0x17, 0xC8, 0x2F, 0xF1, 0x5D, 0xC3, 0x63, 0x5B, 0xFA, 0xCD, 0x25, 0xBE, 0x0B, 0x6B, 0x67, 
NL=104
