target sbox:
0x78, 0x9D, 0xB8, 0x76, 0x54, 0x24, 0xC9, 0x7F, 0xE3, 0xFC, 0x10, 0xA2, 0x9E, 0xE2, 0x59, 0xF9, 
0xD3, 0xE8, 0x64, 0xEC, 0x51, 0x00, 0xE1, 0xFF, 0xD9, 0xAE, 0xE0, 0xBB, 0xB9, 0x23, 0xBF, 0xDB, 
0x7D, 0x3D, 0x60, 0x5C, 0x19, 0x7A, 0xBA, 0x16, 0xD0, 0xE7, 0xF5, 0x41, 0xF7, 0x6E, 0xA6, 0x70, 
0xD2, 0xC5, 0xFB, 0xF8, 0xF1, 0x44, 0x4C, 0x7B, 0x6B, 0x2D, 0xA8, 0xC8, 0x7C, 0x81, 0xF6, 0xC3, 
0xAF, 0x96, 0xEE, 0x0E, 0x82, 0x83, 0xF4, 0x31, 0x13, 0xEF, 0xD4, 0xE5, 0x53, 0x5B, 0xB1, 0x65, 
0x11, 0x5F, 0x91, 0x3E, 0x0A, 0xA1, 0x6C, 0x2F, 0x47, 0x67, 0x0B, 0x2A, 0x15, 0xDE, 0x8C, 0x8A, 
0x98, 0x1D, 0xDD, 0x87, 0xC1, 0x93, 0x2B, 0x09, 0x74, 0x0D, 0x90, 0xF3, 0x3B, 0x2C, 0x52, 0xB0, 
0x37, 0x57, 0x7E, 0x42, 0x8D, 0xFA, 0xE4, 0xB6, 0x1A, 0x14, 0x17, 0xBD, 0xD8, 0xEA, 0x80, 0x75, 
0xC7, 0x77, 0xAB, 0x9C, 0xAC, 0xA3, 0xF2, 0x3F, 0xB3, 0x40, 0x05, 0x5A, 0xBE, 0x56, 0x45, 0x07, 
0x8F, 0x85, 0xAD, 0x29, 0x21, 0xE6, 0xDF, 0xC0, 0xA0, 0x9B, 0x26, 0xFD, 0x68, 0xA4, 0x79, 0xD7, 
0x01, 0x4A, 0x30, 0x92, 0x08, 0x22, 0xB5, 0x20, 0x88, 0x95, 0xB4, 0xCB, 0xC6, 0x5D, 0xDA, 0xBC, 
0x38, 0x55, 0x6F, 0x9A, 0xB2, 0xC4, 0x4F, 0xE9, 0xCE, 0x43, 0x69, 0x49, 0xD1, 0xDC, 0xA7, 0xA5, 
0x18, 0xFE, 0xA9, 0x71, 0xF0, 0x8E, 0x25, 0x34, 0x02, 0x99, 0xB7, 0x06, 0x27, 0x2E, 0x48, 0x1F, 
0xCF, 0x61, 0x1B, 0x6D, 0x04, 0x4B, 0x4D, 0x03, 0x94, 0xAA, 0xEB, 0xD5, 0xCA, 0x39, 0x84, 0x8B, 
0x4E, 0x63, 0xED, 0x1E, 0x97, 0xC2, 0x32, 0x36, 0xCD, 0x89, 0x5E, 0x73, 0x62, 0x3A, 0x35, 0x9F, 
0x0C, 0x3C, 0x66, 0x46, 0xCC, 0x12, 0xD6, 0x0F, 0x50, 0x1C, 0x72, 0x28, 0x58, 0x6A, 0x86, 0x33, 
NL=104
