target sbox:
0xC2, 0x32, 0x27, 0x35, 0x6C, 0x7F, 0x96, 0x30, 0xD2, 0x16, 0xB5, 0x12, 0x9B, 0xA9, 0x49, 0x6F, 
0xAE, 0x1C, 0x93, 0xC9, 0xA5, 0x9A, 0x5C, 0xBA, 0x78, 0xD4, 0x08, 0x79, 0x58, 0xE1, 0x0E, 0x55, 
0x9E, 0xF9, 0x4E, 0x97, 0x8E, 0x66, 0x1F, 0x4B, 0x41, 0xEE, 0x67, 0x44, 0xED, 0x48, 0xF7, 0xF4, 
0x9F, 0xDF, 0x31, 0x3B, 0xB6, 0xF5, 0x59, 0xE5, 0xB2, 0x00, 0x70, 0x68, 0x0D, 0x37, 0x86, 0xAB, 
0xD0, 0x05, 0xE7, 0xFB, 0x2F, 0x85, 0x19, 0x77, 0x3E, 0x4F, 0xFD, 0x4A, 0x0F, 0x57, 0x69, 0x51, 
0xBF, 0x4C, 0x1D, 0xA7, 0x5D, 0xD6, 0x3A, 0xA6, 0x8C, 0xDA, 0xA3, 0x62, 0xCB, 0xBC, 0xB4, 0x99, 
0x07, 0x02, 0xC3, 0xEF, 0x34, 0x14, 0x36, 0xF2, 0xF1, 0xCA, 0xAA, 0x73, 0x7C, 0x42, 0x75, 0x52, 
0x2A, 0x95, 0xD3, 0xE6, 0x8F, 0x1A, 0xAD, 0x29, 0x13, 0xF6, 0x6A, 0x2B, 0x7A, 0xE3, 0xF3, 0x09, 
0x92, 0xBD, 0x8B, 0x45, 0xC1, 0xAC, 0x50, 0x71, 0x90, 0x40, 0x80, 0xFA, 0x91, 0x9D, 0x1E, 0x74, 
0xF0, 0x18, 0xCD, 0xCC, 0x3C, 0x9C, 0x76, 0x8A, 0xB7, 0x56, 0xD1, 0x64, 0x28, 0x04, 0x24, 0xD7, 
0xB1, 0x10, 0x4D, 0x26, 0x53, 0x88, 0xE8, 0xA2, 0x2C, 0xC5, 0x89, 0xE2, 0x22, 0xA4, 0x5A, 0x38, 
0xD5, 0xFC, 0x23, 0x33, 0x72, 0xC6, 0x1B, 0x6D, 0xDB, 0x2D, 0x3F, 0x46, 0x15, 0x98, 0x5B, 0xA0, 
0x06, 0xC7, 0xB8, 0x60, 0xEC, 0x7E, 0xD9, 0xEA, 0x0A, 0xE4, 0x47, 0xAF, 0x39, 0xD8, 0xB0, 0x84, 
0x63, 0xDE, 0xBB, 0xE0, 0x54, 0xA8, 0xC4, 0xA1, 0x83, 0xC0, 0xBE, 0x82, 0xFE, 0xE9, 0xEB, 0x0C, 
0x5F, 0x7B, 0x20, 0x17, 0x94, 0x25, 0x7D, 0xCF, 0x87, 0xFF, 0x6E, 0xDD, 0x01, 0xF8, 0x81, 0x03, 
0x0B, 0x61, 0xB9, 0x11, 0x43, 0xB3, 0x8D, 0x6B, 0x3D, 0x65, 0x21, 0x5E, 0xCE, 0x2E, 0xDC, 0xC8, 
NL=104
