target sbox:
0x9A, 0xEF, 0x90, 0xAE, 0xA5, 0x08, 0x80, 0x24, 0x88, 0xE6, 0xBF, 0x11, 0x7C, 0x5B, 0x64, 0x10, 
0x33, 0x99, 0x1D, 0x68, 0x58, 0xBD, 0x4C, 0x0F, 0x6A, 0x79, 0xDC, 0xB7, 0x6B, 0xF1, 0xB2, 0xA0, 
0x78, 0x71, 0x87, 0xDD, 0xE3, 0xD3, 0xAD, 0xDE, 0x98, 0x84, 0xF4, 0xA9, 0xF2, 0x3F, 0xB0, 0x4B, 
0xD8, 0xC0, 0x8D, 0x44, 0xFC, 0xCE, 0xCF, 0x3B, 0x54, 0xC1, 0x47, 0xEB, 0x62, 0x2F, 0xFF, 0xC6, 
0xE9, 0xDF, 0x95, 0x22, 0x69, 0xDB, 0x20, 0x18, 0x49, 0x38, 0xA8, 0x82, 0xE4, 0x25, 0xA6, 0xE0, 
0x83, 0xA3, 0x21, 0xAA, 0xD0, 0x0E, 0x0B, 0x37, 0x5E, 0x1E, 0xF8, 0xB8, 0x29, 0x4D, 0x6C, 0x92, 
0xF7, 0x4A, 0x31, 0x17, 0x2E, 0x86, 0xD7, 0xF9, 0x06, 0x55, 0x1C, 0x53, 0xED, 0x89, 0x59, 0xF0, 
0x72, 0xEA, 0x60, 0x43, 0x3C, 0x52, 0x8A, 0x57, 0xF6, 0xE5, 0x70, 0x85, 0x5C, 0x56, 0x76, 0x9E, 
0xB5, 0x0A, 0x6D, 0x2D, 0x7F, 0x00, 0x23, 0xFD, 0xBB, 0xFE, 0x27, 0x2A, 0xEC, 0xA1, 0x02, 0x35, 
0xF5, 0x63, 0x30, 0x61, 0x26, 0x39, 0x3D, 0x9C, 0xC2, 0xC8, 0x48, 0xDA, 0x07, 0xC9, 0x40, 0x9D, 
0xB3, 0x97, 0x5F, 0xE2, 0x3E, 0xB9, 0xA2, 0xCB, 0x8C, 0xD9, 0x66, 0x77, 0x05, 0x4F, 0xA4, 0x36, 
0xAB, 0x15, 0x1A, 0x04, 0xB4, 0xCA, 0x1F, 0x5D, 0xFB, 0xC7, 0x6E, 0x67, 0x93, 0xD1, 0x96, 0xE7, 
0x34, 0xBA, 0x6F, 0x2B, 0x8E, 0x65, 0xFA, 0xEE, 0x13, 0x91, 0xF3, 0x45, 0x9F, 0x7D, 0x8F, 0x75, 
0x0C, 0xD4, 0x5A, 0x19, 0xD5, 0x73, 0x74, 0x28, 0x03, 0x41, 0x0D, 0xC3, 0x7A, 0x9B, 0x09, 0xCC, 
0xBE, 0x50, 0x4E, 0xD6, 0x14, 0xA7, 0xAF, 0x2C, 0x7E, 0x12, 0x3A, 0xC4, 0xBC, 0x42, 0x8B, 0xB1, 
0xE1, 0x7B, 0x46, 0x16, 0xAC, 0xD2, 0x81, 0xB6, 0x32, 0x01, 0xCD, 0x94, 0x1B, 0xE8, 0xC5, 0x51, 
NL=104
