target sbox:
0x61, 0x76, 0x2A, 0x33, 0xFE, 0xA7, 0xF5, 0xA9, 0x11, 0x2D, 0x5E, 0x0D, 0x8F, 0x54, 0x79, 0xB8, 
0x8E, 0x13, 0x70, 0xF1, 0x10, 0x30, 0xCF, 0x71, 0xF0, 0x73, 0xA5, 0xA8, 0x7C, 0xBF, 0x1B, 0x16, 
0x6E, 0x94, 0x9F, 0xFB, 0xC7, 0x2B, 0xAE, 0x1C, 0x63, 0xBA, 0x7E, 0x95, 0x3E, 0x9D, 0xAF, 0x80, 
0x1F, 0x65, 0x88, 0x39, 0xC3, 0x7D, 0x15, 0x0E, 0xDB, 0x28, 0x84, 0x09, 0x83, 0x44, 0xB4, 0x50, 
0x3F, 0x7F, 0xA3, 0x6C, 0x1A, 0x5B, 0xA2, 0x48, 0xF2, 0x77, 0x0F, 0xD8, 0x9A, 0x46, 0x3C, 0x3D, 
0x22, 0x03, 0x06, 0x87, 0x4C, 0xE8, 0x75, 0xB9, 0x72, 0x02, 0xD4, 0x56, 0x40, 0xE7, 0xCB, 0x85, 
0x86, 0x41, 0xC9, 0x59, 0xC0, 0xD3, 0x6F, 0xE0, 0x4F, 0xBC, 0x57, 0xAC, 0x43, 0x90, 0xD7, 0xDD, 
0x4B, 0x6D, 0x4A, 0x2F, 0x9E, 0x7B, 0xA6, 0xFD, 0x12, 0x37, 0xAB, 0x1E, 0x3A, 0x9C, 0xE9, 0x0B, 
0xFC, 0xCA, 0x4D, 0x05, 0xB6, 0xDF, 0x00, 0x35, 0x62, 0x78, 0xE2, 0x18, 0xF3, 0xB1, 0xB0, 0x26, 
0xDE, 0xB3, 0xEC, 0x49, 0xEA, 0x69, 0xBD, 0x8C, 0x81, 0xD2, 0x32, 0x24, 0x45, 0x36, 0x52, 0x0A, 
0xC8, 0x31, 0xC2, 0x29, 0x74, 0xFF, 0xC5, 0xE4, 0x01, 0xA4, 0xD0, 0x14, 0xA1, 0xDC, 0xE1, 0x47, 
0x66, 0x98, 0x68, 0x67, 0x5C, 0xB5, 0xAD, 0x25, 0x34, 0x23, 0x7A, 0x0C, 0xF6, 0xF8, 0x4E, 0x64, 
0x93, 0xED, 0x5D, 0xE5, 0x51, 0xCE, 0xFA, 0x1D, 0x60, 0x3B, 0xEE, 0x5F, 0x21, 0xD6, 0x8D, 0xD9, 
0xB7, 0xAA, 0xD5, 0x6A, 0x2C, 0x55, 0x5A, 0xC6, 0x53, 0xCD, 0x17, 0xB2, 0x6B, 0xEB, 0xA0, 0x8B, 
0xDA, 0x97, 0x8A, 0x91, 0x2E, 0x07, 0x89, 0x42, 0xCC, 0xC4, 0x58, 0x19, 0xC1, 0x27, 0x08, 0xF7, 
0xBE, 0x04, 0x82, 0xE3, 0xF9, 0xE6, 0x96, 0xEF, 0xBB, 0x20, 0xF4, 0x38, 0x99, 0x9B, 0x92, 0xD1, 
NL=104
