target sbox:
0x09, 0x13, 0xAB, 0x6E, 0x21, 0x12, 0x86, 0xA7, 0x7C, 0x29, 0x9E, 0xE3, 0xB8, 0x0C, 0xA5, 0x64, 
0xF6, 0x3A, 0x35, 0x9D, 0x0D, 0x48, 0x5A, 0x0B, 0x20, 0x83, 0xAA, 0x5D, 0xDA, 0xA4, 0xF5, 0x4E, 
0x63, 0x8E, 0x0F, 0x07, 0xB6, 0x7D, 0xCE, 0xA8, 0xAD, 0xEF, 0x02, 0x72, 0xEE, 0x4C, 0xCD, 0xBD, 
0xAE, 0xE2, 0xC8, 0x5E, 0xF4, 0x77, 0x37, 0x80, 0x79, 0x0E, 0x3E, 0x18, 0x06, 0xBC, 0x26, 0x3B, 
0x0A, 0xFD, 0xC5, 0x16, 0xC1, 0x1F, 0x05, 0x1B, 0x2B, 0x59, 0xAC, 0xA2, 0xB4, 0xFA, 0x40, 0x4F, 
0x15, 0x24, 0x5C, 0x23, 0x2A, 0x2D, 0xBB, 0x52, 0xE7, 0x25, 0x91, 0xDD, 0x96, 0x92, 0x71, 0xCF, 
0xB3, 0xD7, 0xC0, 0x03, 0x14, 0x84, 0x53, 0xA0, 0xC2, 0x68, 0x97, 0x6C, 0x5B, 0x2C, 0x88, 0xFB, 
0xF0, 0x17, 0x2E, 0xDF, 0x50, 0x42, 0xF1, 0xB7, 0xC4, 0xD3, 0xD6, 0xD5, 0xC7, 0xD0, 0x6B, 0x7E, 
0xEC, 0x3F, 0x57, 0x9B, 0xC9, 0x51, 0x9F, 0x1E, 0x81, 0x47, 0xDC, 0x45, 0x7A, 0xA6, 0xCA, 0x6F, 
0x28, 0x65, 0xB0, 0x27, 0xE6, 0xED, 0x1A, 0xB9, 0x31, 0xBE, 0x99, 0x3C, 0xBA, 0x8D, 0xF2, 0x54, 
0x01, 0x4B, 0xB1, 0xC3, 0x67, 0xF8, 0x95, 0xD2, 0xE9, 0x4D, 0x49, 0x6D, 0xFC, 0x10, 0x36, 0xB2, 
0xE8, 0x73, 0xCC, 0x60, 0xA9, 0xDE, 0x39, 0xF7, 0x9A, 0x00, 0x76, 0x69, 0x04, 0xF3, 0xB5, 0xA3, 
0x19, 0x90, 0xD9, 0xD1, 0xD4, 0xDB, 0x08, 0x9C, 0xEA, 0xE4, 0xFE, 0x55, 0x30, 0xE5, 0x93, 0x43, 
0x8C, 0x41, 0x61, 0x85, 0x32, 0x46, 0xBF, 0xF9, 0x5F, 0x87, 0x11, 0xAF, 0x1D, 0x75, 0x66, 0x98, 
0xC6, 0x1C, 0x34, 0x33, 0xEB, 0xA1, 0x38, 0xE1, 0xE0, 0x78, 0x82, 0x7F, 0x94, 0x58, 0xCB, 0x8B, 
0x62, 0x70, 0xD8, 0x3D, 0x56, 0x74, 0x8F, 0x7B, 0x6A, 0x2F, 0x4A, 0x89, 0x8A, 0x44, 0x22, 0xFF, 
NL=104
